# event_ticker=KXATPCHALLENGERMATCH-26FEB18ZEIRON
# final_score=6-4 6-1
# match_winner=Franco Roncadelli
# fav_player=Franco Roncadelli
# dog_player=Maximo Zeitune
# kalshi_date=2026-02-18
timestamp,Franco Roncadelli,Maximo Zeitune
2026-02-18T03:58:00Z,71.00,
2026-02-18T04:27:00Z,70.00,
2026-02-18T04:31:00Z,70.00,
2026-02-18T04:40:00Z,70.00,
2026-02-18T04:48:00Z,71.00,
2026-02-18T04:52:00Z,71.00,
2026-02-18T05:43:00Z,71.00,
2026-02-18T06:05:00Z,71.00,
2026-02-18T06:07:00Z,71.00,
2026-02-18T06:20:00Z,71.42,
2026-02-18T06:32:00Z,71.42,30.00
2026-02-18T06:35:00Z,68.00,30.00
2026-02-18T06:45:00Z,68.00,32.00
2026-02-18T06:49:00Z,61.00,32.00
2026-02-18T06:56:00Z,61.00,33.00
2026-02-18T08:32:00Z,70.00,33.00
2026-02-18T09:38:00Z,70.00,32.00
2026-02-18T09:49:00Z,71.00,32.00
2026-02-18T10:07:00Z,71.00,32.00
2026-02-18T10:42:00Z,71.00,32.00
2026-02-18T10:47:00Z,71.00,32.00
2026-02-18T10:50:00Z,71.00,32.00
2026-02-18T10:58:00Z,71.00,32.00
2026-02-18T11:37:00Z,71.00,32.00
2026-02-18T12:21:00Z,71.00,32.00
2026-02-18T12:46:00Z,71.00,32.00
2026-02-18T12:53:00Z,71.00,32.00
2026-02-18T13:13:00Z,70.00,32.00
2026-02-18T13:20:00Z,70.00,32.00
2026-02-18T13:33:00Z,70.00,29.00
2026-02-18T13:35:00Z,70.53,29.00
2026-02-18T13:40:00Z,70.53,29.00
2026-02-18T13:50:00Z,71.00,29.00
2026-02-18T13:55:00Z,71.00,29.00
2026-02-18T13:58:00Z,68.00,29.00
2026-02-18T14:04:00Z,71.00,29.00
2026-02-18T14:08:00Z,71.00,32.98
2026-02-18T14:09:00Z,71.00,32.00
2026-02-18T14:10:00Z,71.69,33.00
2026-02-18T14:11:00Z,72.00,32.62
2026-02-18T14:12:00Z,70.60,32.00
2026-02-18T14:13:00Z,71.95,32.00
2026-02-18T14:14:00Z,68.00,34.01
2026-02-18T14:15:00Z,70.26,33.07
2026-02-18T14:16:00Z,68.57,33.08
2026-02-18T14:17:00Z,71.23,30.98
2026-02-18T14:18:00Z,66.48,37.32
