# event_ticker=KXATPCHALLENGERMATCH-26APR30BUTCAM
# final_score=7-5 6-1
# match_winner=Edas Butvilas
# fav_player=Edas Butvilas
# dog_player=Gerard Campana Lee
# kalshi_date=2026-04-30
timestamp,Edas Butvilas,Gerard Campana Lee
2026-04-29T17:28:00Z,,25.00
2026-04-29T17:29:00Z,,25.50
2026-04-29T17:30:00Z,76.00,25.00
2026-04-29T17:43:00Z,76.00,22.00
2026-04-29T19:51:00Z,76.00,23.00
2026-04-29T20:32:00Z,76.00,23.00
2026-04-29T20:36:00Z,76.00,23.00
2026-04-29T21:00:00Z,78.00,23.00
2026-04-29T21:30:00Z,78.00,22.00
2026-04-29T22:00:00Z,78.00,22.00
2026-04-29T23:03:00Z,78.00,22.00
2026-04-29T23:20:00Z,78.00,22.00
2026-04-30T00:00:00Z,78.00,22.00
2026-04-30T01:20:00Z,78.00,22.00
2026-04-30T01:39:00Z,78.00,22.00
2026-04-30T01:47:00Z,78.00,22.00
2026-04-30T02:00:00Z,78.00,22.00
2026-04-30T02:06:00Z,78.13,22.00
2026-04-30T03:19:00Z,79.00,22.00
2026-04-30T03:29:00Z,79.00,22.00
2026-04-30T03:55:00Z,79.00,22.00
2026-04-30T04:07:00Z,79.00,22.00
2026-04-30T04:22:00Z,79.00,22.00
2026-04-30T04:27:00Z,79.00,22.00
2026-04-30T04:31:00Z,79.00,22.00
2026-04-30T04:49:00Z,79.00,21.00
2026-04-30T04:52:00Z,79.00,21.00
2026-04-30T04:55:00Z,79.00,21.00
2026-04-30T04:56:00Z,79.00,21.00
2026-04-30T04:58:00Z,79.00,21.00
2026-04-30T05:01:00Z,79.17,21.00
2026-04-30T05:07:00Z,79.17,22.95
2026-04-30T05:08:00Z,79.17,22.52
2026-04-30T05:09:00Z,78.00,23.43
2026-04-30T05:10:00Z,78.00,22.00
2026-04-30T05:12:00Z,78.00,22.30
2026-04-30T05:13:00Z,76.74,23.97
2026-04-30T05:14:00Z,73.68,27.48
2026-04-30T05:15:00Z,71.00,31.60
2026-04-30T05:16:00Z,68.62,33.30
2026-04-30T05:17:00Z,65.28,34.90
2026-04-30T05:18:00Z,63.00,36.54
2026-04-30T05:19:00Z,64.49,37.27
2026-04-30T05:20:00Z,64.00,36.24
2026-04-30T05:21:00Z,65.53,36.00
2026-04-30T05:22:00Z,67.00,36.87
2026-04-30T05:23:00Z,66.00,36.99
