# event_ticker=KXATPCHALLENGERMATCH-26MAR02EFSMOR
# final_score=6-4 3-6 6-3
# score_resolution=4-6 6-3 3-6
# match_winner=Melios Efstathiou
# fav_player=Alejandro Moro Canas
# dog_player=Menelaos Efstathiou
# kalshi_date=2026-03-02
timestamp,Alejandro Moro Canas,Menelaos Efstathiou
2026-03-02T02:14:00Z,,14.00
2026-03-02T02:15:00Z,,14.00
2026-03-02T02:25:00Z,,14.00
2026-03-02T02:43:00Z,88.00,14.00
2026-03-02T04:20:00Z,88.00,14.00
2026-03-02T04:41:00Z,88.00,14.00
2026-03-02T04:42:00Z,88.00,14.00
2026-03-02T04:48:00Z,88.00,14.00
2026-03-02T05:13:00Z,88.00,14.00
2026-03-02T05:49:00Z,88.00,14.00
2026-03-02T06:17:00Z,88.00,14.00
2026-03-02T06:23:00Z,88.00,14.00
2026-03-02T06:42:00Z,88.00,14.00
2026-03-02T06:56:00Z,88.00,13.00
2026-03-02T07:00:00Z,88.00,13.00
2026-03-02T07:35:00Z,88.00,13.00
2026-03-02T08:06:00Z,88.00,13.00
2026-03-02T08:15:00Z,89.00,13.00
2026-03-02T08:38:00Z,89.00,12.00
2026-03-02T08:41:00Z,89.00,12.00
2026-03-02T08:43:00Z,89.00,11.00
2026-03-02T09:26:00Z,89.00,12.00
2026-03-02T09:28:00Z,89.00,12.00
2026-03-02T09:41:00Z,89.00,12.00
2026-03-02T10:40:00Z,89.00,11.00
2026-03-02T11:27:00Z,89.00,13.00
2026-03-02T11:37:00Z,89.00,13.00
2026-03-02T11:46:00Z,89.00,13.00
2026-03-02T11:52:00Z,89.00,13.00
2026-03-02T12:13:00Z,86.00,13.00
2026-03-02T12:34:00Z,89.00,13.00
2026-03-02T12:41:00Z,89.00,13.00
2026-03-02T12:58:00Z,89.00,13.00
2026-03-02T13:01:00Z,89.00,13.00
2026-03-02T13:12:00Z,89.00,13.00
2026-03-02T13:16:00Z,89.00,13.00
2026-03-02T13:27:00Z,89.00,13.00
2026-03-02T13:30:00Z,89.00,13.00
2026-03-02T13:31:00Z,87.00,13.00
2026-03-02T13:37:00Z,90.00,13.00
2026-03-02T13:39:00Z,90.00,13.00
2026-03-02T13:40:00Z,90.00,12.00
2026-03-02T13:41:00Z,90.00,12.20
2026-03-02T13:42:00Z,90.00,12.51
2026-03-02T13:43:00Z,90.60,12.82
2026-03-02T13:44:00Z,85.01,13.84
2026-03-02T13:45:00Z,88.81,12.47
2026-03-02T13:46:00Z,91.00,11.10
2026-03-02T13:47:00Z,91.00,10.00
2026-03-02T13:48:00Z,91.00,11.98
2026-03-02T13:49:00Z,91.00,11.24
2026-03-02T13:50:00Z,91.00,11.65
2026-03-02T13:51:00Z,88.00,14.34
2026-03-02T13:52:00Z,91.94,14.34
2026-03-02T13:53:00Z,94.06,7.07
2026-03-02T13:54:00Z,95.00,7.07
2026-03-02T13:55:00Z,94.06,6.00
2026-03-02T13:56:00Z,94.00,8.00
2026-03-02T13:57:00Z,93.00,8.00
2026-03-02T13:58:00Z,93.00,8.00
2026-03-02T13:59:00Z,93.37,7.82
2026-03-02T14:00:00Z,93.37,6.16
2026-03-02T14:01:00Z,94.00,6.00
2026-03-02T14:03:00Z,95.00,5.00
2026-03-02T14:04:00Z,96.00,3.99
2026-03-02T14:05:00Z,94.00,3.99
2026-03-02T14:06:00Z,93.00,6.06
2026-03-02T14:07:00Z,94.00,7.86
2026-03-02T14:08:00Z,94.00,9.00
2026-03-02T14:09:00Z,91.00,7.70
2026-03-02T14:10:00Z,92.00,8.00
2026-03-02T14:11:00Z,90.00,10.90
2026-03-02T14:12:00Z,91.00,8.20
2026-03-02T14:13:00Z,88.92,13.82
2026-03-02T14:14:00Z,88.92,14.00
2026-03-02T14:15:00Z,84.94,17.00
2026-03-02T14:16:00Z,84.94,14.63
2026-03-02T14:17:00Z,83.00,15.12
2026-03-02T14:18:00Z,83.50,15.85
2026-03-02T14:19:00Z,81.83,20.48
2026-03-02T14:20:00Z,77.51,21.69
2026-03-02T14:21:00Z,76.72,25.36
2026-03-02T14:22:00Z,77.59,21.30
2026-03-02T14:23:00Z,75.45,30.06
2026-03-02T14:24:00Z,67.00,33.00
2026-03-02T14:25:00Z,69.97,30.23
2026-03-02T14:26:00Z,70.29,31.27
2026-03-02T14:27:00Z,74.11,25.72
2026-03-02T14:28:00Z,79.65,23.92
2026-03-02T14:29:00Z,79.89,21.31
2026-03-02T14:30:00Z,83.00,19.17
2026-03-02T14:31:00Z,79.39,22.77
2026-03-02T14:32:00Z,72.60,29.37
2026-03-02T14:33:00Z,70.00,30.33
2026-03-02T14:34:00Z,75.12,26.92
2026-03-02T14:35:00Z,76.60,23.75
2026-03-02T14:36:00Z,72.96,28.76
2026-03-02T14:37:00Z,63.63,33.94
2026-03-02T14:38:00Z,63.79,37.00
2026-03-02T14:39:00Z,61.86,41.06
2026-03-02T14:40:00Z,62.57,38.81
2026-03-02T14:41:00Z,62.44,40.76
2026-03-02T14:42:00Z,54.69,46.36
2026-03-02T14:43:00Z,55.00,46.27
2026-03-02T14:44:00Z,54.90,46.10
2026-03-02T14:45:00Z,50.91,50.29
2026-03-02T14:46:00Z,55.07,48.70
2026-03-02T14:47:00Z,54.40,47.60
2026-03-02T14:48:00Z,58.84,45.14
2026-03-02T14:49:00Z,59.19,38.82
2026-03-02T14:50:00Z,60.19,42.11
2026-03-02T14:51:00Z,59.72,41.61
2026-03-02T14:52:00Z,64.78,39.76
2026-03-02T14:53:00Z,61.55,41.59
2026-03-02T14:54:00Z,58.77,41.49
2026-03-02T14:55:00Z,61.53,41.20
2026-03-02T14:56:00Z,61.06,40.07
2026-03-02T14:57:00Z,62.47,41.74
2026-03-02T14:58:00Z,68.37,32.63
2026-03-02T14:59:00Z,71.02,28.54
2026-03-02T15:00:00Z,73.40,26.72
2026-03-02T15:01:00Z,76.36,24.83
2026-03-02T15:02:00Z,73.29,25.80
2026-03-02T15:03:00Z,73.76,23.74
2026-03-02T15:04:00Z,74.62,25.83
2026-03-02T15:05:00Z,76.32,24.01
2026-03-02T15:06:00Z,76.62,23.35
2026-03-02T15:07:00Z,75.29,27.47
2026-03-02T15:08:00Z,72.44,29.99
2026-03-02T15:09:00Z,70.88,28.60
2026-03-02T15:10:00Z,73.95,30.86
2026-03-02T15:11:00Z,74.19,24.48
2026-03-02T15:12:00Z,79.21,23.89
2026-03-02T15:13:00Z,77.53,25.09
2026-03-02T15:14:00Z,72.87,27.41
2026-03-02T15:15:00Z,73.81,28.00
2026-03-02T15:16:00Z,71.98,29.00
2026-03-02T15:17:00Z,70.13,29.90
2026-03-02T15:18:00Z,74.22,27.69
2026-03-02T15:19:00Z,75.10,25.13
2026-03-02T15:20:00Z,71.30,31.06
2026-03-02T15:21:00Z,65.00,37.43
2026-03-02T15:22:00Z,55.89,44.45
2026-03-02T15:23:00Z,57.72,45.62
2026-03-02T15:24:00Z,62.95,37.90
2026-03-02T15:25:00Z,71.90,30.63
2026-03-02T15:26:00Z,75.32,26.69
2026-03-02T15:27:00Z,74.37,27.90
2026-03-02T15:28:00Z,77.83,25.01
2026-03-02T15:29:00Z,78.88,21.53
