# event_ticker=KXATPMATCH-25SEP26BORFRI
# final_score=7-5 7-6(4)
# score_resolution=5-7 6-7
# match_winner=Taylor Fritz
# fav_player=Nuno Borges
# dog_player=Taylor Fritz
# kalshi_date=2025-09-26
timestamp,Nuno Borges,Taylor Fritz
2025-09-25T21:44:00Z,,82.00
2025-09-25T22:28:00Z,19.00,82.00
2025-09-25T22:34:00Z,18.00,83.00
2025-09-26T00:16:00Z,18.00,82.00
2025-09-26T00:19:00Z,18.00,82.00
2025-09-26T00:22:00Z,19.00,82.00
2025-09-26T00:58:00Z,19.00,82.00
2025-09-26T01:18:00Z,19.00,82.00
2025-09-26T01:50:00Z,19.00,82.00
2025-09-26T01:54:00Z,19.00,82.00
2025-09-26T01:55:00Z,19.00,82.00
2025-09-26T02:05:00Z,19.00,82.00
2025-09-26T02:23:00Z,19.00,82.00
2025-09-26T02:37:00Z,19.00,82.00
2025-09-26T02:49:00Z,19.00,82.00
2025-09-26T03:19:00Z,19.00,82.00
2025-09-26T03:31:00Z,19.00,82.00
2025-09-26T03:35:00Z,19.00,82.00
2025-09-26T03:43:00Z,19.00,82.00
2025-09-26T03:48:00Z,19.00,82.00
2025-09-26T03:50:00Z,19.00,82.00
2025-09-26T03:57:00Z,19.00,82.00
2025-09-26T04:05:00Z,19.00,82.00
2025-09-26T04:10:00Z,19.00,82.00
2025-09-26T04:15:00Z,19.00,82.00
2025-09-26T04:24:00Z,19.00,82.00
2025-09-26T04:29:00Z,19.00,82.00
2025-09-26T04:52:00Z,19.00,82.00
2025-09-26T04:54:00Z,18.00,82.00
2025-09-26T04:55:00Z,18.00,82.00
2025-09-26T04:57:00Z,19.00,82.00
2025-09-26T05:05:00Z,19.00,82.00
2025-09-26T05:13:00Z,19.00,82.00
2025-09-26T05:19:00Z,19.00,82.00
2025-09-26T05:20:00Z,19.30,82.00
2025-09-26T05:23:00Z,19.30,82.00
2025-09-26T05:25:00Z,19.30,82.00
2025-09-26T05:32:00Z,19.30,82.00
2025-09-26T05:38:00Z,19.30,82.00
2025-09-26T05:40:00Z,19.30,82.00
2025-09-26T05:44:00Z,19.00,82.00
2025-09-26T05:45:00Z,19.00,82.00
2025-09-26T05:46:00Z,19.00,82.00
2025-09-26T05:49:00Z,19.00,83.00
2025-09-26T05:50:00Z,19.00,83.00
2025-09-26T05:56:00Z,19.00,83.00
2025-09-26T05:59:00Z,19.00,82.00
2025-09-26T06:03:00Z,19.00,82.00
2025-09-26T06:16:00Z,19.00,82.00
2025-09-26T06:17:00Z,19.00,82.00
2025-09-26T06:22:00Z,19.00,83.00
2025-09-26T06:25:00Z,19.00,83.00
2025-09-26T06:26:00Z,19.00,83.00
2025-09-26T06:33:00Z,19.00,83.00
2025-09-26T06:35:00Z,19.00,83.00
2025-09-26T06:36:00Z,19.00,81.00
2025-09-26T06:41:00Z,19.00,82.00
2025-09-26T06:44:00Z,19.00,82.00
2025-09-26T06:55:00Z,19.00,82.85
2025-09-26T06:59:00Z,18.01,82.66
2025-09-26T07:00:00Z,18.01,83.00
2025-09-26T07:03:00Z,19.00,83.00
2025-09-26T07:07:00Z,19.00,83.00
2025-09-26T07:08:00Z,19.00,84.00
2025-09-26T07:09:00Z,18.00,84.45
2025-09-26T07:10:00Z,18.00,83.00
2025-09-26T07:11:00Z,18.00,83.00
2025-09-26T07:12:00Z,19.58,83.00
2025-09-26T07:13:00Z,21.00,83.00
2025-09-26T07:14:00Z,29.26,83.00
2025-09-26T07:15:00Z,26.43,68.86
2025-09-26T07:16:00Z,26.43,74.96
2025-09-26T07:17:00Z,21.88,78.72
2025-09-26T07:18:00Z,19.00,82.00
2025-09-26T07:19:00Z,20.26,81.73
2025-09-26T07:20:00Z,18.00,85.02
2025-09-26T07:21:00Z,16.80,86.00
2025-09-26T07:22:00Z,18.00,82.01
2025-09-26T07:23:00Z,18.00,82.14
2025-09-26T07:24:00Z,19.97,83.86
2025-09-26T07:25:00Z,18.00,84.00
2025-09-26T07:26:00Z,18.36,83.37
2025-09-26T07:27:00Z,23.55,84.00
2025-09-26T07:28:00Z,20.92,84.00
2025-09-26T07:29:00Z,22.03,80.00
2025-09-26T07:30:00Z,21.00,80.00
2025-09-26T07:31:00Z,21.00,83.00
2025-09-26T07:33:00Z,21.00,85.00
2025-09-26T07:34:00Z,18.65,82.00
2025-09-26T07:35:00Z,22.00,79.69
2025-09-26T07:36:00Z,24.00,79.69
2025-09-26T07:37:00Z,20.63,81.00
2025-09-26T07:38:00Z,21.00,82.00
2025-09-26T07:40:00Z,19.00,83.00
2025-09-26T07:41:00Z,23.00,81.00
2025-09-26T07:44:00Z,20.00,81.00
2025-09-26T07:45:00Z,20.00,80.00
2025-09-26T07:46:00Z,20.00,82.00
2025-09-26T07:47:00Z,21.85,80.00
2025-09-26T07:48:00Z,22.13,80.00
2025-09-26T07:49:00Z,23.88,80.00
2025-09-26T07:50:00Z,23.88,77.00
2025-09-26T07:51:00Z,22.00,77.00
2025-09-26T07:52:00Z,21.00,77.00
2025-09-26T07:53:00Z,21.00,77.00
2025-09-26T07:54:00Z,16.00,81.29
2025-09-26T07:55:00Z,4.00,88.00
2025-09-26T07:56:00Z,8.93,93.48
2025-09-26T07:57:00Z,8.00,92.13
2025-09-26T07:58:00Z,8.00,92.13
2025-09-26T07:59:00Z,7.08,95.00
2025-09-26T08:00:00Z,4.79,97.00
2025-09-26T08:01:00Z,22.00,95.00
2025-09-26T08:02:00Z,6.00,95.00
2025-09-26T08:03:00Z,5.00,96.00
2025-09-26T08:04:00Z,7.00,96.00
2025-09-26T08:05:00Z,7.00,96.00
2025-09-26T08:06:00Z,8.82,91.00
2025-09-26T08:07:00Z,9.41,92.00
2025-09-26T08:08:00Z,15.59,88.00
2025-09-26T08:09:00Z,17.90,84.00
2025-09-26T08:10:00Z,15.45,84.00
2025-09-26T08:11:00Z,14.55,84.00
2025-09-26T08:12:00Z,17.73,85.00
2025-09-26T08:13:00Z,14.01,86.00
2025-09-26T08:14:00Z,14.64,84.00
2025-09-26T08:15:00Z,13.46,86.00
2025-09-26T08:16:00Z,16.60,83.00
2025-09-26T08:17:00Z,17.82,83.00
2025-09-26T08:18:00Z,16.00,83.30
2025-09-26T08:19:00Z,19.86,82.09
2025-09-26T08:20:00Z,19.84,83.00
2025-09-26T08:21:00Z,18.76,81.01
2025-09-26T08:22:00Z,19.00,81.35
2025-09-26T08:23:00Z,19.00,82.07
2025-09-26T08:24:00Z,24.00,81.00
2025-09-26T08:25:00Z,20.91,85.00
2025-09-26T08:26:00Z,11.59,89.51
2025-09-26T08:27:00Z,10.00,92.00
2025-09-26T08:28:00Z,15.00,88.00
2025-09-26T08:29:00Z,19.44,84.94
2025-09-26T08:30:00Z,16.70,82.35
2025-09-26T08:31:00Z,29.27,79.00
2025-09-26T08:32:00Z,22.02,75.15
2025-09-26T08:33:00Z,23.01,78.29
2025-09-26T08:34:00Z,19.00,79.58
2025-09-26T08:35:00Z,16.99,82.44
2025-09-26T08:36:00Z,17.00,82.44
2025-09-26T08:37:00Z,8.57,91.23
2025-09-26T08:38:00Z,10.00,93.00
2025-09-26T08:39:00Z,7.00,93.00
2025-09-26T08:40:00Z,8.21,93.00
2025-09-26T08:41:00Z,8.00,93.07
2025-09-26T08:42:00Z,8.00,91.49
2025-09-26T08:43:00Z,9.00,91.49
2025-09-26T08:44:00Z,9.19,91.49
2025-09-26T08:45:00Z,9.19,90.00
2025-09-26T08:46:00Z,9.04,90.00
2025-09-26T08:47:00Z,12.11,91.54
2025-09-26T08:48:00Z,10.58,91.96
2025-09-26T08:49:00Z,10.58,94.00
2025-09-26T08:50:00Z,7.21,94.00
2025-09-26T08:51:00Z,5.00,93.52
2025-09-26T08:52:00Z,3.75,98.00
2025-09-26T08:53:00Z,6.87,98.00
2025-09-26T08:54:00Z,6.87,91.77
2025-09-26T08:55:00Z,8.40,93.86
2025-09-26T08:56:00Z,5.00,95.00
2025-09-26T08:57:00Z,5.07,95.00
2025-09-26T08:58:00Z,11.18,95.00
2025-09-26T08:59:00Z,6.73,94.00
2025-09-26T09:00:00Z,9.59,94.00
2025-09-26T09:01:00Z,9.00,93.00
2025-09-26T09:02:00Z,21.24,93.00
2025-09-26T09:03:00Z,7.54,96.00
2025-09-26T09:04:00Z,10.64,91.00
2025-09-26T09:05:00Z,4.88,97.79
2025-09-26T09:06:00Z,4.88,99.00
2025-09-26T09:07:00Z,4.88,99.00
2025-09-26T09:08:00Z,4.88,99.00
2025-09-26T09:09:00Z,4.88,99.00
