# event_ticker=KXATPCHALLENGERMATCH-26MAR20BARVAR
# final_score=6-1 7-6(6)
# score_resolution=1-6 6-7
# match_winner=Juan Pablo Varillas
# fav_player=Alex Barrena
# dog_player=Juan Pablo Varillas
# kalshi_date=2026-03-20
timestamp,Alex Barrena,Juan Pablo Varillas
2026-03-20T12:43:00Z,49.00,
2026-03-20T14:47:00Z,49.00,55.00
2026-03-20T15:09:00Z,49.00,55.00
2026-03-20T15:12:00Z,49.00,55.00
2026-03-20T15:31:00Z,47.00,55.00
2026-03-20T17:24:00Z,47.00,55.00
2026-03-20T17:35:00Z,47.00,55.88
2026-03-20T19:19:00Z,47.00,56.00
2026-03-20T19:23:00Z,47.00,56.00
2026-03-20T20:32:00Z,47.00,56.00
2026-03-20T20:35:00Z,47.00,56.00
2026-03-20T20:39:00Z,47.00,56.00
2026-03-20T20:56:00Z,47.00,56.00
2026-03-20T21:20:00Z,45.54,56.00
2026-03-20T21:23:00Z,45.54,55.00
2026-03-20T21:35:00Z,47.00,55.00
2026-03-20T21:41:00Z,47.00,53.00
2026-03-20T21:50:00Z,47.00,53.00
2026-03-20T21:51:00Z,47.00,57.00
2026-03-20T21:52:00Z,46.67,55.00
2026-03-20T21:55:00Z,41.98,61.00
2026-03-20T21:56:00Z,35.50,66.00
2026-03-20T21:57:00Z,31.00,67.92
2026-03-20T21:58:00Z,29.07,70.00
2026-03-20T21:59:00Z,26.00,73.00
2026-03-20T22:00:00Z,24.01,75.00
2026-03-20T22:01:00Z,23.00,75.00
2026-03-20T22:02:00Z,22.00,78.53
2026-03-20T22:03:00Z,20.04,80.81
2026-03-20T22:04:00Z,17.45,82.00
2026-03-20T22:05:00Z,19.79,83.00
2026-03-20T22:06:00Z,22.00,80.00
2026-03-20T22:07:00Z,24.00,80.00
2026-03-20T22:08:00Z,23.16,76.15
2026-03-20T22:09:00Z,23.16,78.00
2026-03-20T22:10:00Z,23.16,81.58
2026-03-20T22:11:00Z,17.00,85.00
2026-03-20T22:12:00Z,17.29,85.00
2026-03-20T22:13:00Z,19.63,82.00
2026-03-20T22:14:00Z,18.00,82.00
2026-03-20T22:15:00Z,19.00,81.00
2026-03-20T22:16:00Z,18.21,81.00
2026-03-20T22:17:00Z,21.35,76.00
2026-03-20T22:18:00Z,23.00,76.00
2026-03-20T22:19:00Z,23.00,77.89
2026-03-20T22:20:00Z,23.53,79.31
2026-03-20T22:21:00Z,24.00,79.31
2026-03-20T22:22:00Z,23.00,79.45
2026-03-20T22:23:00Z,20.48,82.36
2026-03-20T22:24:00Z,16.81,84.00
2026-03-20T22:25:00Z,16.00,85.00
2026-03-20T22:26:00Z,15.92,86.00
2026-03-20T22:27:00Z,15.99,86.00
2026-03-20T22:28:00Z,15.99,86.00
2026-03-20T22:29:00Z,15.47,85.92
2026-03-20T22:30:00Z,15.99,84.00
2026-03-20T22:31:00Z,18.88,82.00
2026-03-20T22:32:00Z,16.21,84.00
2026-03-20T22:33:00Z,16.00,84.00
2026-03-20T22:34:00Z,19.24,81.00
2026-03-20T22:35:00Z,19.24,82.03
2026-03-20T22:36:00Z,16.00,84.92
2026-03-20T22:37:00Z,16.00,82.06
2026-03-20T22:38:00Z,16.88,84.44
2026-03-20T22:39:00Z,15.26,86.00
2026-03-20T22:40:00Z,15.09,85.00
2026-03-20T22:41:00Z,16.52,85.00
2026-03-20T22:42:00Z,18.00,84.38
2026-03-20T22:43:00Z,19.65,81.98
2026-03-20T22:44:00Z,19.75,81.53
2026-03-20T22:45:00Z,20.20,80.99
2026-03-20T22:46:00Z,18.92,83.10
2026-03-20T22:47:00Z,18.71,82.91
2026-03-20T22:48:00Z,20.33,83.00
2026-03-20T22:49:00Z,25.01,76.00
2026-03-20T22:50:00Z,26.93,77.00
2026-03-20T22:51:00Z,24.47,76.91
2026-03-20T22:52:00Z,24.88,76.91
2026-03-20T22:53:00Z,29.55,72.00
2026-03-20T22:54:00Z,31.21,72.00
2026-03-20T22:55:00Z,35.82,62.74
2026-03-20T22:56:00Z,37.68,61.00
2026-03-20T22:57:00Z,39.58,61.00
2026-03-20T22:58:00Z,39.79,61.00
2026-03-20T22:59:00Z,39.47,61.09
2026-03-20T23:00:00Z,42.25,60.00
2026-03-20T23:01:00Z,43.99,57.05
2026-03-20T23:02:00Z,42.12,56.60
2026-03-20T23:03:00Z,42.12,59.00
2026-03-20T23:04:00Z,39.98,59.00
2026-03-20T23:05:00Z,35.10,64.42
2026-03-20T23:06:00Z,32.01,66.22
2026-03-20T23:07:00Z,31.44,66.22
2026-03-20T23:08:00Z,39.26,61.13
2026-03-20T23:09:00Z,42.31,58.00
2026-03-20T23:10:00Z,43.00,58.00
2026-03-20T23:11:00Z,43.22,58.00
2026-03-20T23:12:00Z,42.89,57.00
2026-03-20T23:13:00Z,43.09,58.73
2026-03-20T23:14:00Z,40.01,60.00
2026-03-20T23:15:00Z,36.14,63.92
2026-03-20T23:16:00Z,36.85,63.92
2026-03-20T23:17:00Z,38.82,65.34
2026-03-20T23:18:00Z,26.94,68.65
2026-03-20T23:19:00Z,26.84,74.00
2026-03-20T23:20:00Z,24.32,76.18
2026-03-20T23:21:00Z,21.72,79.59
2026-03-20T23:22:00Z,18.08,80.85
2026-03-20T23:23:00Z,18.17,83.43
2026-03-20T23:24:00Z,15.16,84.92
2026-03-20T23:25:00Z,18.00,81.32
2026-03-20T23:26:00Z,24.43,75.06
2026-03-20T23:27:00Z,25.98,74.00
2026-03-20T23:28:00Z,29.03,74.98
2026-03-20T23:29:00Z,31.98,69.55
2026-03-20T23:30:00Z,28.00,71.56
2026-03-20T23:31:00Z,21.76,80.10
2026-03-20T23:32:00Z,19.51,86.85
2026-03-20T23:33:00Z,13.12,87.96
2026-03-20T23:34:00Z,21.18,77.18
2026-03-20T23:35:00Z,29.50,72.21
2026-03-20T23:36:00Z,28.51,75.85
2026-03-20T23:37:00Z,32.86,68.10
2026-03-20T23:38:00Z,33.43,67.76
2026-03-20T23:39:00Z,28.47,71.17
2026-03-20T23:40:00Z,18.88,81.65
2026-03-20T23:41:00Z,25.89,76.35
2026-03-20T23:42:00Z,17.15,84.85
2026-03-20T23:43:00Z,11.27,84.04
2026-03-20T23:44:00Z,18.17,80.35
2026-03-20T23:45:00Z,7.05,92.27
2026-03-20T23:46:00Z,1.89,96.85
2026-03-20T23:47:00Z,1.89,99.00
