# event_ticker=KXATPCHALLENGERMATCH-26FEB11RAWKAS
# final_score=6-2 6-3
# match_winner=Maks Kasnikowski
# fav_player=Maks Kasnikowski
# dog_player=Sidharth Rawat
# kalshi_date=2026-02-11
timestamp,Maks Kasnikowski,Sidharth Rawat
2026-02-11T22:01:00Z,83.00,
2026-02-11T22:09:00Z,83.00,
2026-02-11T22:22:00Z,83.00,17.00
2026-02-11T22:23:00Z,83.00,17.00
2026-02-11T22:28:00Z,83.00,19.00
2026-02-11T22:48:00Z,83.00,19.00
2026-02-11T23:45:00Z,83.00,19.00
2026-02-12T00:04:00Z,83.00,18.00
2026-02-12T00:33:00Z,83.00,18.00
2026-02-12T00:34:00Z,83.00,18.00
2026-02-12T00:56:00Z,83.00,18.00
2026-02-12T01:04:00Z,83.00,18.00
2026-02-12T01:06:00Z,83.00,18.75
2026-02-12T01:22:00Z,83.41,18.75
2026-02-12T01:24:00Z,84.00,18.75
2026-02-12T01:28:00Z,84.00,18.00
2026-02-12T01:34:00Z,84.00,17.00
2026-02-12T01:49:00Z,84.00,17.56
2026-02-12T02:01:00Z,84.00,17.56
2026-02-12T02:30:00Z,85.00,17.56
2026-02-12T02:43:00Z,85.00,17.00
2026-02-12T02:48:00Z,85.00,16.00
2026-02-12T02:54:00Z,85.00,16.00
2026-02-12T02:55:00Z,85.00,16.00
2026-02-12T02:57:00Z,85.00,16.00
2026-02-12T03:05:00Z,86.00,16.00
2026-02-12T03:06:00Z,86.00,16.00
2026-02-12T03:13:00Z,86.00,16.00
2026-02-12T03:17:00Z,86.00,16.00
2026-02-12T03:19:00Z,86.00,16.00
2026-02-12T03:20:00Z,86.00,16.00
2026-02-12T03:21:00Z,86.00,16.00
2026-02-12T03:22:00Z,86.00,17.00
2026-02-12T03:23:00Z,86.00,17.00
2026-02-12T03:27:00Z,86.00,17.00
2026-02-12T03:31:00Z,84.00,17.00
2026-02-12T03:33:00Z,84.00,17.00
2026-02-12T03:34:00Z,84.00,17.00
2026-02-12T03:36:00Z,86.00,17.00
2026-02-12T03:41:00Z,86.00,16.00
2026-02-12T03:48:00Z,86.00,17.00
2026-02-12T03:50:00Z,86.00,16.00
2026-02-12T03:52:00Z,86.00,16.02
2026-02-12T03:53:00Z,86.00,17.00
2026-02-12T03:55:00Z,86.00,17.00
2026-02-12T03:57:00Z,86.00,17.00
2026-02-12T03:58:00Z,86.00,17.00
2026-02-12T03:59:00Z,86.00,17.00
2026-02-12T04:01:00Z,86.00,17.00
2026-02-12T04:03:00Z,86.00,16.00
2026-02-12T04:04:00Z,86.00,16.83
2026-02-12T04:05:00Z,86.00,17.00
2026-02-12T04:06:00Z,86.00,17.00
2026-02-12T04:07:00Z,86.00,17.00
2026-02-12T04:08:00Z,86.00,17.00
2026-02-12T04:09:00Z,85.00,17.00
2026-02-12T04:10:00Z,85.00,17.00
2026-02-12T04:13:00Z,85.00,17.00
2026-02-12T04:16:00Z,85.00,17.00
2026-02-12T04:17:00Z,85.00,17.00
2026-02-12T04:18:00Z,85.00,17.00
2026-02-12T04:19:00Z,85.00,17.00
2026-02-12T04:21:00Z,85.00,17.00
2026-02-12T04:22:00Z,85.00,17.00
2026-02-12T04:23:00Z,85.00,17.00
2026-02-12T04:25:00Z,84.00,17.00
2026-02-12T04:26:00Z,84.00,17.30
2026-02-12T04:27:00Z,84.00,17.00
2026-02-12T04:28:00Z,84.00,17.00
2026-02-12T04:29:00Z,84.00,17.00
2026-02-12T04:30:00Z,84.00,17.00
2026-02-12T04:31:00Z,84.00,17.00
2026-02-12T04:32:00Z,85.00,16.00
2026-02-12T04:33:00Z,85.00,16.00
2026-02-12T04:34:00Z,85.00,16.00
2026-02-12T04:35:00Z,85.00,16.00
2026-02-12T04:36:00Z,85.00,16.00
2026-02-12T04:37:00Z,85.00,16.00
