# event_ticker=KXATPMATCH-26FEB25MEDWAW
# final_score=6-2 6-3
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Stan Wawrinka
# kalshi_date=2026-02-25
timestamp,Daniil Medvedev,Stan Wawrinka
2026-02-24T22:27:00Z,,15.00
2026-02-24T22:42:00Z,,15.00
2026-02-24T22:45:00Z,86.00,15.00
2026-02-24T23:13:00Z,86.00,15.00
2026-02-24T23:22:00Z,86.00,14.10
2026-02-25T00:03:00Z,85.00,15.00
2026-02-25T00:31:00Z,85.00,14.00
2026-02-25T00:38:00Z,85.00,15.00
2026-02-25T00:49:00Z,85.00,15.00
2026-02-25T00:53:00Z,86.00,15.00
2026-02-25T01:02:00Z,86.00,15.00
2026-02-25T01:17:00Z,86.00,15.00
2026-02-25T01:35:00Z,86.00,15.00
2026-02-25T01:50:00Z,86.00,15.00
2026-02-25T01:53:00Z,86.00,15.00
2026-02-25T01:57:00Z,86.00,15.00
2026-02-25T02:08:00Z,86.00,14.00
2026-02-25T02:14:00Z,86.00,14.00
2026-02-25T02:27:00Z,86.00,15.00
2026-02-25T02:28:00Z,86.00,15.00
2026-02-25T02:33:00Z,86.00,15.00
2026-02-25T02:37:00Z,86.00,15.00
2026-02-25T02:42:00Z,86.00,15.00
2026-02-25T02:49:00Z,86.00,15.00
2026-02-25T02:55:00Z,86.00,15.00
2026-02-25T02:57:00Z,86.00,15.00
2026-02-25T02:59:00Z,86.00,15.00
2026-02-25T03:05:00Z,86.00,15.00
2026-02-25T03:07:00Z,86.00,15.00
2026-02-25T03:08:00Z,86.00,15.00
2026-02-25T03:14:00Z,86.00,15.00
2026-02-25T03:31:00Z,86.00,15.00
2026-02-25T03:32:00Z,86.00,15.00
2026-02-25T03:33:00Z,86.00,15.00
2026-02-25T03:34:00Z,86.00,15.00
2026-02-25T03:40:00Z,86.00,15.00
2026-02-25T03:42:00Z,86.00,15.00
2026-02-25T03:47:00Z,86.00,15.00
2026-02-25T03:50:00Z,86.00,15.00
2026-02-25T04:00:00Z,86.00,15.00
2026-02-25T04:01:00Z,86.00,15.00
2026-02-25T04:03:00Z,86.00,15.00
2026-02-25T04:07:00Z,86.00,15.00
2026-02-25T04:08:00Z,86.00,15.00
