# event_ticker=KXATPCHALLENGERMATCH-26APR14GILSAF
# final_score=4-6 7-6(5) 3-1 RET
# match_winner=Roman Safiullin
# fav_player=Felix Gill
# dog_player=Roman Safiullin
# kalshi_date=2026-04-14
timestamp,Felix Gill,Roman Safiullin
2026-04-14T02:37:00Z,,60.00
2026-04-14T03:40:00Z,43.00,60.00
2026-04-14T04:16:00Z,41.00,60.00
2026-04-14T04:28:00Z,41.00,63.00
2026-04-14T05:05:00Z,40.00,63.00
2026-04-14T06:02:00Z,40.00,59.38
2026-04-14T06:19:00Z,40.00,59.38
2026-04-14T06:28:00Z,40.00,62.17
2026-04-14T09:42:00Z,40.00,62.00
2026-04-14T11:01:00Z,40.00,63.00
2026-04-14T11:50:00Z,39.00,63.00
2026-04-14T12:03:00Z,39.00,63.00
2026-04-14T12:04:00Z,41.00,63.00
2026-04-14T12:06:00Z,41.00,63.00
2026-04-14T12:12:00Z,41.00,63.00
2026-04-14T12:14:00Z,41.00,62.69
2026-04-14T12:22:00Z,41.00,62.92
2026-04-14T12:26:00Z,41.00,63.00
2026-04-14T12:30:00Z,40.00,63.00
2026-04-14T12:33:00Z,40.00,63.00
2026-04-14T12:46:00Z,40.00,63.00
2026-04-14T12:51:00Z,40.00,63.00
2026-04-14T13:19:00Z,40.00,63.00
2026-04-14T13:21:00Z,40.00,63.00
2026-04-14T13:24:00Z,40.00,63.00
2026-04-14T13:30:00Z,40.00,63.00
2026-04-14T13:35:00Z,40.00,63.00
2026-04-14T13:41:00Z,40.00,63.00
2026-04-14T13:42:00Z,40.00,63.00
2026-04-14T13:43:00Z,40.00,63.00
2026-04-14T13:44:00Z,40.00,60.07
2026-04-14T13:45:00Z,39.00,61.00
2026-04-14T13:47:00Z,34.00,66.35
2026-04-14T13:48:00Z,35.92,64.00
2026-04-14T13:49:00Z,31.18,68.60
2026-04-14T13:50:00Z,34.13,66.00
2026-04-14T13:51:00Z,35.34,66.78
2026-04-14T13:52:00Z,37.62,63.00
2026-04-14T13:53:00Z,40.76,64.13
2026-04-14T13:54:00Z,34.01,65.00
2026-04-14T13:55:00Z,35.00,64.60
2026-04-14T13:56:00Z,35.00,66.00
2026-04-14T13:57:00Z,31.71,69.85
2026-04-14T13:58:00Z,39.82,64.34
2026-04-14T13:59:00Z,41.30,59.00
2026-04-14T14:00:00Z,41.16,59.00
2026-04-14T14:01:00Z,47.48,45.63
2026-04-14T14:02:00Z,58.00,45.63
2026-04-14T14:03:00Z,59.50,42.92
2026-04-14T14:04:00Z,60.21,40.71
2026-04-14T14:05:00Z,63.03,37.15
2026-04-14T14:06:00Z,59.00,37.15
2026-04-14T14:07:00Z,65.77,35.53
2026-04-14T14:08:00Z,65.77,35.38
2026-04-14T14:09:00Z,62.69,38.24
2026-04-14T14:10:00Z,63.00,39.00
2026-04-14T14:11:00Z,64.81,40.11
2026-04-14T14:12:00Z,68.81,32.87
2026-04-14T14:13:00Z,68.14,32.03
2026-04-14T14:14:00Z,68.00,32.11
2026-04-14T14:15:00Z,68.66,32.33
2026-04-14T14:16:00Z,69.00,32.10
2026-04-14T14:17:00Z,67.90,34.00
2026-04-14T14:18:00Z,62.71,35.72
2026-04-14T14:19:00Z,66.51,32.94
2026-04-14T14:20:00Z,72.05,26.29
2026-04-14T14:21:00Z,72.01,28.00
2026-04-14T14:22:00Z,72.96,28.00
2026-04-14T14:23:00Z,72.45,28.94
2026-04-14T14:24:00Z,71.42,29.82
2026-04-14T14:25:00Z,68.00,32.33
2026-04-14T14:26:00Z,69.50,28.60
2026-04-14T14:27:00Z,73.05,28.60
2026-04-14T14:28:00Z,74.96,28.00
2026-04-14T14:29:00Z,74.96,23.00
2026-04-14T14:30:00Z,74.00,22.21
2026-04-14T14:31:00Z,76.70,26.66
2026-04-14T14:32:00Z,72.00,30.00
2026-04-14T14:33:00Z,68.65,31.00
2026-04-14T14:34:00Z,67.82,34.12
2026-04-14T14:35:00Z,74.69,28.03
2026-04-14T14:36:00Z,76.21,24.49
2026-04-14T14:37:00Z,75.00,25.45
2026-04-14T14:38:00Z,81.37,21.15
2026-04-14T14:39:00Z,77.23,25.36
2026-04-14T14:40:00Z,74.46,27.40
2026-04-14T14:41:00Z,73.37,28.91
