# event_ticker=KXATPMATCH-26APR07DZUMAR
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Fabian Marozsan
# fav_player=Damir Dzumhur
# dog_player=Fabian Marozsan
# kalshi_date=2026-04-07
timestamp,Damir Dzumhur,Fabian Marozsan
2026-04-07T11:01:00Z,,70.83
2026-04-07T11:02:00Z,,69.00
2026-04-07T11:04:00Z,,69.00
2026-04-07T11:06:00Z,,69.00
2026-04-07T11:07:00Z,32.00,70.00
2026-04-07T11:08:00Z,30.00,70.00
2026-04-07T11:10:00Z,30.00,71.00
2026-04-07T11:11:00Z,30.00,71.00
2026-04-07T11:15:00Z,30.00,71.00
2026-04-07T11:17:00Z,30.00,73.00
2026-04-07T11:18:00Z,30.43,73.00
2026-04-07T11:19:00Z,31.48,73.00
2026-04-07T11:20:00Z,31.48,70.84
2026-04-07T11:21:00Z,41.00,71.60
2026-04-07T11:22:00Z,38.56,71.63
2026-04-07T11:23:00Z,30.90,74.63
2026-04-07T11:24:00Z,30.76,76.91
2026-04-07T11:25:00Z,40.04,63.89
2026-04-07T11:26:00Z,41.04,68.13
2026-04-07T11:27:00Z,41.04,67.54
2026-04-07T11:28:00Z,32.00,68.52
2026-04-07T11:29:00Z,29.31,75.78
2026-04-07T11:30:00Z,15.71,74.92
2026-04-07T11:31:00Z,36.00,69.71
2026-04-07T11:32:00Z,29.17,71.47
2026-04-07T11:33:00Z,29.17,70.43
2026-04-07T11:34:00Z,34.21,67.84
2026-04-07T11:35:00Z,30.98,71.95
2026-04-07T11:36:00Z,29.00,72.60
2026-04-07T11:37:00Z,37.16,69.93
2026-04-07T11:38:00Z,31.73,71.91
2026-04-07T11:39:00Z,29.00,73.92
2026-04-07T11:40:00Z,29.03,74.08
2026-04-07T11:41:00Z,24.49,76.57
2026-04-07T11:42:00Z,19.02,83.85
2026-04-07T11:43:00Z,16.16,84.04
2026-04-07T11:44:00Z,16.00,84.33
2026-04-07T11:45:00Z,17.00,84.00
2026-04-07T11:46:00Z,16.00,84.00
2026-04-07T11:47:00Z,14.81,84.41
2026-04-07T11:48:00Z,18.52,81.87
2026-04-07T11:49:00Z,20.00,82.00
2026-04-07T11:50:00Z,16.01,83.00
2026-04-07T11:51:00Z,19.05,82.94
2026-04-07T11:52:00Z,14.88,87.50
2026-04-07T11:53:00Z,16.00,83.36
2026-04-07T11:54:00Z,16.36,84.00
2026-04-07T11:55:00Z,18.54,84.15
2026-04-07T11:56:00Z,15.13,86.96
2026-04-07T11:57:00Z,12.08,91.03
2026-04-07T11:58:00Z,12.00,89.00
2026-04-07T11:59:00Z,12.00,88.00
2026-04-07T12:00:00Z,12.01,86.32
2026-04-07T12:01:00Z,15.00,87.65
2026-04-07T12:02:00Z,12.28,89.94
2026-04-07T12:03:00Z,10.93,90.98
2026-04-07T12:04:00Z,5.86,93.90
2026-04-07T12:05:00Z,5.25,92.68
2026-04-07T12:06:00Z,8.00,93.75
2026-04-07T12:07:00Z,9.11,91.80
2026-04-07T12:08:00Z,11.63,91.25
2026-04-07T12:09:00Z,7.17,95.22
2026-04-07T12:10:00Z,4.00,95.02
2026-04-07T12:11:00Z,5.38,94.02
2026-04-07T12:12:00Z,4.34,97.10
2026-04-07T12:13:00Z,3.85,98.00
2026-04-07T12:14:00Z,2.24,98.00
2026-04-07T12:15:00Z,2.15,97.35
2026-04-07T12:16:00Z,2.00,98.00
2026-04-07T12:17:00Z,3.00,97.59
2026-04-07T12:18:00Z,1.12,98.78
2026-04-07T12:19:00Z,1.00,98.78
2026-04-07T12:20:00Z,1.00,99.00
2026-04-07T12:21:00Z,1.00,99.00
2026-04-07T12:22:00Z,1.00,99.00
2026-04-07T12:23:00Z,1.00,99.00
2026-04-07T12:25:00Z,1.00,99.00
2026-04-07T12:26:00Z,1.00,99.00
2026-04-07T12:27:00Z,1.00,99.00
2026-04-07T12:29:00Z,1.00,99.00
2026-04-07T12:30:00Z,1.00,99.00
2026-04-07T12:31:00Z,1.00,99.00
