# event_ticker=KXATPCHALLENGERMATCH-26APR28GHIKRU
# final_score=6-2 7-5
# match_winner=Antoine Ghibaudo
# fav_player=Antoine Ghibaudo
# dog_player=Oleksii Krutykh
# kalshi_date=2026-04-28
timestamp,Antoine Ghibaudo,Oleksii Krutykh
2026-04-27T17:30:00Z,,48.00
2026-04-27T19:48:00Z,59.00,48.00
2026-04-27T20:37:00Z,53.00,48.00
2026-04-27T21:10:00Z,53.00,55.00
2026-04-27T21:12:00Z,53.00,56.00
2026-04-27T21:27:00Z,41.00,56.00
2026-04-27T22:00:00Z,41.00,57.00
2026-04-27T22:24:00Z,43.00,57.00
2026-04-27T22:49:00Z,43.00,59.00
2026-04-28T01:22:00Z,44.00,59.00
2026-04-28T02:39:00Z,44.24,59.00
2026-04-28T03:21:00Z,44.24,57.00
2026-04-28T04:00:00Z,44.00,57.00
2026-04-28T04:07:00Z,44.00,57.00
2026-04-28T04:08:00Z,44.00,57.00
2026-04-28T04:16:00Z,44.00,57.00
2026-04-28T04:23:00Z,44.47,57.00
2026-04-28T04:24:00Z,45.00,57.00
2026-04-28T04:26:00Z,45.00,57.00
2026-04-28T04:29:00Z,45.00,57.00
2026-04-28T04:32:00Z,45.00,57.00
2026-04-28T04:34:00Z,45.00,57.00
2026-04-28T04:35:00Z,45.00,57.00
2026-04-28T04:39:00Z,45.00,56.00
2026-04-28T04:42:00Z,45.00,56.00
2026-04-28T04:52:00Z,45.00,56.00
2026-04-28T04:55:00Z,44.00,56.00
2026-04-28T04:56:00Z,45.35,56.00
2026-04-28T05:04:00Z,45.35,57.00
2026-04-28T05:10:00Z,45.35,57.00
2026-04-28T05:11:00Z,45.00,57.00
2026-04-28T05:12:00Z,45.00,58.00
2026-04-28T05:13:00Z,46.71,55.00
2026-04-28T05:14:00Z,45.80,54.97
2026-04-28T05:15:00Z,46.00,56.18
2026-04-28T05:16:00Z,46.68,56.00
2026-04-28T05:17:00Z,49.70,53.26
2026-04-28T05:18:00Z,51.66,47.78
2026-04-28T05:19:00Z,60.33,38.22
2026-04-28T05:20:00Z,65.31,38.00
2026-04-28T05:21:00Z,68.00,35.71
2026-04-28T05:22:00Z,69.00,34.00
2026-04-28T05:23:00Z,67.24,34.00
2026-04-28T05:24:00Z,66.83,35.00
2026-04-28T05:25:00Z,68.79,32.86
2026-04-28T05:26:00Z,69.75,33.00
2026-04-28T05:27:00Z,71.56,28.02
2026-04-28T05:28:00Z,69.12,30.85
2026-04-28T05:29:00Z,68.27,33.86
2026-04-28T05:30:00Z,64.79,36.08
