# event_ticker=KXATPMATCH-25SEP25MEDRUN
# final_score=7-6(7) 6-1
# score_resolution=6-7 1-6
# match_winner=Holger Rune
# fav_player=Hamad Medjedovic
# dog_player=Holger Rune
# kalshi_date=2025-09-25
timestamp,Hamad Medjedovic,Holger Rune
2025-09-24T21:40:00Z,,58.00
2025-09-24T21:49:00Z,,58.00
2025-09-24T22:06:00Z,,58.00
2025-09-24T22:37:00Z,,58.00
2025-09-24T22:39:00Z,,58.00
2025-09-24T23:14:00Z,,58.00
2025-09-24T23:16:00Z,,58.00
2025-09-24T23:25:00Z,,58.00
2025-09-24T23:50:00Z,,58.00
2025-09-25T00:34:00Z,,58.00
2025-09-25T00:35:00Z,,58.00
2025-09-25T00:37:00Z,,58.11
2025-09-25T00:57:00Z,,58.86
2025-09-25T01:20:00Z,,59.00
2025-09-25T01:23:00Z,,59.00
2025-09-25T01:29:00Z,,58.00
2025-09-25T01:39:00Z,,58.00
2025-09-25T02:32:00Z,,58.00
2025-09-25T02:41:00Z,,58.00
2025-09-25T03:30:00Z,,56.00
2025-09-25T03:39:00Z,,58.00
2025-09-25T04:07:00Z,,57.00
2025-09-25T04:42:00Z,,57.00
2025-09-25T04:47:00Z,,57.00
2025-09-25T04:56:00Z,,57.00
2025-09-25T04:59:00Z,42.00,57.00
2025-09-25T05:00:00Z,42.00,59.00
2025-09-25T05:04:00Z,42.00,59.00
2025-09-25T05:05:00Z,42.00,59.00
2025-09-25T05:08:00Z,40.00,59.00
2025-09-25T05:33:00Z,40.20,61.00
2025-09-25T05:34:00Z,40.20,61.00
2025-09-25T05:52:00Z,40.20,61.00
2025-09-25T06:13:00Z,40.20,61.00
2025-09-25T06:22:00Z,40.20,61.00
2025-09-25T06:33:00Z,40.00,61.00
2025-09-25T06:34:00Z,40.00,61.00
2025-09-25T06:46:00Z,41.26,61.00
2025-09-25T06:50:00Z,41.26,60.00
2025-09-25T06:57:00Z,41.26,60.00
