# event_ticker=KXATPCHALLENGERMATCH-26APR30KOPJOR
# final_score=6-3 6-3
# match_winner=David Jorda Sanchis
# fav_player=David Jorda Sanchis
# dog_player=Sandro Kopp
# kalshi_date=2026-04-30
timestamp,Sandro Kopp,David Jorda Sanchis
2026-04-30T04:45:00Z,,41.00
2026-04-30T05:15:00Z,60.00,41.00
2026-04-30T05:36:00Z,62.00,41.00
2026-04-30T06:10:00Z,58.00,41.00
2026-04-30T09:04:00Z,58.00,42.00
2026-04-30T09:17:00Z,60.00,42.00
2026-04-30T09:22:00Z,60.00,42.00
2026-04-30T09:24:00Z,60.00,42.00
2026-04-30T10:26:00Z,60.00,42.00
2026-04-30T10:40:00Z,60.00,42.00
2026-04-30T10:42:00Z,60.00,42.00
2026-04-30T11:00:00Z,60.00,42.00
2026-04-30T11:04:00Z,60.00,41.00
2026-04-30T11:24:00Z,60.00,41.00
2026-04-30T11:33:00Z,60.00,41.00
2026-04-30T11:45:00Z,60.00,41.00
2026-04-30T11:52:00Z,60.00,41.00
2026-04-30T11:56:00Z,60.00,41.00
2026-04-30T11:58:00Z,60.00,41.00
2026-04-30T12:25:00Z,60.00,40.00
2026-04-30T12:26:00Z,60.00,40.00
2026-04-30T12:29:00Z,60.00,38.50
2026-04-30T12:30:00Z,65.19,37.00
2026-04-30T12:31:00Z,67.00,30.00
2026-04-30T12:32:00Z,67.00,27.00
2026-04-30T12:34:00Z,67.00,33.00
2026-04-30T12:35:00Z,68.37,31.85
2026-04-30T12:36:00Z,68.37,31.96
2026-04-30T12:37:00Z,61.00,36.00
2026-04-30T12:38:00Z,59.17,41.06
2026-04-30T12:39:00Z,58.24,43.15
2026-04-30T12:40:00Z,57.00,43.15
2026-04-30T12:41:00Z,59.00,43.15
2026-04-30T12:42:00Z,54.02,46.00
2026-04-30T12:43:00Z,50.19,52.86
2026-04-30T12:44:00Z,38.33,61.00
2026-04-30T12:45:00Z,39.54,59.00
2026-04-30T12:46:00Z,37.00,60.00
2026-04-30T12:47:00Z,36.00,63.17
2026-04-30T12:48:00Z,38.94,63.17
2026-04-30T12:49:00Z,40.29,61.00
2026-04-30T12:50:00Z,48.65,58.87
2026-04-30T12:51:00Z,46.86,58.87
2026-04-30T12:52:00Z,46.86,60.00
2026-04-30T12:53:00Z,44.33,60.00
2026-04-30T12:54:00Z,47.00,60.00
2026-04-30T12:55:00Z,50.81,60.00
2026-04-30T12:56:00Z,56.87,57.00
2026-04-30T12:57:00Z,57.00,44.00
2026-04-30T12:58:00Z,60.04,42.00
2026-04-30T12:59:00Z,47.00,51.76
2026-04-30T13:00:00Z,47.00,59.16
2026-04-30T13:01:00Z,47.00,64.06
2026-04-30T13:02:00Z,31.02,69.30
2026-04-30T13:03:00Z,33.00,67.36
2026-04-30T13:04:00Z,31.13,69.01
2026-04-30T13:05:00Z,28.48,70.57
2026-04-30T13:06:00Z,26.32,73.96
2026-04-30T13:07:00Z,28.38,71.11
2026-04-30T13:08:00Z,30.24,72.59
2026-04-30T13:09:00Z,26.55,74.53
2026-04-30T13:10:00Z,27.17,74.12
2026-04-30T13:11:00Z,30.92,70.33
2026-04-30T13:12:00Z,30.07,69.67
2026-04-30T13:13:00Z,31.18,70.00
2026-04-30T13:14:00Z,34.17,65.66
2026-04-30T13:15:00Z,34.01,65.48
2026-04-30T13:16:00Z,27.58,74.00
2026-04-30T13:17:00Z,21.45,78.62
2026-04-30T13:18:00Z,24.11,75.42
2026-04-30T13:19:00Z,17.60,83.24
2026-04-30T13:20:00Z,13.98,86.98
2026-04-30T13:21:00Z,12.31,89.16
2026-04-30T13:22:00Z,8.65,91.94
2026-04-30T13:23:00Z,8.85,91.30
2026-04-30T13:24:00Z,9.71,92.66
2026-04-30T13:25:00Z,11.00,90.16
2026-04-30T13:26:00Z,11.00,90.00
2026-04-30T13:27:00Z,11.35,89.71
2026-04-30T13:28:00Z,13.19,87.12
2026-04-30T13:29:00Z,10.18,90.34
2026-04-30T13:30:00Z,13.65,89.12
2026-04-30T13:31:00Z,11.65,89.14
2026-04-30T13:32:00Z,8.86,90.94
2026-04-30T13:33:00Z,7.95,93.00
2026-04-30T13:34:00Z,5.65,94.09
2026-04-30T13:35:00Z,4.94,94.38
2026-04-30T13:36:00Z,8.58,93.14
2026-04-30T13:37:00Z,10.00,91.00
2026-04-30T13:38:00Z,12.00,91.54
2026-04-30T13:39:00Z,8.30,90.85
2026-04-30T13:40:00Z,10.04,90.88
2026-04-30T13:41:00Z,6.89,95.96
2026-04-30T13:42:00Z,5.09,95.37
2026-04-30T13:43:00Z,3.84,96.86
2026-04-30T13:44:00Z,3.56,97.83
2026-04-30T13:45:00Z,1.90,98.85
2026-04-30T13:46:00Z,1.00,99.00
