# event_ticker=KXATPCHALLENGERMATCH-26APR23GIUALK
# final_score=7-6(7) 6-3
# score_resolution=7-6 6-3
# match_winner=Mert Alkaya
# fav_player=Mert Alkaya
# dog_player=Massimo Giunta
# kalshi_date=2026-04-23
timestamp,Massimo Giunta,Mert Alkaya
2026-04-23T09:02:00Z,,66.00
2026-04-23T13:50:00Z,,69.00
2026-04-23T14:25:00Z,,69.00
2026-04-23T15:28:00Z,31.00,69.00
2026-04-23T15:31:00Z,31.00,69.00
2026-04-23T16:00:00Z,31.00,70.00
2026-04-23T17:32:00Z,31.00,70.00
2026-04-23T17:35:00Z,31.00,70.00
2026-04-23T18:22:00Z,31.00,69.00
2026-04-23T18:23:00Z,31.00,70.00
2026-04-23T18:43:00Z,31.00,70.00
2026-04-23T18:53:00Z,31.00,70.00
2026-04-23T18:54:00Z,31.00,70.00
2026-04-23T19:02:00Z,31.00,70.00
2026-04-23T19:06:00Z,31.00,70.00
2026-04-23T19:09:00Z,31.00,70.00
2026-04-23T19:21:00Z,31.00,70.00
2026-04-23T19:24:00Z,31.00,70.00
2026-04-23T19:26:00Z,31.00,70.00
2026-04-23T19:29:00Z,31.00,70.00
2026-04-23T19:30:00Z,31.00,71.00
2026-04-23T19:36:00Z,31.00,71.00
2026-04-23T19:44:00Z,31.18,71.00
2026-04-23T19:46:00Z,31.18,71.00
2026-04-23T19:48:00Z,31.18,71.00
2026-04-23T19:49:00Z,31.18,70.98
2026-04-23T19:50:00Z,31.18,70.00
2026-04-23T19:51:00Z,31.18,71.00
2026-04-23T19:53:00Z,31.18,70.00
2026-04-23T19:54:00Z,31.52,70.00
2026-04-23T19:55:00Z,31.62,70.10
2026-04-23T19:56:00Z,31.00,71.00
2026-04-23T19:57:00Z,31.77,71.35
2026-04-23T19:58:00Z,31.77,70.84
2026-04-23T19:59:00Z,31.00,70.02
2026-04-23T20:00:00Z,32.58,69.87
2026-04-23T20:01:00Z,34.85,66.00
2026-04-23T20:02:00Z,34.97,65.67
2026-04-23T20:03:00Z,35.46,64.72
2026-04-23T20:04:00Z,33.89,65.70
2026-04-23T20:05:00Z,33.00,66.21
2026-04-23T20:06:00Z,29.03,68.08
2026-04-23T20:07:00Z,25.32,76.12
2026-04-23T20:08:00Z,25.32,81.00
2026-04-23T20:09:00Z,22.59,77.46
2026-04-23T20:10:00Z,25.00,75.48
2026-04-23T20:11:00Z,23.24,77.44
2026-04-23T20:12:00Z,19.00,81.00
2026-04-23T20:13:00Z,17.01,83.80
2026-04-23T20:14:00Z,15.55,83.97
2026-04-23T20:15:00Z,13.95,86.97
2026-04-23T20:16:00Z,12.04,87.96
2026-04-23T20:17:00Z,11.00,88.99
2026-04-23T20:18:00Z,11.31,89.00
2026-04-23T20:19:00Z,10.33,89.28
2026-04-23T20:20:00Z,11.76,88.00
2026-04-23T20:21:00Z,14.98,84.14
2026-04-23T20:22:00Z,16.01,83.91
2026-04-23T20:23:00Z,16.09,84.10
2026-04-23T20:24:00Z,16.00,84.00
2026-04-23T20:25:00Z,17.00,84.00
2026-04-23T20:26:00Z,16.00,84.00
2026-04-23T20:27:00Z,19.76,83.79
2026-04-23T20:28:00Z,28.81,70.72
2026-04-23T20:29:00Z,36.18,64.83
2026-04-23T20:30:00Z,37.03,62.74
2026-04-23T20:31:00Z,39.52,60.91
2026-04-23T20:32:00Z,39.98,61.00
2026-04-23T20:33:00Z,44.07,55.49
2026-04-23T20:34:00Z,49.82,49.56
2026-04-23T20:35:00Z,41.12,56.32
2026-04-23T20:36:00Z,44.64,53.07
2026-04-23T20:37:00Z,38.93,60.30
2026-04-23T20:38:00Z,33.62,65.73
2026-04-23T20:39:00Z,34.87,68.65
2026-04-23T20:40:00Z,38.17,62.38
2026-04-23T20:41:00Z,38.81,63.27
2026-04-23T20:42:00Z,38.06,62.72
2026-04-23T20:43:00Z,37.90,63.79
2026-04-23T20:44:00Z,36.18,62.05
2026-04-23T20:45:00Z,39.78,61.00
2026-04-23T20:46:00Z,40.00,61.00
2026-04-23T20:47:00Z,33.20,61.00
2026-04-23T20:48:00Z,35.42,64.20
2026-04-23T20:49:00Z,36.56,64.00
2026-04-23T20:50:00Z,36.75,61.16
2026-04-23T20:51:00Z,47.19,52.57
2026-04-23T20:52:00Z,38.89,62.55
2026-04-23T20:53:00Z,30.52,69.14
2026-04-23T20:54:00Z,35.59,67.00
2026-04-23T20:55:00Z,35.75,57.05
2026-04-23T20:56:00Z,51.11,49.44
2026-04-23T20:57:00Z,44.67,58.88
2026-04-23T20:58:00Z,30.56,70.58
2026-04-23T20:59:00Z,36.81,63.86
2026-04-23T21:00:00Z,36.09,64.29
2026-04-23T21:01:00Z,18.05,84.00
2026-04-23T21:02:00Z,16.00,85.05
2026-04-23T21:03:00Z,15.86,84.16
2026-04-23T21:04:00Z,15.61,84.16
2026-04-23T21:05:00Z,15.40,84.16
2026-04-23T21:06:00Z,14.82,86.00
2026-04-23T21:07:00Z,16.00,85.57
2026-04-23T21:08:00Z,16.00,84.98
2026-04-23T21:09:00Z,16.00,84.98
2026-04-23T21:10:00Z,16.00,84.50
2026-04-23T21:11:00Z,16.00,86.00
2026-04-23T21:12:00Z,16.00,86.00
2026-04-23T21:13:00Z,14.29,85.06
2026-04-23T21:14:00Z,17.95,84.58
2026-04-23T21:15:00Z,21.08,80.23
2026-04-23T21:16:00Z,17.34,83.32
2026-04-23T21:17:00Z,15.00,86.02
2026-04-23T21:18:00Z,13.94,87.34
2026-04-23T21:19:00Z,13.61,86.66
2026-04-23T21:20:00Z,9.76,91.87
2026-04-23T21:21:00Z,6.41,93.94
2026-04-23T21:22:00Z,5.76,94.23
2026-04-23T21:23:00Z,4.51,96.00
2026-04-23T21:24:00Z,4.21,96.04
2026-04-23T21:25:00Z,3.85,97.98
2026-04-23T21:26:00Z,4.00,97.00
2026-04-23T21:27:00Z,4.01,96.84
2026-04-23T21:28:00Z,3.98,96.99
2026-04-23T21:29:00Z,3.61,96.85
2026-04-23T21:30:00Z,4.43,95.19
2026-04-23T21:31:00Z,6.34,94.66
2026-04-23T21:32:00Z,4.74,95.81
2026-04-23T21:33:00Z,3.99,96.79
2026-04-23T21:34:00Z,2.74,98.00
2026-04-23T21:35:00Z,2.23,97.99
2026-04-23T21:36:00Z,3.41,97.19
2026-04-23T21:37:00Z,3.93,97.77
2026-04-23T21:38:00Z,3.53,97.50
2026-04-23T21:39:00Z,3.96,97.03
2026-04-23T21:40:00Z,3.50,98.04
2026-04-23T21:41:00Z,1.58,98.63
2026-04-23T21:42:00Z,1.15,98.99
2026-04-23T21:43:00Z,1.72,99.00
2026-04-23T21:44:00Z,1.68,98.22
2026-04-23T21:45:00Z,1.96,98.13
2026-04-23T21:46:00Z,2.09,98.00
2026-04-23T21:47:00Z,1.52,98.87
2026-04-23T21:48:00Z,1.10,99.00
2026-04-23T21:49:00Z,1.16,99.00
2026-04-23T21:50:00Z,1.16,99.00
2026-04-23T21:51:00Z,1.16,99.00
