# event_ticker=KXATPMATCH-26MAR06COBKEC
# final_score=3-6 6-3 6-4
# match_winner=Flavio Cobolli
# fav_player=Flavio Cobolli
# dog_player=Miomir Kecmanovic
# kalshi_date=2026-03-06
timestamp,Flavio Cobolli,Miomir Kecmanovic
2026-03-06T07:20:00Z,46.01,
2026-03-06T07:23:00Z,47.00,
2026-03-06T07:25:00Z,47.00,55.00
2026-03-06T07:31:00Z,47.00,55.00
2026-03-06T07:32:00Z,47.00,55.00
2026-03-06T07:40:00Z,47.00,55.00
2026-03-06T07:48:00Z,47.00,55.00
2026-03-06T07:50:00Z,47.00,55.00
2026-03-06T07:52:00Z,47.00,55.00
2026-03-06T07:57:00Z,47.00,55.00
2026-03-06T08:01:00Z,47.00,55.00
2026-03-06T08:02:00Z,47.00,55.00
2026-03-06T08:03:00Z,47.00,55.00
2026-03-06T08:04:00Z,47.00,55.00
2026-03-06T08:05:00Z,47.00,55.00
2026-03-06T08:11:00Z,47.00,55.00
2026-03-06T08:13:00Z,47.00,55.00
2026-03-06T08:14:00Z,45.00,55.00
2026-03-06T08:17:00Z,47.00,55.00
2026-03-06T08:18:00Z,47.00,55.00
2026-03-06T08:27:00Z,47.00,55.00
2026-03-06T08:31:00Z,47.00,55.00
2026-03-06T08:33:00Z,47.00,55.00
2026-03-06T08:47:00Z,45.00,55.00
2026-03-06T09:03:00Z,45.00,55.00
2026-03-06T09:04:00Z,47.00,55.00
2026-03-06T09:06:00Z,47.00,55.00
2026-03-06T09:08:00Z,47.00,55.00
2026-03-06T09:13:00Z,47.00,55.00
2026-03-06T09:17:00Z,48.00,55.00
2026-03-06T09:22:00Z,48.00,55.00
2026-03-06T09:23:00Z,48.00,55.00
2026-03-06T09:30:00Z,48.00,55.00
2026-03-06T09:49:00Z,48.00,55.00
2026-03-06T09:53:00Z,48.00,55.00
2026-03-06T09:54:00Z,48.00,55.00
2026-03-06T09:55:00Z,48.00,55.00
2026-03-06T09:56:00Z,48.00,54.00
2026-03-06T09:57:00Z,48.00,54.79
2026-03-06T10:25:00Z,45.00,54.79
2026-03-06T10:32:00Z,45.00,54.00
2026-03-06T10:47:00Z,45.00,54.00
2026-03-06T10:54:00Z,45.00,54.00
2026-03-06T10:57:00Z,45.00,54.53
2026-03-06T11:03:00Z,47.00,54.53
