# event_ticker=KXATPCHALLENGERMATCH-26FEB24SCHBAS
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Joel Schwaerzler
# fav_player=Mirza Basic
# dog_player=Joel Schwaerzler
# kalshi_date=2026-02-24
timestamp,Mirza Basic,Joel Schwaerzler
2026-02-24T04:01:00Z,,60.00
2026-02-24T04:49:00Z,44.00,60.00
2026-02-24T05:12:00Z,44.00,59.00
2026-02-24T05:26:00Z,44.00,59.00
2026-02-24T05:45:00Z,44.00,57.00
2026-02-24T05:49:00Z,44.00,57.00
2026-02-24T06:20:00Z,44.00,57.00
2026-02-24T06:51:00Z,43.00,57.00
2026-02-24T07:04:00Z,47.43,53.25
2026-02-24T07:06:00Z,49.00,53.25
2026-02-24T07:46:00Z,49.00,53.25
2026-02-24T07:47:00Z,49.00,50.78
2026-02-24T07:55:00Z,50.00,50.78
2026-02-24T08:00:00Z,50.00,54.00
2026-02-24T08:15:00Z,49.00,54.00
2026-02-24T08:20:00Z,49.00,54.00
2026-02-24T08:53:00Z,49.00,55.00
2026-02-24T09:26:00Z,46.00,57.00
2026-02-24T10:21:00Z,46.00,57.00
2026-02-24T10:32:00Z,44.00,57.00
2026-02-24T11:06:00Z,44.00,59.00
2026-02-24T11:44:00Z,44.00,59.00
2026-02-24T11:48:00Z,44.00,59.00
2026-02-24T12:03:00Z,44.00,59.00
2026-02-24T12:06:00Z,44.00,60.00
2026-02-24T12:14:00Z,44.00,60.00
2026-02-24T12:35:00Z,44.00,60.00
2026-02-24T12:46:00Z,44.00,60.00
2026-02-24T12:57:00Z,44.00,59.00
2026-02-24T13:02:00Z,44.00,59.00
2026-02-24T13:04:00Z,44.00,59.66
2026-02-24T13:11:00Z,44.00,59.00
2026-02-24T13:15:00Z,44.00,60.78
2026-02-24T13:34:00Z,44.00,60.00
2026-02-24T13:48:00Z,42.00,60.00
2026-02-24T13:55:00Z,42.00,60.00
2026-02-24T13:57:00Z,42.00,60.00
2026-02-24T13:58:00Z,42.00,60.00
2026-02-24T14:04:00Z,42.00,60.00
2026-02-24T14:16:00Z,42.00,60.00
2026-02-24T14:19:00Z,42.00,60.00
2026-02-24T14:23:00Z,42.00,60.00
2026-02-24T14:29:00Z,42.00,60.00
2026-02-24T14:30:00Z,42.00,60.00
2026-02-24T14:32:00Z,42.00,60.00
2026-02-24T14:33:00Z,42.00,60.00
2026-02-24T14:34:00Z,42.00,60.00
2026-02-24T14:38:00Z,42.00,60.45
2026-02-24T14:39:00Z,42.00,60.00
2026-02-24T14:41:00Z,42.00,60.82
2026-02-24T14:42:00Z,42.00,61.00
2026-02-24T14:43:00Z,42.00,61.00
2026-02-24T14:44:00Z,42.00,61.00
2026-02-24T14:59:00Z,42.00,61.00
2026-02-24T15:02:00Z,42.00,61.00
