# event_ticker=KXATPCHALLENGERMATCH-26JUN02SCHFER
# final_score=6-4 3-6 6-3
# match_winner=Arthur Fery
# fav_player=Arthur Fery
# dog_player=Tristan Schoolkate
# kalshi_date=2026-06-02
timestamp,Tristan Schoolkate,Arthur Fery
2026-06-02T01:35:00Z,40.00,
2026-06-02T02:27:00Z,40.00,
2026-06-02T03:08:00Z,40.00,
2026-06-02T03:51:00Z,40.00,
2026-06-02T04:20:00Z,40.00,62.00
2026-06-02T04:21:00Z,40.00,62.00
2026-06-02T04:43:00Z,40.00,62.00
2026-06-02T04:57:00Z,39.00,62.00
2026-06-02T05:07:00Z,39.00,62.00
2026-06-02T05:08:00Z,40.00,62.00
2026-06-02T05:09:00Z,40.00,62.00
2026-06-02T05:21:00Z,40.00,62.00
2026-06-02T05:30:00Z,40.00,62.00
2026-06-02T05:39:00Z,40.00,62.00
2026-06-02T05:54:00Z,40.00,62.00
2026-06-02T06:25:00Z,40.00,62.00
2026-06-02T07:29:00Z,40.00,62.00
2026-06-02T07:39:00Z,40.00,62.00
2026-06-02T07:48:00Z,40.00,62.00
2026-06-02T08:27:00Z,40.00,62.00
2026-06-02T08:30:00Z,40.00,62.00
2026-06-02T10:10:00Z,40.00,62.00
2026-06-02T10:18:00Z,40.00,62.00
2026-06-02T10:23:00Z,40.00,62.00
2026-06-02T10:25:00Z,40.00,62.00
2026-06-02T10:42:00Z,39.00,62.00
2026-06-02T10:48:00Z,39.00,63.00
2026-06-02T10:51:00Z,39.00,63.00
2026-06-02T10:52:00Z,40.00,60.00
2026-06-02T10:54:00Z,44.84,60.00
2026-06-02T10:55:00Z,45.01,55.15
2026-06-02T10:56:00Z,45.00,55.15
2026-06-02T10:57:00Z,44.00,55.61
2026-06-02T10:58:00Z,45.96,56.00
2026-06-02T10:59:00Z,47.04,52.21
2026-06-02T11:00:00Z,47.71,51.91
2026-06-02T11:01:00Z,44.72,56.57
2026-06-02T11:02:00Z,41.90,56.57
2026-06-02T11:03:00Z,46.00,55.99
2026-06-02T11:04:00Z,46.00,55.00
2026-06-02T11:05:00Z,48.00,55.00
2026-06-02T11:06:00Z,47.67,53.00
2026-06-02T11:07:00Z,44.00,58.71
2026-06-02T11:08:00Z,43.00,58.71
2026-06-02T11:09:00Z,45.00,58.71
2026-06-02T11:10:00Z,47.00,55.00
2026-06-02T11:12:00Z,43.00,56.25
2026-06-02T11:13:00Z,44.00,57.56
2026-06-02T11:14:00Z,43.99,57.00
2026-06-02T11:15:00Z,39.64,61.88
2026-06-02T11:16:00Z,34.19,67.17
2026-06-02T11:17:00Z,34.19,79.00
2026-06-02T11:18:00Z,23.07,79.00
2026-06-02T11:19:00Z,20.00,80.10
2026-06-02T11:20:00Z,23.91,77.27
2026-06-02T11:22:00Z,19.00,81.00
2026-06-02T11:23:00Z,17.22,82.00
2026-06-02T11:24:00Z,15.23,82.00
2026-06-02T11:25:00Z,19.00,81.00
2026-06-02T11:26:00Z,20.00,81.00
2026-06-02T11:27:00Z,19.12,80.49
2026-06-02T11:28:00Z,18.00,80.49
2026-06-02T11:29:00Z,16.00,80.49
2026-06-02T11:30:00Z,16.00,80.49
2026-06-02T11:31:00Z,16.00,85.00
2026-06-02T11:32:00Z,15.85,87.98
2026-06-02T11:33:00Z,12.57,86.68
2026-06-02T11:34:00Z,16.38,86.68
2026-06-02T11:35:00Z,17.25,86.68
2026-06-02T11:36:00Z,17.87,86.68
2026-06-02T11:37:00Z,21.79,79.00
2026-06-02T11:38:00Z,22.58,79.04
2026-06-02T11:39:00Z,23.06,78.45
2026-06-02T11:40:00Z,17.66,78.45
2026-06-02T11:41:00Z,12.74,87.37
2026-06-02T11:42:00Z,16.98,83.00
2026-06-02T11:43:00Z,17.14,84.00
2026-06-02T11:44:00Z,16.91,83.90
2026-06-02T11:45:00Z,18.00,81.00
2026-06-02T11:46:00Z,19.00,82.00
2026-06-02T11:47:00Z,19.48,81.88
2026-06-02T11:48:00Z,19.61,81.88
2026-06-02T11:49:00Z,21.76,77.88
2026-06-02T11:50:00Z,25.45,69.98
2026-06-02T11:51:00Z,34.60,66.73
2026-06-02T11:52:00Z,27.41,69.82
2026-06-02T11:53:00Z,30.68,68.43
2026-06-02T11:54:00Z,34.35,69.00
2026-06-02T11:55:00Z,33.83,68.53
2026-06-02T11:56:00Z,30.27,73.00
2026-06-02T11:57:00Z,32.02,68.00
2026-06-02T11:58:00Z,36.00,65.29
2026-06-02T11:59:00Z,35.77,65.00
2026-06-02T12:00:00Z,36.00,65.00
2026-06-02T12:01:00Z,34.00,67.00
2026-06-02T12:02:00Z,30.00,69.78
2026-06-02T12:03:00Z,34.67,69.78
2026-06-02T12:04:00Z,36.42,64.10
2026-06-02T12:05:00Z,35.96,65.48
2026-06-02T12:06:00Z,33.71,64.00
2026-06-02T12:07:00Z,37.00,64.00
2026-06-02T12:08:00Z,38.54,61.07
2026-06-02T12:09:00Z,36.34,63.92
2026-06-02T12:10:00Z,31.68,66.27
2026-06-02T12:11:00Z,34.82,64.00
2026-06-02T12:12:00Z,37.78,63.00
2026-06-02T12:13:00Z,40.00,60.52
2026-06-02T12:14:00Z,38.99,61.00
2026-06-02T12:15:00Z,36.13,64.78
2026-06-02T12:16:00Z,34.77,65.61
2026-06-02T12:17:00Z,36.47,63.67
2026-06-02T12:18:00Z,34.72,65.98
2026-06-02T12:19:00Z,32.20,74.07
2026-06-02T12:20:00Z,18.36,81.41
2026-06-02T12:21:00Z,14.07,83.22
2026-06-02T12:22:00Z,13.39,87.66
2026-06-02T12:23:00Z,15.09,84.06
2026-06-02T12:24:00Z,19.57,80.12
2026-06-02T12:25:00Z,16.48,82.15
2026-06-02T12:26:00Z,8.74,91.87
2026-06-02T12:27:00Z,8.68,92.00
2026-06-02T12:28:00Z,9.82,92.44
2026-06-02T12:29:00Z,8.85,93.05
2026-06-02T12:30:00Z,4.35,95.47
2026-06-02T12:31:00Z,7.99,91.98
2026-06-02T12:32:00Z,10.93,89.96
2026-06-02T12:33:00Z,10.41,91.39
2026-06-02T12:34:00Z,8.15,92.15
2026-06-02T12:35:00Z,14.53,86.01
2026-06-02T12:36:00Z,20.28,82.21
2026-06-02T12:37:00Z,13.10,87.43
2026-06-02T12:38:00Z,19.03,79.51
2026-06-02T12:39:00Z,19.13,77.61
2026-06-02T12:40:00Z,21.69,82.06
2026-06-02T12:41:00Z,12.36,85.55
2026-06-02T12:42:00Z,13.21,89.90
2026-06-02T12:43:00Z,8.74,92.00
2026-06-02T12:44:00Z,8.88,92.41
2026-06-02T12:45:00Z,9.31,90.73
2026-06-02T12:46:00Z,9.99,89.65
2026-06-02T12:47:00Z,11.04,90.05
2026-06-02T12:48:00Z,6.22,94.87
2026-06-02T12:49:00Z,4.20,95.99
2026-06-02T12:50:00Z,4.98,96.00
2026-06-02T12:51:00Z,5.80,95.07
2026-06-02T12:52:00Z,6.72,94.93
2026-06-02T12:53:00Z,4.22,93.07
2026-06-02T12:54:00Z,5.86,95.11
2026-06-02T12:55:00Z,9.34,92.18
2026-06-02T12:56:00Z,12.29,89.63
2026-06-02T12:57:00Z,17.70,85.38
2026-06-02T12:58:00Z,5.21,93.45
2026-06-02T12:59:00Z,17.42,88.99
2026-06-02T13:00:00Z,15.12,88.04
2026-06-02T13:01:00Z,7.02,91.77
2026-06-02T13:02:00Z,3.13,98.47
2026-06-02T13:03:00Z,1.00,99.00
2026-06-02T13:04:00Z,1.00,99.00
2026-06-02T13:05:00Z,1.00,99.00
2026-06-02T13:06:00Z,1.00,99.00
