# event_ticker=KXATPCHALLENGERMATCH-26MAR05GIUGAD
# final_score=5-7 6-4 6-3
# score_resolution=7-5 4-6 3-6
# match_winner=Lorenzo Giustino
# fav_player=Buvaysar Gadamauri
# dog_player=Lorenzo Giustino
# kalshi_date=2026-03-05
timestamp,Buvaysar Gadamauri,Lorenzo Giustino
2026-03-05T00:24:00Z,,52.00
2026-03-05T02:58:00Z,,53.81
2026-03-05T04:28:00Z,,54.00
2026-03-05T05:14:00Z,,52.00
2026-03-05T05:24:00Z,,52.00
2026-03-05T05:27:00Z,,52.00
2026-03-05T05:48:00Z,,52.00
2026-03-05T06:05:00Z,,52.00
2026-03-05T06:13:00Z,47.00,52.00
2026-03-05T06:20:00Z,47.00,52.58
2026-03-05T06:22:00Z,47.00,53.00
2026-03-05T06:27:00Z,49.00,53.00
2026-03-05T06:31:00Z,50.00,53.00
2026-03-05T06:51:00Z,50.00,53.00
2026-03-05T06:54:00Z,50.00,53.00
2026-03-05T06:55:00Z,50.00,53.00
2026-03-05T06:56:00Z,50.00,53.43
2026-03-05T06:57:00Z,50.00,54.00
2026-03-05T06:58:00Z,50.00,54.13
2026-03-05T07:00:00Z,47.00,54.00
2026-03-05T07:03:00Z,47.00,54.00
2026-03-05T07:05:00Z,47.00,54.00
2026-03-05T07:06:00Z,47.00,54.00
2026-03-05T07:07:00Z,47.00,54.00
2026-03-05T07:09:00Z,47.00,54.00
2026-03-05T07:10:00Z,47.00,54.00
2026-03-05T07:11:00Z,47.00,54.56
2026-03-05T07:16:00Z,47.00,54.00
2026-03-05T07:17:00Z,47.00,54.00
2026-03-05T07:20:00Z,47.00,54.00
2026-03-05T07:21:00Z,47.00,54.00
2026-03-05T07:24:00Z,47.00,54.00
2026-03-05T07:27:00Z,47.00,54.00
2026-03-05T07:28:00Z,47.00,52.36
2026-03-05T07:31:00Z,47.00,54.18
2026-03-05T07:32:00Z,47.00,55.00
2026-03-05T07:34:00Z,47.00,55.00
