# event_ticker=KXATPCHALLENGERMATCH-26APR14VILBUE
# final_score=6-4 5-7 6-4
# match_winner=Gonzalo Bueno
# fav_player=Gonzalo Bueno
# dog_player=Gonzalo Villanueva
# kalshi_date=2026-04-14
timestamp,Gonzalo Bueno,Gonzalo Villanueva
2026-04-14T12:20:00Z,69.00,
2026-04-14T12:28:00Z,69.00,
2026-04-14T13:17:00Z,69.00,
2026-04-14T13:32:00Z,69.00,32.00
2026-04-14T14:03:00Z,69.00,32.00
2026-04-14T14:10:00Z,69.00,32.00
2026-04-14T14:27:00Z,69.00,32.00
2026-04-14T14:46:00Z,70.00,32.00
2026-04-14T14:50:00Z,70.00,32.00
2026-04-14T16:13:00Z,70.00,32.00
2026-04-14T16:19:00Z,70.00,32.00
2026-04-14T16:46:00Z,70.00,32.00
2026-04-14T17:37:00Z,71.00,32.00
2026-04-14T18:51:00Z,71.00,32.00
2026-04-14T18:56:00Z,72.00,32.00
2026-04-14T19:12:00Z,72.00,30.00
2026-04-14T19:15:00Z,72.00,28.00
2026-04-14T19:16:00Z,72.00,30.00
2026-04-14T19:26:00Z,72.00,30.00
2026-04-14T19:44:00Z,72.00,30.00
2026-04-14T19:57:00Z,72.00,30.00
2026-04-14T19:59:00Z,72.00,30.00
2026-04-14T20:06:00Z,72.00,30.00
2026-04-14T20:07:00Z,69.15,30.00
2026-04-14T20:08:00Z,71.00,32.00
2026-04-14T20:09:00Z,73.82,29.00
2026-04-14T20:10:00Z,75.37,29.00
2026-04-14T20:11:00Z,77.83,29.00
2026-04-14T20:12:00Z,75.00,28.00
2026-04-14T20:13:00Z,73.95,29.95
2026-04-14T20:14:00Z,67.11,32.00
2026-04-14T20:15:00Z,67.00,35.39
2026-04-14T20:16:00Z,64.19,35.07
2026-04-14T20:17:00Z,67.60,32.15
2026-04-14T20:18:00Z,73.72,33.33
2026-04-14T20:19:00Z,73.72,35.07
2026-04-14T20:20:00Z,63.58,36.00
2026-04-14T20:21:00Z,65.61,36.51
2026-04-14T20:22:00Z,65.61,37.11
2026-04-14T20:23:00Z,62.96,37.39
2026-04-14T20:24:00Z,65.08,40.00
2026-04-14T20:25:00Z,56.24,45.15
2026-04-14T20:26:00Z,64.99,37.00
2026-04-14T20:27:00Z,64.99,34.00
2026-04-14T20:28:00Z,64.81,36.00
2026-04-14T20:29:00Z,61.20,42.55
2026-04-14T20:30:00Z,58.91,41.08
2026-04-14T20:31:00Z,59.08,43.00
2026-04-14T20:32:00Z,60.00,41.00
2026-04-14T20:33:00Z,61.60,38.28
2026-04-14T20:34:00Z,64.70,37.00
2026-04-14T20:35:00Z,60.72,38.39
2026-04-14T20:36:00Z,60.32,38.00
2026-04-14T20:37:00Z,65.70,35.58
2026-04-14T20:38:00Z,66.00,36.93
2026-04-14T20:39:00Z,62.07,40.00
2026-04-14T20:40:00Z,69.79,34.49
2026-04-14T20:41:00Z,75.56,23.00
2026-04-14T20:42:00Z,75.64,23.00
2026-04-14T20:43:00Z,78.58,23.00
2026-04-14T20:44:00Z,81.78,17.23
2026-04-14T20:45:00Z,79.99,20.50
2026-04-14T20:46:00Z,70.42,27.49
2026-04-14T20:47:00Z,74.11,28.42
2026-04-14T20:48:00Z,78.04,26.41
2026-04-14T20:49:00Z,73.93,27.00
2026-04-14T20:50:00Z,77.99,24.01
2026-04-14T20:51:00Z,81.00,20.70
2026-04-14T20:52:00Z,82.99,18.29
2026-04-14T20:53:00Z,83.72,17.26
2026-04-14T20:54:00Z,80.12,20.00
2026-04-14T20:55:00Z,79.00,23.43
2026-04-14T20:56:00Z,79.19,23.29
2026-04-14T20:57:00Z,83.15,20.26
2026-04-14T20:58:00Z,84.70,15.99
2026-04-14T20:59:00Z,85.00,16.00
2026-04-14T21:00:00Z,84.85,16.00
2026-04-14T21:01:00Z,86.00,15.56
2026-04-14T21:02:00Z,85.96,16.00
2026-04-14T21:03:00Z,85.03,15.00
2026-04-14T21:04:00Z,85.18,15.40
2026-04-14T21:05:00Z,89.79,13.91
2026-04-14T21:06:00Z,91.30,11.14
2026-04-14T21:07:00Z,91.67,8.89
2026-04-14T21:08:00Z,88.16,13.58
2026-04-14T21:09:00Z,85.08,15.82
2026-04-14T21:10:00Z,85.24,16.96
2026-04-14T21:11:00Z,93.21,8.27
2026-04-14T21:12:00Z,95.44,6.00
2026-04-14T21:13:00Z,94.40,4.60
2026-04-14T21:14:00Z,93.24,5.97
2026-04-14T21:15:00Z,93.27,7.69
2026-04-14T21:16:00Z,92.72,5.48
2026-04-14T21:17:00Z,91.98,9.00
2026-04-14T21:18:00Z,92.00,9.00
2026-04-14T21:19:00Z,92.14,7.06
2026-04-14T21:20:00Z,94.02,6.20
2026-04-14T21:21:00Z,95.15,5.06
2026-04-14T21:22:00Z,94.85,4.76
2026-04-14T21:23:00Z,94.53,5.97
2026-04-14T21:24:00Z,93.00,7.06
2026-04-14T21:25:00Z,93.56,7.95
2026-04-14T21:26:00Z,94.39,6.52
2026-04-14T21:27:00Z,93.28,7.08
2026-04-14T21:28:00Z,92.31,8.93
2026-04-14T21:29:00Z,94.77,5.22
2026-04-14T21:30:00Z,96.18,3.10
2026-04-14T21:31:00Z,98.50,2.74
2026-04-14T21:32:00Z,96.45,5.00
2026-04-14T21:33:00Z,94.47,6.89
2026-04-14T21:34:00Z,93.96,6.98
2026-04-14T21:35:00Z,94.34,7.00
2026-04-14T21:36:00Z,92.53,9.60
2026-04-14T21:37:00Z,90.01,12.88
2026-04-14T21:38:00Z,92.60,9.07
2026-04-14T21:39:00Z,92.54,7.19
2026-04-14T21:40:00Z,85.29,15.74
2026-04-14T21:41:00Z,84.07,17.45
2026-04-14T21:42:00Z,87.07,14.45
2026-04-14T21:43:00Z,83.43,19.19
2026-04-14T21:44:00Z,77.81,22.52
2026-04-14T21:45:00Z,75.94,24.11
2026-04-14T21:46:00Z,77.59,25.52
2026-04-14T21:47:00Z,75.43,26.74
2026-04-14T21:48:00Z,75.68,28.08
2026-04-14T21:49:00Z,77.84,24.17
2026-04-14T21:50:00Z,81.29,18.51
2026-04-14T21:51:00Z,81.28,20.60
2026-04-14T21:52:00Z,77.52,24.69
2026-04-14T21:53:00Z,77.83,23.07
2026-04-14T21:54:00Z,74.50,26.62
2026-04-14T21:55:00Z,74.59,25.04
2026-04-14T21:56:00Z,79.21,19.86
2026-04-14T21:57:00Z,81.39,20.76
2026-04-14T21:58:00Z,75.60,24.08
2026-04-14T21:59:00Z,73.40,29.55
2026-04-14T22:00:00Z,63.44,39.16
2026-04-14T22:01:00Z,59.59,37.67
2026-04-14T22:02:00Z,59.91,41.50
2026-04-14T22:03:00Z,59.81,41.23
2026-04-14T22:04:00Z,56.12,46.60
2026-04-14T22:05:00Z,48.84,51.43
2026-04-14T22:06:00Z,49.38,52.58
2026-04-14T22:07:00Z,49.30,50.19
2026-04-14T22:08:00Z,39.82,59.56
2026-04-14T22:09:00Z,41.75,59.45
2026-04-14T22:10:00Z,48.48,52.00
2026-04-14T22:11:00Z,52.40,52.56
2026-04-14T22:12:00Z,57.30,45.50
2026-04-14T22:13:00Z,64.92,32.99
2026-04-14T22:14:00Z,64.02,38.85
2026-04-14T22:15:00Z,70.29,27.84
2026-04-14T22:16:00Z,75.42,24.59
2026-04-14T22:17:00Z,74.10,26.12
2026-04-14T22:18:00Z,66.91,32.28
2026-04-14T22:19:00Z,78.83,22.40
2026-04-14T22:20:00Z,82.96,18.74
2026-04-14T22:21:00Z,82.25,19.13
2026-04-14T22:22:00Z,78.20,21.20
2026-04-14T22:23:00Z,78.59,21.06
2026-04-14T22:24:00Z,78.18,22.53
2026-04-14T22:25:00Z,80.27,19.52
2026-04-14T22:26:00Z,80.35,20.18
2026-04-14T22:27:00Z,79.81,20.49
2026-04-14T22:28:00Z,87.07,14.88
2026-04-14T22:29:00Z,87.16,14.16
2026-04-14T22:30:00Z,82.75,18.36
2026-04-14T22:31:00Z,81.04,19.64
2026-04-14T22:32:00Z,82.07,19.06
2026-04-14T22:33:00Z,81.99,18.95
2026-04-14T22:34:00Z,79.25,26.07
2026-04-14T22:35:00Z,69.62,27.18
2026-04-14T22:36:00Z,84.44,15.70
2026-04-14T22:37:00Z,76.22,23.18
2026-04-14T22:38:00Z,85.71,14.81
2026-04-14T22:39:00Z,91.95,8.38
2026-04-14T22:40:00Z,90.90,10.74
2026-04-14T22:41:00Z,90.99,11.10
2026-04-14T22:42:00Z,89.49,11.65
2026-04-14T22:43:00Z,87.94,13.24
2026-04-14T22:44:00Z,82.20,16.22
2026-04-14T22:45:00Z,97.35,2.27
2026-04-14T22:46:00Z,99.00,1.00
2026-04-14T22:47:00Z,99.00,1.00
