# event_ticker=KXATPCHALLENGERMATCH-26MAY11OLIBAS
# final_score=6-1 1-6 6-3
# match_winner=Nishesh Basavareddy
# fav_player=Nishesh Basavareddy
# dog_player=Genaro Alberto Olivieri
# kalshi_date=2026-05-11
timestamp,Genaro Alberto Olivieri,Nishesh Basavareddy
2026-05-12T01:13:00Z,27.00,
2026-05-12T01:34:00Z,27.00,74.00
2026-05-12T02:00:00Z,27.00,74.00
2026-05-12T02:11:00Z,27.00,74.00
2026-05-12T02:21:00Z,27.00,74.00
2026-05-12T02:51:00Z,27.00,74.00
2026-05-12T03:05:00Z,27.00,74.00
2026-05-12T03:56:00Z,27.00,74.00
2026-05-12T04:03:00Z,27.00,74.00
2026-05-12T04:19:00Z,27.00,74.00
2026-05-12T04:30:00Z,26.00,74.00
2026-05-12T04:33:00Z,26.00,74.00
2026-05-12T04:34:00Z,26.00,74.00
2026-05-12T05:20:00Z,26.00,74.00
2026-05-12T05:22:00Z,26.00,73.00
2026-05-12T05:25:00Z,26.00,72.00
2026-05-12T05:34:00Z,26.00,72.40
2026-05-12T05:36:00Z,29.00,72.40
2026-05-12T05:38:00Z,29.00,73.00
2026-05-12T05:40:00Z,29.00,72.00
2026-05-12T05:46:00Z,29.00,72.00
2026-05-12T05:53:00Z,29.00,72.00
2026-05-12T05:58:00Z,29.00,72.00
2026-05-12T06:03:00Z,29.00,72.00
2026-05-12T06:08:00Z,29.00,72.00
2026-05-12T06:42:00Z,29.00,72.00
2026-05-12T07:23:00Z,29.00,70.00
2026-05-12T07:26:00Z,31.00,70.00
2026-05-12T07:57:00Z,31.00,70.00
2026-05-12T09:21:00Z,31.00,70.00
2026-05-12T09:25:00Z,30.00,70.00
2026-05-12T09:51:00Z,30.00,71.00
2026-05-12T10:35:00Z,31.00,71.00
2026-05-12T10:36:00Z,31.37,71.00
2026-05-12T10:37:00Z,32.57,71.00
2026-05-12T11:08:00Z,33.00,71.00
2026-05-12T11:36:00Z,33.00,69.00
2026-05-12T11:39:00Z,34.16,69.00
2026-05-12T12:01:00Z,32.00,69.00
2026-05-12T12:04:00Z,32.00,70.87
2026-05-12T12:07:00Z,32.00,71.00
2026-05-12T12:09:00Z,32.00,71.00
2026-05-12T12:13:00Z,32.00,71.00
2026-05-12T12:14:00Z,32.00,71.00
2026-05-12T12:15:00Z,34.79,71.00
2026-05-12T12:17:00Z,27.00,74.00
2026-05-12T12:18:00Z,24.85,76.06
2026-05-12T12:19:00Z,24.98,79.00
2026-05-12T12:20:00Z,20.68,76.00
2026-05-12T12:21:00Z,20.00,80.99
2026-05-12T12:22:00Z,24.00,80.99
2026-05-12T12:23:00Z,19.00,84.00
2026-05-12T12:24:00Z,17.60,84.00
2026-05-12T12:27:00Z,17.00,85.00
2026-05-12T12:28:00Z,17.00,83.94
2026-05-12T12:30:00Z,17.00,85.00
2026-05-12T12:31:00Z,17.00,85.00
2026-05-12T12:33:00Z,16.00,84.00
2026-05-12T12:34:00Z,15.00,86.00
2026-05-12T12:35:00Z,15.00,87.00
2026-05-12T12:36:00Z,12.00,88.85
2026-05-12T12:37:00Z,12.00,89.00
2026-05-12T12:38:00Z,12.00,90.00
2026-05-12T12:39:00Z,12.00,89.00
2026-05-12T12:40:00Z,11.29,90.02
2026-05-12T12:41:00Z,11.00,91.00
2026-05-12T12:42:00Z,11.00,90.55
2026-05-12T12:43:00Z,11.00,90.00
2026-05-12T12:44:00Z,12.00,89.02
2026-05-12T12:45:00Z,10.31,89.36
2026-05-12T12:46:00Z,10.31,90.03
2026-05-12T12:47:00Z,11.00,90.00
2026-05-12T12:48:00Z,11.00,90.04
2026-05-12T12:49:00Z,11.00,89.99
2026-05-12T12:50:00Z,11.00,90.00
2026-05-12T12:51:00Z,11.00,90.00
2026-05-12T12:52:00Z,11.00,90.00
2026-05-12T12:53:00Z,11.00,91.00
2026-05-12T12:54:00Z,11.11,90.95
2026-05-12T12:55:00Z,9.73,95.09
2026-05-12T12:56:00Z,11.00,89.07
2026-05-12T12:57:00Z,12.21,88.33
2026-05-12T12:58:00Z,16.97,86.93
2026-05-12T12:59:00Z,19.96,80.09
2026-05-12T13:00:00Z,22.16,81.00
2026-05-12T13:01:00Z,24.13,79.00
2026-05-12T13:02:00Z,25.01,75.76
2026-05-12T13:03:00Z,29.03,71.40
2026-05-12T13:04:00Z,29.96,70.02
2026-05-12T13:05:00Z,29.96,70.00
2026-05-12T13:06:00Z,33.54,65.41
2026-05-12T13:07:00Z,33.54,63.96
2026-05-12T13:08:00Z,32.30,66.68
2026-05-12T13:09:00Z,39.07,62.59
2026-05-12T13:10:00Z,39.07,62.50
2026-05-12T13:11:00Z,37.00,64.04
2026-05-12T13:12:00Z,40.43,61.90
2026-05-12T13:13:00Z,42.00,58.79
2026-05-12T13:14:00Z,42.00,59.00
2026-05-12T13:15:00Z,42.00,60.00
2026-05-12T13:16:00Z,42.00,59.33
2026-05-12T13:17:00Z,41.00,59.73
2026-05-12T13:18:00Z,42.58,59.73
2026-05-12T13:19:00Z,43.00,58.00
2026-05-12T13:20:00Z,43.00,57.96
2026-05-12T13:21:00Z,44.64,56.58
2026-05-12T13:22:00Z,43.42,57.00
2026-05-12T13:23:00Z,43.42,57.00
2026-05-12T13:24:00Z,45.79,55.00
2026-05-12T13:25:00Z,45.82,55.00
2026-05-12T13:26:00Z,46.00,56.09
2026-05-12T13:27:00Z,44.09,55.50
2026-05-12T13:28:00Z,44.14,55.00
2026-05-12T13:29:00Z,46.00,55.00
2026-05-12T13:30:00Z,46.00,55.84
2026-05-12T13:31:00Z,45.47,55.22
2026-05-12T13:32:00Z,44.55,55.18
2026-05-12T13:33:00Z,42.09,57.37
2026-05-12T13:34:00Z,41.08,59.40
2026-05-12T13:35:00Z,42.15,58.72
2026-05-12T13:36:00Z,41.16,59.36
2026-05-12T13:37:00Z,40.67,59.90
2026-05-12T13:38:00Z,39.88,58.85
2026-05-12T13:39:00Z,43.99,56.37
