# event_ticker=KXATPCHALLENGERMATCH-26MAR03TABNIS
# final_score=7-5 4-6 6-2
# score_resolution=5-7 6-4 2-6
# match_winner=Kei Nishikori
# fav_player=Clement Tabur
# dog_player=Kei Nishikori
# kalshi_date=2026-03-03
timestamp,Clement Tabur,Kei Nishikori
2026-03-03T02:32:00Z,63.00,
2026-03-03T02:44:00Z,63.00,40.00
2026-03-03T03:50:00Z,63.00,40.00
2026-03-03T04:07:00Z,63.00,40.00
2026-03-03T04:56:00Z,63.00,39.00
2026-03-03T05:07:00Z,63.00,39.00
2026-03-03T05:31:00Z,63.00,39.00
2026-03-03T05:34:00Z,63.00,39.00
2026-03-03T06:04:00Z,64.00,39.00
2026-03-03T06:07:00Z,64.00,39.00
2026-03-03T06:11:00Z,61.70,39.00
2026-03-03T06:25:00Z,61.70,39.00
2026-03-03T06:43:00Z,63.22,39.00
2026-03-03T06:56:00Z,63.67,39.00
2026-03-03T07:38:00Z,61.00,39.00
2026-03-03T09:05:00Z,62.00,39.00
2026-03-03T09:18:00Z,62.00,39.00
2026-03-03T11:26:00Z,62.00,40.00
2026-03-03T11:29:00Z,62.00,40.00
2026-03-03T11:37:00Z,62.00,40.00
2026-03-03T11:47:00Z,61.00,40.00
2026-03-03T11:51:00Z,62.00,40.00
2026-03-03T11:53:00Z,62.00,40.00
2026-03-03T12:04:00Z,62.00,40.00
2026-03-03T12:10:00Z,62.00,40.00
2026-03-03T12:13:00Z,62.00,40.00
2026-03-03T12:18:00Z,62.00,40.00
2026-03-03T12:24:00Z,62.00,40.00
2026-03-03T12:25:00Z,62.00,39.00
2026-03-03T12:29:00Z,62.00,39.00
2026-03-03T12:33:00Z,62.00,39.00
2026-03-03T12:34:00Z,62.00,39.00
2026-03-03T12:35:00Z,62.00,39.00
2026-03-03T12:37:00Z,62.00,40.00
2026-03-03T12:39:00Z,62.00,40.00
2026-03-03T12:40:00Z,62.55,40.00
2026-03-03T12:41:00Z,62.00,40.00
2026-03-03T12:43:00Z,62.00,40.00
2026-03-03T12:44:00Z,62.00,40.00
2026-03-03T12:46:00Z,62.86,40.00
2026-03-03T12:47:00Z,62.78,40.00
2026-03-03T12:48:00Z,62.00,40.00
2026-03-03T12:50:00Z,62.00,40.00
2026-03-03T12:51:00Z,63.73,39.52
2026-03-03T12:52:00Z,63.00,39.00
2026-03-03T12:54:00Z,63.00,39.29
2026-03-03T12:55:00Z,63.00,39.00
2026-03-03T12:56:00Z,63.00,39.98
2026-03-03T12:57:00Z,63.80,39.00
2026-03-03T12:58:00Z,63.80,38.66
2026-03-03T12:59:00Z,63.83,40.00
2026-03-03T13:00:00Z,63.00,40.00
2026-03-03T13:01:00Z,64.00,40.00
2026-03-03T13:02:00Z,63.00,40.00
2026-03-03T13:04:00Z,63.00,40.00
2026-03-03T13:06:00Z,63.00,40.00
2026-03-03T13:07:00Z,64.00,39.00
2026-03-03T13:08:00Z,64.00,39.00
2026-03-03T13:09:00Z,64.00,39.00
2026-03-03T13:14:00Z,63.00,40.00
2026-03-03T13:16:00Z,63.00,40.00
2026-03-03T13:17:00Z,63.00,40.00
2026-03-03T13:18:00Z,64.32,37.67
2026-03-03T13:19:00Z,65.00,36.00
2026-03-03T13:20:00Z,65.31,36.00
2026-03-03T13:21:00Z,64.00,38.84
2026-03-03T13:22:00Z,61.28,39.64
2026-03-03T13:23:00Z,62.67,38.02
2026-03-03T13:24:00Z,64.68,37.87
2026-03-03T13:25:00Z,65.23,36.00
2026-03-03T13:26:00Z,66.00,36.00
2026-03-03T13:27:00Z,65.87,36.00
2026-03-03T13:28:00Z,60.99,40.49
2026-03-03T13:29:00Z,61.59,40.78
