# event_ticker=KXATPCHALLENGERMATCH-26MAY19KOUVAS
# final_score=6-3 7-6(3)
# score_resolution=6-3 7-6
# match_winner=Jacopo Vasami
# fav_player=Jacopo Vasami
# dog_player=Moise Kouame
# kalshi_date=2026-05-19
timestamp,Moise Kouame,Jacopo Vasami
2026-05-19T06:06:00Z,46.00,
2026-05-19T06:28:00Z,46.00,
2026-05-19T08:17:00Z,46.00,
2026-05-19T08:22:00Z,47.00,
2026-05-19T11:51:00Z,49.00,
2026-05-19T11:58:00Z,49.00,52.00
2026-05-19T12:11:00Z,49.00,52.00
2026-05-19T12:31:00Z,49.00,52.00
2026-05-19T14:16:00Z,49.00,52.00
2026-05-19T14:42:00Z,49.00,52.00
2026-05-19T14:47:00Z,49.00,51.00
2026-05-19T14:57:00Z,49.00,51.00
2026-05-19T15:02:00Z,49.00,51.00
2026-05-19T15:05:00Z,49.00,51.00
2026-05-19T15:08:00Z,49.00,51.00
2026-05-19T15:11:00Z,49.00,52.00
2026-05-19T15:20:00Z,50.00,52.00
2026-05-19T15:33:00Z,50.00,52.00
2026-05-19T15:35:00Z,50.00,52.00
2026-05-19T15:37:00Z,50.00,50.00
2026-05-19T15:41:00Z,50.00,51.40
2026-05-19T15:49:00Z,50.36,51.40
2026-05-19T15:50:00Z,50.00,51.40
2026-05-19T15:55:00Z,50.00,51.40
2026-05-19T16:00:00Z,50.00,52.00
2026-05-19T16:02:00Z,50.00,52.97
2026-05-19T16:03:00Z,50.00,52.97
2026-05-19T16:06:00Z,50.00,52.00
2026-05-19T16:07:00Z,50.00,52.00
2026-05-19T16:10:00Z,50.00,52.69
2026-05-19T16:11:00Z,50.99,52.00
2026-05-19T16:14:00Z,47.00,55.00
2026-05-19T16:15:00Z,50.34,54.00
2026-05-19T16:16:00Z,49.35,52.37
2026-05-19T16:17:00Z,47.47,55.91
2026-05-19T16:18:00Z,48.83,55.50
2026-05-19T16:19:00Z,50.73,55.50
2026-05-19T16:20:00Z,54.61,48.35
2026-05-19T16:21:00Z,54.89,50.03
2026-05-19T16:22:00Z,54.46,49.97
2026-05-19T16:23:00Z,51.45,50.19
2026-05-19T16:24:00Z,48.96,53.44
2026-05-19T16:25:00Z,48.96,55.31
