# event_ticker=KXATPCHALLENGERMATCH-26FEB24KASSIN
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Maks Kasnikowski
# fav_player=Karan (IND) Singh
# dog_player=Maks Kasnikowski
# kalshi_date=2026-02-24
timestamp,Karan (IND) Singh,Maks Kasnikowski
2026-02-24T01:21:00Z,21.00,
2026-02-24T02:18:00Z,21.00,
2026-02-24T02:46:00Z,21.00,
2026-02-24T03:40:00Z,21.00,
2026-02-24T04:09:00Z,21.00,82.00
2026-02-24T04:14:00Z,21.00,82.00
2026-02-24T04:49:00Z,21.00,82.00
2026-02-24T04:52:00Z,21.00,82.00
2026-02-24T05:04:00Z,21.00,82.00
2026-02-24T05:06:00Z,17.00,82.00
2026-02-24T05:10:00Z,21.00,82.00
2026-02-24T05:20:00Z,21.00,82.00
2026-02-24T05:22:00Z,21.00,82.00
2026-02-24T05:26:00Z,21.00,82.00
2026-02-24T05:29:00Z,21.00,82.00
2026-02-24T05:32:00Z,21.00,81.00
2026-02-24T05:33:00Z,21.00,81.00
2026-02-24T05:37:00Z,21.00,81.00
2026-02-24T05:48:00Z,21.00,81.00
2026-02-24T05:52:00Z,21.00,81.00
2026-02-24T05:54:00Z,21.00,81.00
2026-02-24T06:00:00Z,21.00,82.00
2026-02-24T06:04:00Z,18.46,82.00
2026-02-24T06:16:00Z,18.46,82.00
2026-02-24T06:27:00Z,18.46,82.00
2026-02-24T06:28:00Z,21.00,82.00
2026-02-24T06:39:00Z,21.00,82.00
2026-02-24T06:41:00Z,21.00,82.00
2026-02-24T06:50:00Z,21.00,82.00
2026-02-24T07:10:00Z,20.00,82.00
2026-02-24T07:17:00Z,20.16,82.00
2026-02-24T07:19:00Z,21.00,82.00
2026-02-24T07:25:00Z,21.00,82.00
2026-02-24T07:44:00Z,21.00,82.00
2026-02-24T07:45:00Z,21.00,82.00
2026-02-24T07:48:00Z,21.00,82.00
2026-02-24T07:54:00Z,21.00,81.00
2026-02-24T07:55:00Z,21.00,81.00
2026-02-24T07:57:00Z,21.00,82.00
2026-02-24T08:01:00Z,21.00,82.00
2026-02-24T08:12:00Z,21.00,82.00
2026-02-24T08:18:00Z,21.00,82.00
2026-02-24T08:32:00Z,21.00,82.00
2026-02-24T08:36:00Z,18.00,82.00
2026-02-24T08:37:00Z,21.00,82.00
2026-02-24T08:38:00Z,21.00,82.00
2026-02-24T08:40:00Z,21.00,82.00
2026-02-24T08:43:00Z,21.00,82.00
2026-02-24T08:44:00Z,21.00,82.00
2026-02-24T08:49:00Z,21.00,82.00
2026-02-24T08:55:00Z,21.00,82.00
2026-02-24T08:56:00Z,21.00,82.00
2026-02-24T09:03:00Z,20.91,82.00
2026-02-24T09:04:00Z,21.00,84.00
2026-02-24T09:05:00Z,20.00,81.00
2026-02-24T09:06:00Z,22.79,81.00
2026-02-24T09:07:00Z,23.00,78.00
2026-02-24T09:08:00Z,28.08,71.53
2026-02-24T09:09:00Z,25.48,78.36
2026-02-24T09:10:00Z,28.31,76.68
2026-02-24T09:11:00Z,22.17,76.25
2026-02-24T09:12:00Z,19.54,82.96
2026-02-24T09:13:00Z,18.31,81.02
2026-02-24T09:14:00Z,24.43,77.24
2026-02-24T09:15:00Z,25.67,77.00
2026-02-24T09:16:00Z,26.44,75.00
2026-02-24T09:17:00Z,23.86,76.07
2026-02-24T09:18:00Z,23.03,77.44
2026-02-24T09:19:00Z,25.08,77.44
2026-02-24T09:20:00Z,22.58,78.00
2026-02-24T09:21:00Z,21.32,78.71
2026-02-24T09:22:00Z,24.76,77.98
2026-02-24T09:23:00Z,24.83,76.82
2026-02-24T09:24:00Z,22.00,78.02
2026-02-24T09:25:00Z,27.40,75.00
2026-02-24T09:26:00Z,26.09,74.26
2026-02-24T09:27:00Z,20.31,76.00
2026-02-24T09:28:00Z,16.50,76.00
2026-02-24T09:29:00Z,12.72,87.11
2026-02-24T09:30:00Z,11.00,90.00
2026-02-24T09:31:00Z,11.90,88.29
2026-02-24T09:32:00Z,11.63,89.53
2026-02-24T09:33:00Z,12.31,90.29
2026-02-24T09:34:00Z,8.46,91.21
2026-02-24T09:35:00Z,4.95,94.79
2026-02-24T09:36:00Z,6.13,94.38
2026-02-24T09:37:00Z,7.61,94.49
2026-02-24T09:38:00Z,5.00,96.00
2026-02-24T09:39:00Z,6.82,94.00
2026-02-24T09:40:00Z,5.81,95.00
2026-02-24T09:41:00Z,5.00,95.73
2026-02-24T09:42:00Z,5.06,95.00
2026-02-24T09:43:00Z,5.22,94.02
2026-02-24T09:44:00Z,7.98,95.00
2026-02-24T09:45:00Z,6.54,97.44
2026-02-24T09:46:00Z,5.49,96.00
2026-02-24T09:47:00Z,6.00,94.00
2026-02-24T09:48:00Z,9.93,92.00
2026-02-24T09:49:00Z,7.81,88.27
