# event_ticker=KXATPCHALLENGERMATCH-26APR23BLANED
# final_score=6-2 6-2
# match_winner=Andrej Nedic
# fav_player=Andrej Nedic
# dog_player=Dali Blanch
# kalshi_date=2026-04-23
timestamp,Dali Blanch,Andrej Nedic
2026-04-22T23:23:00Z,,53.00
2026-04-23T00:17:00Z,50.00,53.00
2026-04-23T02:10:00Z,50.00,53.00
2026-04-23T05:17:00Z,50.00,52.00
2026-04-23T05:19:00Z,50.00,52.00
2026-04-23T05:56:00Z,50.00,52.00
2026-04-23T06:00:00Z,50.00,52.00
2026-04-23T06:06:00Z,50.00,53.00
2026-04-23T06:11:00Z,50.00,53.00
2026-04-23T06:27:00Z,49.00,53.00
2026-04-23T06:38:00Z,49.00,53.00
2026-04-23T06:44:00Z,48.00,53.00
2026-04-23T06:45:00Z,49.60,53.00
2026-04-23T06:46:00Z,50.00,53.00
2026-04-23T06:47:00Z,50.00,53.00
2026-04-23T06:55:00Z,50.00,53.00
2026-04-23T09:01:00Z,24.97,78.00
2026-04-23T09:02:00Z,22.91,80.45
2026-04-23T09:03:00Z,22.00,82.69
2026-04-23T09:04:00Z,21.68,81.00
2026-04-23T09:05:00Z,22.26,81.00
2026-04-23T09:06:00Z,20.96,81.00
2026-04-23T09:07:00Z,20.96,82.55
2026-04-23T09:08:00Z,20.00,81.47
2026-04-23T09:09:00Z,18.97,83.08
2026-04-23T09:10:00Z,16.00,85.02
2026-04-23T09:11:00Z,13.93,88.08
2026-04-23T09:12:00Z,9.00,92.29
2026-04-23T09:13:00Z,8.00,94.02
2026-04-23T09:14:00Z,8.00,95.01
2026-04-23T09:15:00Z,5.70,95.01
2026-04-23T09:16:00Z,5.70,96.00
2026-04-23T09:17:00Z,5.70,96.00
2026-04-23T09:18:00Z,4.00,96.00
2026-04-23T09:19:00Z,3.88,95.00
2026-04-23T09:20:00Z,3.03,98.12
2026-04-23T09:21:00Z,1.52,98.12
2026-04-23T09:23:00Z,3.00,97.00
2026-04-23T09:24:00Z,4.00,97.00
2026-04-23T09:25:00Z,3.90,97.00
2026-04-23T09:26:00Z,5.00,95.64
2026-04-23T09:27:00Z,6.04,94.17
2026-04-23T09:28:00Z,4.94,96.96
2026-04-23T09:29:00Z,4.94,97.00
2026-04-23T09:30:00Z,3.00,98.00
2026-04-23T09:31:00Z,3.00,98.00
2026-04-23T09:32:00Z,3.00,98.00
2026-04-23T09:33:00Z,4.00,97.48
2026-04-23T09:34:00Z,4.00,97.56
2026-04-23T09:35:00Z,2.06,99.00
2026-04-23T09:36:00Z,2.98,99.00
2026-04-23T09:37:00Z,1.89,98.40
2026-04-23T09:38:00Z,1.00,99.00
2026-04-23T09:39:00Z,1.00,99.00
2026-04-23T09:41:00Z,1.00,99.00
