# event_ticker=KXATPCHALLENGERMATCH-26FEB23KUMCIN
# final_score=6-1 6-0
# match_winner=Federico Cina
# fav_player=Federico Cina
# dog_player=Takuya Kumasaka
# kalshi_date=2026-02-23
timestamp,Federico Cina,Takuya Kumasaka
2026-02-23T17:01:00Z,79.00,45.00
2026-02-23T18:01:00Z,79.00,13.09
2026-02-23T18:03:00Z,79.00,14.00
2026-02-23T18:07:00Z,79.00,14.00
2026-02-23T18:08:00Z,79.00,14.45
2026-02-23T18:09:00Z,89.00,15.35
2026-02-23T18:10:00Z,88.00,15.35
2026-02-23T18:35:00Z,83.71,15.35
2026-02-23T18:48:00Z,83.71,14.00
2026-02-23T18:56:00Z,83.71,13.00
2026-02-23T19:05:00Z,87.00,13.00
2026-02-23T19:10:00Z,87.00,10.00
2026-02-23T19:27:00Z,87.00,13.00
2026-02-23T19:34:00Z,87.00,13.00
2026-02-23T19:36:00Z,87.00,13.00
2026-02-23T19:43:00Z,87.00,13.00
2026-02-23T19:55:00Z,87.00,13.00
2026-02-23T20:18:00Z,87.00,13.00
2026-02-23T20:20:00Z,87.00,13.00
2026-02-23T20:29:00Z,87.00,13.00
2026-02-23T20:35:00Z,88.60,13.00
2026-02-23T20:36:00Z,88.60,13.00
2026-02-23T20:46:00Z,89.00,13.00
2026-02-23T20:59:00Z,89.00,14.00
2026-02-23T21:15:00Z,89.00,14.00
2026-02-23T21:18:00Z,89.00,14.00
2026-02-23T21:34:00Z,86.00,14.00
2026-02-23T21:44:00Z,86.00,14.00
2026-02-23T21:56:00Z,89.00,14.00
2026-02-23T21:57:00Z,89.00,14.00
2026-02-23T22:08:00Z,88.00,14.00
2026-02-23T22:13:00Z,88.00,14.00
2026-02-23T22:22:00Z,89.00,14.00
2026-02-23T22:34:00Z,89.00,14.00
2026-02-23T22:47:00Z,89.00,14.00
2026-02-23T22:49:00Z,89.00,14.00
2026-02-23T22:55:00Z,89.00,14.00
2026-02-23T23:21:00Z,89.00,14.00
2026-02-23T23:25:00Z,89.00,14.00
2026-02-23T23:26:00Z,89.00,14.00
2026-02-23T23:33:00Z,89.00,14.00
2026-02-24T00:02:00Z,89.00,13.99
2026-02-24T00:03:00Z,89.00,14.00
2026-02-24T00:11:00Z,89.00,14.00
2026-02-24T00:23:00Z,89.00,14.00
2026-02-24T00:31:00Z,89.00,14.00
2026-02-24T00:58:00Z,89.00,13.00
2026-02-24T01:05:00Z,89.00,14.00
2026-02-24T01:15:00Z,89.00,13.00
2026-02-24T01:17:00Z,89.00,13.00
2026-02-24T01:26:00Z,89.00,13.00
2026-02-24T01:37:00Z,89.00,14.00
2026-02-24T01:39:00Z,89.00,13.00
2026-02-24T01:41:00Z,86.00,13.00
2026-02-24T01:43:00Z,86.00,13.00
2026-02-24T01:46:00Z,86.00,11.00
2026-02-24T01:58:00Z,86.00,13.00
2026-02-24T02:04:00Z,86.00,13.00
2026-02-24T02:11:00Z,86.00,13.00
2026-02-24T02:12:00Z,86.00,14.00
2026-02-24T02:15:00Z,89.00,14.00
2026-02-24T02:34:00Z,89.00,15.00
2026-02-24T02:38:00Z,89.00,15.00
2026-02-24T02:43:00Z,89.00,15.00
2026-02-24T02:47:00Z,86.00,15.00
2026-02-24T02:48:00Z,86.00,15.00
2026-02-24T02:52:00Z,86.00,14.44
2026-02-24T02:59:00Z,86.00,15.00
2026-02-24T03:01:00Z,86.00,15.00
2026-02-24T03:03:00Z,86.00,15.00
2026-02-24T03:04:00Z,86.00,15.00
2026-02-24T03:05:00Z,86.00,15.00
2026-02-24T03:06:00Z,86.00,15.00
2026-02-24T03:07:00Z,86.00,15.00
2026-02-24T03:08:00Z,86.00,15.00
2026-02-24T03:17:00Z,86.00,15.00
2026-02-24T03:22:00Z,86.00,15.00
