# event_ticker=KXATPCHALLENGERMATCH-26MAR10NAVMMO
# final_score=6-2 7-6(3)
# score_resolution=6-2 7-6
# match_winner=Michael Mmoh
# fav_player=Michael Mmoh
# dog_player=Emilio Nava
# kalshi_date=2026-03-10
timestamp,Michael Mmoh,Emilio Nava
2026-03-10T16:25:00Z,,64.00
2026-03-10T21:13:00Z,,63.00
2026-03-10T22:08:00Z,,63.00
2026-03-10T22:13:00Z,37.00,63.00
2026-03-10T23:12:00Z,37.00,62.00
2026-03-11T00:23:00Z,37.00,62.00
2026-03-11T00:29:00Z,37.00,63.90
2026-03-11T00:30:00Z,37.00,64.00
2026-03-11T00:40:00Z,37.00,64.00
2026-03-11T00:48:00Z,37.00,64.00
2026-03-11T00:54:00Z,37.00,64.00
2026-03-11T01:01:00Z,37.00,64.00
2026-03-11T01:02:00Z,37.00,64.00
2026-03-11T01:31:00Z,37.00,64.00
2026-03-11T01:42:00Z,37.00,64.00
2026-03-11T01:50:00Z,37.00,64.00
2026-03-11T02:05:00Z,37.00,64.00
2026-03-11T02:07:00Z,37.00,64.95
2026-03-11T02:10:00Z,37.00,64.00
2026-03-11T02:17:00Z,37.00,64.00
2026-03-11T02:21:00Z,37.00,64.00
2026-03-11T02:24:00Z,37.00,64.00
2026-03-11T02:33:00Z,37.00,64.00
2026-03-11T02:35:00Z,37.00,64.00
2026-03-11T02:39:00Z,37.00,64.00
2026-03-11T02:42:00Z,37.00,64.00
2026-03-11T02:46:00Z,37.00,64.00
2026-03-11T02:47:00Z,37.00,64.00
2026-03-11T02:49:00Z,37.00,64.00
2026-03-11T02:50:00Z,37.00,64.00
2026-03-11T02:51:00Z,37.00,64.00
2026-03-11T02:54:00Z,37.00,64.00
2026-03-11T02:55:00Z,37.00,64.00
2026-03-11T02:56:00Z,37.00,64.00
2026-03-11T02:57:00Z,37.00,64.00
2026-03-11T03:00:00Z,37.00,64.00
2026-03-11T03:01:00Z,37.81,64.00
2026-03-11T03:03:00Z,38.00,64.00
