# event_ticker=KXATPMATCH-26MAR07NORMCD
# final_score=6-2 6-3
# match_winner=Cameron Norrie
# fav_player=Cameron Norrie
# dog_player=Mackenzie McDonald
# kalshi_date=2026-03-07
timestamp,Cameron Norrie,Mackenzie McDonald
2026-03-07T12:49:00Z,60.00,
2026-03-07T12:50:00Z,60.00,
2026-03-07T12:52:00Z,60.00,
2026-03-07T12:53:00Z,60.00,
2026-03-07T13:02:00Z,60.00,
2026-03-07T13:21:00Z,60.00,
2026-03-07T13:22:00Z,60.00,42.00
2026-03-07T13:31:00Z,60.00,42.00
2026-03-07T13:42:00Z,60.00,42.00
2026-03-07T14:20:00Z,60.00,42.00
2026-03-07T14:41:00Z,60.00,42.00
2026-03-07T14:51:00Z,60.00,42.00
2026-03-07T14:58:00Z,60.00,42.00
2026-03-07T15:07:00Z,60.00,42.00
2026-03-07T15:18:00Z,60.00,42.00
2026-03-07T15:30:00Z,60.00,42.00
2026-03-07T15:40:00Z,60.00,42.00
2026-03-07T15:41:00Z,60.00,42.00
2026-03-07T15:43:00Z,60.00,42.00
2026-03-07T15:56:00Z,61.00,42.00
2026-03-07T15:57:00Z,61.00,42.00
2026-03-07T15:58:00Z,61.00,42.00
2026-03-07T16:06:00Z,61.00,42.00
2026-03-07T16:12:00Z,61.00,42.00
2026-03-07T16:14:00Z,61.00,42.00
2026-03-07T16:22:00Z,61.00,42.00
2026-03-07T16:24:00Z,61.00,42.00
2026-03-07T16:26:00Z,61.00,42.00
2026-03-07T16:35:00Z,61.00,42.00
2026-03-07T16:37:00Z,60.80,42.00
2026-03-07T16:38:00Z,59.00,42.00
2026-03-07T16:41:00Z,61.00,42.00
2026-03-07T16:47:00Z,61.00,42.00
2026-03-07T16:52:00Z,58.00,42.00
2026-03-07T17:00:00Z,58.00,41.00
2026-03-07T17:09:00Z,61.00,41.00
2026-03-07T17:18:00Z,61.00,41.00
2026-03-07T17:31:00Z,59.00,41.00
2026-03-07T17:38:00Z,60.00,41.00
2026-03-07T17:39:00Z,60.00,41.00
2026-03-07T17:46:00Z,60.00,41.00
2026-03-07T17:52:00Z,60.00,41.00
