# event_ticker=KXATPMATCH-25OCT28ETCUGO
# final_score=7-5 6-3
# match_winner=Camilo Ugo Carabelli
# fav_player=Camilo Ugo Carabelli
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2025-10-28
timestamp,Camilo Ugo Carabelli,Tomas Martin Etcheverry
2025-10-27T22:23:00Z,19.00,
2025-10-27T23:28:00Z,19.00,82.00
2025-10-28T01:15:00Z,19.00,82.00
2025-10-28T01:30:00Z,19.00,82.00
2025-10-28T03:10:00Z,19.00,82.00
2025-10-28T03:12:00Z,20.00,82.00
2025-10-28T03:31:00Z,20.00,82.00
2025-10-28T04:07:00Z,20.00,82.00
2025-10-28T04:09:00Z,20.00,82.00
2025-10-28T04:35:00Z,20.00,82.00
2025-10-28T05:00:00Z,20.00,82.00
2025-10-28T05:08:00Z,19.00,82.00
2025-10-28T05:50:00Z,19.00,82.00
2025-10-28T06:42:00Z,19.00,82.00
2025-10-28T06:49:00Z,18.00,82.00
2025-10-28T07:03:00Z,18.00,82.00
2025-10-28T07:09:00Z,18.00,82.00
2025-10-28T07:44:00Z,18.00,82.00
2025-10-28T07:47:00Z,18.00,82.00
2025-10-28T07:52:00Z,18.00,82.00
2025-10-28T08:08:00Z,18.00,81.00
2025-10-28T08:28:00Z,18.00,82.00
2025-10-28T08:32:00Z,18.00,82.00
2025-10-28T09:00:00Z,19.00,82.00
2025-10-28T09:24:00Z,18.00,82.00
2025-10-28T09:27:00Z,18.00,82.00
2025-10-28T09:34:00Z,18.00,82.04
2025-10-28T09:43:00Z,19.00,82.04
2025-10-28T09:51:00Z,19.00,83.00
2025-10-28T09:59:00Z,19.00,83.00
2025-10-28T10:05:00Z,19.00,83.00
2025-10-28T10:09:00Z,19.00,83.00
2025-10-28T10:10:00Z,19.00,81.00
2025-10-28T10:11:00Z,19.00,80.00
2025-10-28T10:12:00Z,20.00,80.00
2025-10-28T10:13:00Z,20.00,80.00
2025-10-28T10:14:00Z,21.00,80.00
2025-10-28T10:15:00Z,20.00,80.00
2025-10-28T10:16:00Z,22.02,78.38
2025-10-28T10:17:00Z,24.75,79.00
2025-10-28T10:18:00Z,24.00,79.00
2025-10-28T10:19:00Z,18.00,79.00
2025-10-28T10:20:00Z,20.00,79.00
2025-10-28T10:22:00Z,23.00,79.00
2025-10-28T10:24:00Z,25.00,78.00
2025-10-28T10:25:00Z,25.00,78.00
2025-10-28T10:26:00Z,26.67,78.00
2025-10-28T10:27:00Z,31.99,70.00
2025-10-28T10:28:00Z,31.42,69.82
2025-10-28T10:29:00Z,25.00,75.00
2025-10-28T10:30:00Z,23.00,75.00
2025-10-28T10:31:00Z,21.23,84.00
2025-10-28T10:32:00Z,20.17,84.00
2025-10-28T10:33:00Z,18.89,81.00
2025-10-28T10:34:00Z,18.00,80.45
2025-10-28T10:35:00Z,15.05,85.71
2025-10-28T10:36:00Z,11.06,88.00
2025-10-28T10:37:00Z,12.00,88.00
2025-10-28T10:38:00Z,12.00,88.00
2025-10-28T10:39:00Z,14.20,86.00
2025-10-28T10:40:00Z,14.00,86.00
2025-10-28T10:41:00Z,15.06,87.00
2025-10-28T10:42:00Z,23.00,79.00
2025-10-28T10:45:00Z,32.75,84.00
2025-10-28T10:46:00Z,25.99,75.00
2025-10-28T10:47:00Z,27.00,75.00
2025-10-28T10:49:00Z,26.00,77.00
2025-10-28T10:50:00Z,25.04,77.00
2025-10-28T10:51:00Z,22.21,77.00
2025-10-28T10:52:00Z,22.00,77.00
2025-10-28T10:53:00Z,18.68,82.99
2025-10-28T10:54:00Z,23.85,82.99
2025-10-28T10:55:00Z,27.55,82.99
2025-10-28T10:56:00Z,28.28,72.30
2025-10-28T10:57:00Z,25.98,73.05
2025-10-28T10:58:00Z,23.00,73.05
2025-10-28T10:59:00Z,23.52,73.05
2025-10-28T11:00:00Z,22.21,79.79
2025-10-28T11:01:00Z,16.00,84.00
2025-10-28T11:02:00Z,25.24,81.00
2025-10-28T11:03:00Z,25.77,76.08
2025-10-28T11:04:00Z,23.00,78.19
2025-10-28T11:05:00Z,26.44,78.19
2025-10-28T11:06:00Z,28.00,73.84
2025-10-28T11:07:00Z,31.82,69.00
2025-10-28T11:08:00Z,33.18,70.61
2025-10-28T11:09:00Z,38.60,62.53
2025-10-28T11:10:00Z,44.78,54.88
2025-10-28T11:11:00Z,53.44,47.21
2025-10-28T11:12:00Z,53.00,49.00
2025-10-28T11:13:00Z,52.33,49.00
2025-10-28T11:14:00Z,51.84,49.00
2025-10-28T11:15:00Z,52.00,49.57
2025-10-28T11:16:00Z,51.83,49.57
2025-10-28T11:17:00Z,51.17,49.57
2025-10-28T11:18:00Z,51.07,53.90
2025-10-28T11:19:00Z,49.64,59.88
2025-10-28T11:20:00Z,39.86,58.00
2025-10-28T11:21:00Z,47.83,56.82
2025-10-28T11:22:00Z,42.05,57.64
2025-10-28T11:23:00Z,36.71,67.00
2025-10-28T11:24:00Z,38.22,66.00
2025-10-28T11:25:00Z,32.62,66.56
2025-10-28T11:26:00Z,34.36,67.00
2025-10-28T11:27:00Z,35.69,64.68
2025-10-28T11:28:00Z,35.35,64.68
2025-10-28T11:29:00Z,35.38,65.00
2025-10-28T11:30:00Z,36.07,63.89
2025-10-28T11:31:00Z,35.89,66.71
2025-10-28T11:32:00Z,36.00,66.01
2025-10-28T11:33:00Z,37.50,66.01
2025-10-28T11:34:00Z,37.00,64.80
2025-10-28T11:35:00Z,38.00,64.80
2025-10-28T11:36:00Z,42.37,64.80
2025-10-28T11:37:00Z,40.10,57.75
2025-10-28T11:38:00Z,47.33,56.45
2025-10-28T11:39:00Z,41.00,58.50
2025-10-28T11:40:00Z,42.80,58.41
2025-10-28T11:41:00Z,46.32,56.39
2025-10-28T11:42:00Z,50.00,50.87
2025-10-28T11:43:00Z,58.95,36.31
2025-10-28T11:44:00Z,61.63,36.00
2025-10-28T11:45:00Z,64.23,36.00
2025-10-28T11:46:00Z,62.06,39.00
2025-10-28T11:47:00Z,62.57,35.31
2025-10-28T11:48:00Z,58.00,43.91
2025-10-28T11:49:00Z,59.20,41.63
2025-10-28T11:50:00Z,63.22,40.00
2025-10-28T11:51:00Z,64.24,40.00
2025-10-28T11:52:00Z,65.01,33.36
2025-10-28T11:53:00Z,66.15,35.07
2025-10-28T11:54:00Z,69.68,30.36
2025-10-28T11:55:00Z,74.75,22.86
2025-10-28T11:56:00Z,72.25,24.06
2025-10-28T11:57:00Z,80.16,31.82
2025-10-28T11:58:00Z,88.00,16.69
2025-10-28T11:59:00Z,94.89,6.92
2025-10-28T12:00:00Z,91.35,10.24
2025-10-28T12:01:00Z,93.24,4.35
2025-10-28T12:02:00Z,90.77,7.81
2025-10-28T12:03:00Z,91.69,7.57
2025-10-28T12:04:00Z,98.66,2.49
2025-10-28T12:05:00Z,99.00,2.49
2025-10-28T12:06:00Z,99.00,2.49
2025-10-28T12:07:00Z,99.00,2.49
