# event_ticker=KXATPCHALLENGERMATCH-26APR04SARDIA
# final_score=6-3 6-1
# match_winner=Facundo Diaz Acosta
# fav_player=Facundo Diaz Acosta
# dog_player=Paulo Andre Saraiva Dos Santos
# kalshi_date=2026-04-04
timestamp,Facundo Diaz Acosta,Paulo Andre Saraiva Dos Santos
2026-04-04T02:23:00Z,,12.00
2026-04-04T03:05:00Z,,11.00
2026-04-04T03:10:00Z,,11.00
2026-04-04T03:19:00Z,,11.00
2026-04-04T03:23:00Z,,11.00
2026-04-04T03:57:00Z,,11.00
2026-04-04T04:01:00Z,,10.88
2026-04-04T04:02:00Z,,11.00
2026-04-04T04:06:00Z,,11.32
2026-04-04T04:13:00Z,,12.00
2026-04-04T04:22:00Z,,12.00
2026-04-04T04:27:00Z,,12.00
2026-04-04T04:30:00Z,,12.00
2026-04-04T04:34:00Z,,12.00
2026-04-04T04:38:00Z,89.21,12.00
2026-04-04T04:44:00Z,89.21,12.00
2026-04-04T05:01:00Z,89.21,11.98
2026-04-04T05:16:00Z,89.21,12.00
2026-04-04T05:27:00Z,89.21,12.00
2026-04-04T05:30:00Z,89.21,12.00
2026-04-04T05:42:00Z,89.00,12.00
2026-04-04T05:45:00Z,88.00,12.00
2026-04-04T05:53:00Z,88.00,12.00
2026-04-04T06:29:00Z,89.00,12.00
2026-04-04T06:36:00Z,89.00,12.00
2026-04-04T06:38:00Z,89.00,12.00
2026-04-04T06:53:00Z,89.00,12.00
2026-04-04T07:00:00Z,89.00,12.00
2026-04-04T07:01:00Z,89.00,12.00
2026-04-04T07:03:00Z,89.00,12.00
2026-04-04T07:05:00Z,89.00,12.00
2026-04-04T07:06:00Z,89.00,12.00
2026-04-04T07:13:00Z,89.00,12.00
2026-04-04T07:37:00Z,89.00,12.00
2026-04-04T08:00:00Z,89.00,12.00
2026-04-04T08:11:00Z,89.00,12.00
2026-04-04T08:12:00Z,89.00,11.00
2026-04-04T08:31:00Z,89.00,12.00
2026-04-04T08:47:00Z,89.00,12.00
2026-04-04T09:09:00Z,89.00,12.00
2026-04-04T09:42:00Z,89.00,12.00
2026-04-04T09:59:00Z,89.00,12.00
2026-04-04T10:27:00Z,89.00,12.00
2026-04-04T10:56:00Z,89.00,12.00
2026-04-04T11:01:00Z,89.00,12.00
2026-04-04T11:07:00Z,89.00,12.00
2026-04-04T11:09:00Z,88.00,12.00
2026-04-04T11:31:00Z,89.00,12.00
2026-04-04T11:32:00Z,89.00,12.00
2026-04-04T11:48:00Z,89.00,12.00
2026-04-04T12:15:00Z,89.00,12.00
2026-04-04T12:17:00Z,89.00,12.00
2026-04-04T13:05:00Z,89.00,11.00
2026-04-04T13:14:00Z,89.00,12.00
2026-04-04T13:19:00Z,89.00,12.00
2026-04-04T13:37:00Z,89.00,12.00
2026-04-04T13:41:00Z,89.00,12.00
2026-04-04T13:45:00Z,89.00,12.00
2026-04-04T13:50:00Z,89.00,12.00
2026-04-04T13:51:00Z,89.00,12.00
2026-04-04T13:52:00Z,89.00,11.00
2026-04-04T13:53:00Z,89.00,11.00
2026-04-04T13:54:00Z,89.00,11.00
2026-04-04T13:55:00Z,89.00,11.00
2026-04-04T13:56:00Z,89.00,11.00
