# event_ticker=KXATPCHALLENGERMATCH-26MAR24SIMCOU
# final_score=6-3 4-6 6-3
# match_winner=Eliakim Coulibaly
# fav_player=Eliakim Coulibaly
# dog_player=Josip Simundza
# kalshi_date=2026-03-24
timestamp,Eliakim Coulibaly,Josip Simundza
2026-03-24T02:14:00Z,66.00,
2026-03-24T02:48:00Z,66.00,
2026-03-24T03:10:00Z,66.00,
2026-03-24T03:44:00Z,66.89,
2026-03-24T04:58:00Z,66.89,35.00
2026-03-24T05:46:00Z,66.00,35.00
2026-03-24T06:24:00Z,66.00,35.00
2026-03-24T06:31:00Z,66.00,35.00
2026-03-24T06:55:00Z,66.00,35.00
2026-03-24T07:02:00Z,66.00,35.00
2026-03-24T08:04:00Z,66.00,35.00
2026-03-24T08:26:00Z,66.00,35.00
2026-03-24T09:28:00Z,66.00,35.00
2026-03-24T10:30:00Z,66.00,35.00
2026-03-24T11:10:00Z,67.00,35.00
2026-03-24T11:41:00Z,68.00,35.00
2026-03-24T11:44:00Z,67.00,35.00
2026-03-24T11:45:00Z,68.00,35.00
2026-03-24T11:58:00Z,68.00,35.00
2026-03-24T12:14:00Z,68.00,33.00
2026-03-24T12:43:00Z,71.90,31.02
2026-03-24T13:08:00Z,68.00,31.02
2026-03-24T13:09:00Z,68.00,31.02
2026-03-24T13:15:00Z,68.00,33.00
2026-03-24T13:20:00Z,68.00,33.00
2026-03-24T13:29:00Z,68.00,33.00
2026-03-24T13:35:00Z,68.00,34.00
2026-03-24T13:40:00Z,68.00,34.00
2026-03-24T13:42:00Z,68.00,34.00
2026-03-24T13:43:00Z,68.00,34.00
2026-03-24T13:44:00Z,66.06,34.00
2026-03-24T13:45:00Z,62.00,40.00
2026-03-24T13:46:00Z,64.04,40.11
2026-03-24T13:47:00Z,62.00,41.00
2026-03-24T13:48:00Z,66.00,41.00
2026-03-24T13:49:00Z,65.00,35.02
2026-03-24T13:50:00Z,65.00,35.30
2026-03-24T13:51:00Z,65.00,34.00
2026-03-24T13:52:00Z,69.17,26.01
2026-03-24T13:53:00Z,69.17,19.66
2026-03-24T13:54:00Z,78.00,22.94
2026-03-24T13:55:00Z,76.96,24.35
2026-03-24T13:57:00Z,76.96,17.00
2026-03-24T13:58:00Z,80.92,21.90
2026-03-24T13:59:00Z,79.00,22.88
2026-03-24T14:00:00Z,79.00,22.00
2026-03-24T14:01:00Z,79.00,21.65
2026-03-24T14:02:00Z,82.00,21.65
2026-03-24T14:03:00Z,83.00,18.00
2026-03-24T14:04:00Z,83.00,16.07
2026-03-24T14:05:00Z,83.00,18.00
2026-03-24T14:06:00Z,83.00,19.00
2026-03-24T14:07:00Z,83.00,17.00
2026-03-24T14:08:00Z,83.00,19.00
2026-03-24T14:09:00Z,83.00,19.00
2026-03-24T14:10:00Z,83.00,17.00
2026-03-24T14:11:00Z,83.07,17.00
2026-03-24T14:12:00Z,85.00,16.87
2026-03-24T14:13:00Z,86.00,14.07
2026-03-24T14:14:00Z,86.00,14.78
2026-03-24T14:15:00Z,87.00,13.00
2026-03-24T14:16:00Z,86.00,15.00
2026-03-24T14:17:00Z,87.00,13.30
2026-03-24T14:18:00Z,87.00,13.04
2026-03-24T14:19:00Z,87.00,13.00
2026-03-24T14:20:00Z,88.00,11.00
2026-03-24T14:21:00Z,89.00,11.00
2026-03-24T14:22:00Z,90.00,11.00
2026-03-24T14:23:00Z,90.00,11.00
2026-03-24T14:24:00Z,90.00,11.00
