# event_ticker=KXATPCHALLENGERMATCH-26MAR13VALMON
# final_score=3-6 6-3 6-4
# score_resolution=6-3 3-6 4-6
# match_winner=Thiago Monteiro
# fav_player=Adolfo Daniel Vallejo
# dog_player=Thiago Monteiro
# kalshi_date=2026-03-13
timestamp,Adolfo Daniel Vallejo,Thiago Monteiro
2026-03-13T10:16:00Z,,39.00
2026-03-13T10:24:00Z,63.00,39.00
2026-03-13T10:25:00Z,63.00,36.00
2026-03-13T11:16:00Z,63.00,39.00
2026-03-13T11:36:00Z,63.00,39.00
2026-03-13T12:16:00Z,63.00,39.00
2026-03-13T12:37:00Z,63.00,39.00
2026-03-13T13:22:00Z,63.00,39.00
2026-03-13T13:23:00Z,63.00,39.00
2026-03-13T13:24:00Z,63.00,39.00
2026-03-13T13:45:00Z,63.00,39.00
2026-03-13T14:02:00Z,63.00,39.00
2026-03-13T14:06:00Z,63.00,39.00
2026-03-13T14:14:00Z,63.00,39.00
2026-03-13T14:21:00Z,63.00,39.00
2026-03-13T14:25:00Z,63.00,39.00
2026-03-13T14:34:00Z,63.03,39.00
2026-03-13T14:40:00Z,63.03,39.00
2026-03-13T14:45:00Z,64.00,39.00
2026-03-13T15:07:00Z,64.00,39.00
2026-03-13T15:08:00Z,64.00,39.00
2026-03-13T15:20:00Z,64.00,39.00
2026-03-13T15:40:00Z,64.00,39.00
2026-03-13T15:42:00Z,64.00,39.00
2026-03-13T15:43:00Z,64.00,39.00
2026-03-13T15:48:00Z,64.00,39.00
2026-03-13T15:55:00Z,64.00,38.00
2026-03-13T16:04:00Z,64.00,38.00
2026-03-13T16:10:00Z,64.00,38.00
2026-03-13T16:11:00Z,64.00,39.00
2026-03-13T16:32:00Z,64.00,39.00
2026-03-13T16:33:00Z,64.00,37.00
2026-03-13T16:46:00Z,64.00,37.00
2026-03-13T16:47:00Z,64.00,37.00
2026-03-13T16:49:00Z,64.00,37.00
2026-03-13T16:54:00Z,64.00,37.00
2026-03-13T16:56:00Z,64.00,37.00
2026-03-13T16:57:00Z,64.00,37.00
2026-03-13T16:58:00Z,64.00,37.59
2026-03-13T17:02:00Z,64.00,37.59
2026-03-13T17:11:00Z,64.00,37.59
2026-03-13T17:29:00Z,64.00,37.59
2026-03-13T17:32:00Z,64.00,38.00
2026-03-13T17:40:00Z,64.00,38.00
2026-03-13T17:46:00Z,64.00,38.00
2026-03-13T17:48:00Z,64.00,38.00
2026-03-13T18:00:00Z,64.00,38.00
2026-03-13T18:14:00Z,64.00,38.00
2026-03-13T18:17:00Z,64.00,38.00
2026-03-13T18:24:00Z,63.00,38.00
2026-03-13T18:48:00Z,63.00,38.00
2026-03-13T18:49:00Z,63.00,38.00
2026-03-13T19:19:00Z,63.00,38.00
2026-03-13T19:20:00Z,63.00,38.00
