# event_ticker=KXATPCHALLENGERMATCH-26MAY12HUEVAR
# final_score=4-3 RET
# match_winner=Arklon Huertas Del Pino Cordova
# fav_player=Arklon Huertas Del Pino Cordova
# dog_player=Juan Pablo Varillas
# kalshi_date=2026-05-12
timestamp,Arklon Huertas Del Pino Cordova,Juan Pablo Varillas
2026-05-12T13:37:00Z,,64.00
2026-05-12T13:41:00Z,,63.68
2026-05-12T13:46:00Z,,64.00
2026-05-12T13:54:00Z,,65.03
2026-05-12T13:55:00Z,,67.01
2026-05-12T13:56:00Z,,64.00
2026-05-12T13:57:00Z,38.00,64.00
2026-05-12T14:15:00Z,38.00,68.00
2026-05-12T14:48:00Z,38.00,75.00
2026-05-12T14:55:00Z,38.00,75.00
2026-05-12T15:54:00Z,27.00,75.00
2026-05-12T15:55:00Z,27.00,79.59
2026-05-12T16:02:00Z,21.00,83.00
2026-05-12T16:03:00Z,21.00,85.00
2026-05-12T16:04:00Z,21.00,85.14
2026-05-12T16:47:00Z,28.78,85.14
2026-05-12T16:49:00Z,8.11,85.14
2026-05-12T16:50:00Z,29.00,85.14
2026-05-12T16:52:00Z,29.56,85.14
2026-05-12T16:53:00Z,29.00,85.14
2026-05-12T16:54:00Z,29.00,87.00
2026-05-12T16:55:00Z,16.00,87.55
2026-05-12T16:56:00Z,13.06,87.00
2026-05-12T16:58:00Z,13.00,87.00
2026-05-12T16:59:00Z,12.00,89.00
2026-05-12T17:00:00Z,12.00,89.00
2026-05-12T17:01:00Z,9.54,91.53
2026-05-12T17:02:00Z,9.54,91.00
2026-05-12T17:04:00Z,8.92,90.00
2026-05-12T17:05:00Z,14.48,91.00
2026-05-12T17:06:00Z,23.00,91.00
2026-05-12T17:07:00Z,27.24,91.00
2026-05-12T17:08:00Z,25.00,89.31
2026-05-12T17:10:00Z,23.94,71.42
2026-05-12T17:11:00Z,25.55,70.94
2026-05-12T17:13:00Z,9.00,92.00
2026-05-12T17:14:00Z,9.60,92.54
2026-05-12T17:15:00Z,26.79,76.00
2026-05-12T17:16:00Z,12.45,79.60
2026-05-12T17:17:00Z,11.20,93.00
2026-05-12T17:18:00Z,26.27,93.00
2026-05-12T17:20:00Z,32.31,53.61
2026-05-12T17:21:00Z,73.49,16.09
2026-05-12T17:22:00Z,97.21,33.45
2026-05-12T17:23:00Z,99.00,1.00
2026-05-12T17:26:00Z,99.00,1.00
