# event_ticker=KXATPCHALLENGERMATCH-26MAY12ARNMAY
# final_score=4-6 6-0 6-1
# match_winner=Gilles Arnaud Bailly
# fav_player=Gilles Arnaud Bailly
# dog_player=Harold Mayot
# kalshi_date=2026-05-12
timestamp,Gilles Arnaud Bailly,Harold Mayot
2026-05-12T00:29:00Z,60.59,
2026-05-12T02:03:00Z,60.59,46.00
2026-05-12T03:04:00Z,58.00,46.00
2026-05-12T03:07:00Z,58.00,46.00
2026-05-12T03:45:00Z,58.00,46.00
2026-05-12T04:24:00Z,58.00,46.00
2026-05-12T04:41:00Z,58.00,46.00
2026-05-12T05:12:00Z,58.00,46.00
2026-05-12T05:28:00Z,57.00,46.00
2026-05-12T05:37:00Z,58.71,44.29
2026-05-12T05:38:00Z,58.71,43.00
2026-05-12T05:52:00Z,58.71,43.36
2026-05-12T05:58:00Z,58.71,44.00
2026-05-12T06:51:00Z,58.00,44.00
2026-05-12T07:01:00Z,58.00,44.00
2026-05-12T07:43:00Z,58.00,44.00
2026-05-12T07:59:00Z,58.00,44.00
2026-05-12T08:22:00Z,58.00,44.00
2026-05-12T08:30:00Z,58.00,43.00
2026-05-12T08:41:00Z,58.00,43.00
2026-05-12T08:44:00Z,58.00,43.00
2026-05-12T08:52:00Z,58.00,43.00
2026-05-12T08:59:00Z,59.00,43.00
2026-05-12T09:04:00Z,57.00,43.00
2026-05-12T09:12:00Z,57.00,44.71
2026-05-12T09:13:00Z,56.00,46.00
2026-05-12T09:14:00Z,61.00,46.00
2026-05-12T09:15:00Z,61.00,46.00
2026-05-12T09:19:00Z,61.00,44.00
2026-05-12T09:30:00Z,61.00,60.00
2026-05-12T09:33:00Z,61.00,63.00
2026-05-12T09:34:00Z,61.00,65.00
2026-05-12T09:36:00Z,61.00,63.00
2026-05-12T09:38:00Z,61.00,61.00
2026-05-12T09:39:00Z,39.00,62.32
2026-05-12T09:41:00Z,33.00,62.32
2026-05-12T09:45:00Z,33.00,65.17
2026-05-12T09:46:00Z,33.00,71.75
2026-05-12T09:47:00Z,33.00,73.00
2026-05-12T09:51:00Z,33.00,72.00
2026-05-12T10:00:00Z,33.00,69.00
2026-05-12T10:05:00Z,45.00,69.00
2026-05-12T10:06:00Z,53.00,69.00
2026-05-12T10:07:00Z,54.00,69.00
2026-05-12T10:08:00Z,54.70,69.00
2026-05-12T10:09:00Z,55.00,69.00
2026-05-12T10:10:00Z,57.62,69.00
2026-05-12T10:11:00Z,61.18,69.00
2026-05-12T10:12:00Z,62.00,69.00
2026-05-12T10:13:00Z,62.00,69.00
2026-05-12T10:17:00Z,65.00,69.00
2026-05-12T10:19:00Z,66.00,69.00
2026-05-12T10:20:00Z,66.00,36.00
2026-05-12T10:21:00Z,67.97,36.00
2026-05-12T10:22:00Z,69.00,33.00
2026-05-12T10:26:00Z,71.00,33.00
2026-05-12T10:28:00Z,71.00,32.00
2026-05-12T10:30:00Z,69.00,32.00
2026-05-12T10:31:00Z,72.00,27.00
2026-05-12T10:33:00Z,78.90,21.00
2026-05-12T10:34:00Z,85.29,10.10
2026-05-12T10:35:00Z,92.21,7.09
2026-05-12T10:36:00Z,94.00,7.09
2026-05-12T10:37:00Z,94.00,8.00
2026-05-12T10:38:00Z,94.37,8.00
2026-05-12T10:39:00Z,94.00,8.00
2026-05-12T10:40:00Z,95.03,4.87
2026-05-12T10:41:00Z,95.73,5.01
2026-05-12T10:42:00Z,94.00,5.01
2026-05-12T10:43:00Z,94.00,7.00
2026-05-12T10:45:00Z,95.06,7.00
2026-05-12T10:46:00Z,94.04,5.92
2026-05-12T10:47:00Z,95.00,5.92
2026-05-12T10:48:00Z,95.00,5.92
2026-05-12T10:49:00Z,94.58,5.92
2026-05-12T10:50:00Z,95.00,4.83
2026-05-12T10:51:00Z,96.88,4.00
2026-05-12T10:52:00Z,98.69,1.03
2026-05-12T10:53:00Z,99.00,1.00
2026-05-12T10:56:00Z,99.00,1.00
2026-05-12T10:57:00Z,99.00,1.00
2026-05-12T11:01:00Z,99.00,1.00
2026-05-12T11:03:00Z,99.00,1.00
