# event_ticker=KXATPMATCH-26FEB25VACMON
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Valentin Vacherot
# fav_player=Gael Monfils
# dog_player=Valentin Vacherot
# kalshi_date=2026-02-25
timestamp,Gael Monfils,Valentin Vacherot
2026-02-25T18:01:00Z,31.00,70.00
2026-02-25T18:03:00Z,31.00,70.00
2026-02-25T18:04:00Z,31.00,70.00
2026-02-25T18:06:00Z,29.00,70.00
2026-02-25T18:18:00Z,31.00,70.00
2026-02-25T18:23:00Z,31.00,70.00
2026-02-25T19:19:00Z,31.00,71.00
2026-02-25T19:25:00Z,30.00,71.00
2026-02-25T19:28:00Z,30.00,71.00
2026-02-25T19:47:00Z,30.00,71.00
2026-02-25T19:54:00Z,30.00,71.00
2026-02-25T19:59:00Z,30.00,71.00
2026-02-25T20:05:00Z,30.00,71.00
2026-02-25T20:14:00Z,30.00,71.00
2026-02-25T20:24:00Z,30.00,71.00
2026-02-25T20:26:00Z,30.00,71.00
2026-02-25T20:31:00Z,30.00,71.00
2026-02-25T20:33:00Z,30.00,71.00
2026-02-25T20:35:00Z,30.00,71.00
2026-02-25T20:36:00Z,30.00,71.00
2026-02-25T20:37:00Z,30.00,71.00
2026-02-25T20:38:00Z,30.00,71.00
2026-02-25T20:43:00Z,30.00,71.00
2026-02-25T20:44:00Z,30.00,71.00
2026-02-25T20:47:00Z,30.00,71.00
2026-02-25T21:13:00Z,30.00,71.00
2026-02-25T21:16:00Z,30.00,71.00
2026-02-25T21:17:00Z,30.00,71.00
2026-02-25T21:19:00Z,30.00,71.00
2026-02-25T21:21:00Z,30.00,71.00
2026-02-25T21:23:00Z,30.00,71.00
2026-02-25T21:26:00Z,30.00,70.00
2026-02-25T21:38:00Z,30.00,70.00
2026-02-25T21:53:00Z,30.00,70.00
2026-02-25T21:58:00Z,30.00,71.00
2026-02-25T22:00:00Z,30.00,71.00
2026-02-25T22:02:00Z,30.00,71.00
2026-02-25T22:03:00Z,30.00,71.00
