# event_ticker=KXATPMATCH-25AUG09RUURIN
# final_score=6-7(5) 6-4 6-2
# score_resolution=6-7 6-4 6-2
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Casper Ruud
# kalshi_date=2025-08-09
timestamp,Arthur Rinderknech,Casper Ruud
2025-08-09T05:12:00Z,33.00,71.00
2025-08-09T05:22:00Z,33.00,70.00
2025-08-09T05:23:00Z,34.00,70.00
2025-08-09T05:28:00Z,34.00,68.66
2025-08-09T05:31:00Z,34.00,69.00
2025-08-09T05:32:00Z,34.00,69.00
2025-08-09T05:38:00Z,34.00,69.00
2025-08-09T05:39:00Z,34.00,69.00
2025-08-09T05:41:00Z,34.00,68.00
2025-08-09T05:43:00Z,33.00,68.00
2025-08-09T05:48:00Z,34.00,68.00
2025-08-09T05:54:00Z,34.00,68.00
2025-08-09T05:57:00Z,34.00,68.00
2025-08-09T05:59:00Z,34.00,69.00
2025-08-09T06:11:00Z,34.00,69.00
2025-08-09T06:20:00Z,34.00,70.00
2025-08-09T06:28:00Z,34.00,69.00
2025-08-09T06:41:00Z,34.00,69.00
2025-08-09T06:42:00Z,34.00,70.00
2025-08-09T06:53:00Z,34.00,70.00
2025-08-09T06:55:00Z,34.00,70.00
2025-08-09T06:59:00Z,34.00,70.00
2025-08-09T07:09:00Z,34.00,70.00
2025-08-09T07:16:00Z,34.00,70.96
2025-08-09T08:01:00Z,34.00,70.00
2025-08-09T08:10:00Z,34.00,70.00
2025-08-09T08:30:00Z,34.00,66.00
2025-08-09T08:43:00Z,34.00,66.00
2025-08-09T09:23:00Z,34.00,66.00
2025-08-09T10:17:00Z,34.00,66.00
2025-08-09T10:19:00Z,34.00,66.00
2025-08-09T11:11:00Z,34.00,70.00
2025-08-09T11:22:00Z,34.00,70.00
2025-08-09T11:41:00Z,34.00,70.00
2025-08-09T11:52:00Z,34.00,70.00
2025-08-09T12:06:00Z,34.00,70.00
2025-08-09T12:30:00Z,34.00,70.90
2025-08-09T12:31:00Z,31.00,70.90
2025-08-09T12:33:00Z,31.00,71.00
2025-08-09T12:35:00Z,31.00,71.00
2025-08-09T12:49:00Z,31.00,71.00
2025-08-09T12:51:00Z,31.00,70.51
2025-08-09T12:58:00Z,31.00,71.00
2025-08-09T13:03:00Z,31.00,71.00
2025-08-09T13:16:00Z,31.00,70.00
2025-08-09T13:23:00Z,31.00,70.45
2025-08-09T13:24:00Z,31.00,70.00
2025-08-09T13:25:00Z,31.00,70.00
2025-08-09T13:27:00Z,31.00,70.05
2025-08-09T13:29:00Z,32.00,70.05
2025-08-09T13:31:00Z,31.42,70.24
2025-08-09T13:34:00Z,31.00,70.00
2025-08-09T13:37:00Z,31.00,70.00
2025-08-09T13:44:00Z,31.00,70.00
2025-08-09T13:45:00Z,31.00,70.00
2025-08-09T13:56:00Z,31.00,70.28
2025-08-09T14:04:00Z,31.00,70.00
2025-08-09T14:08:00Z,31.00,71.00
2025-08-09T14:10:00Z,31.00,71.00
2025-08-09T14:11:00Z,31.00,71.00
