# event_ticker=KXATPCHALLENGERMATCH-26MAY15UGOKEC
# final_score=6-1 6-1
# score_resolution=1-6 1-6
# match_winner=Miomir Kecmanovic
# fav_player=Camilo Ugo Carabelli
# dog_player=Miomir Kecmanovic
# kalshi_date=2026-05-15
timestamp,Camilo Ugo Carabelli,Miomir Kecmanovic
2026-05-15T00:25:00Z,49.27,50.85
2026-05-15T00:26:00Z,49.27,55.00
2026-05-15T00:44:00Z,43.00,55.00
2026-05-15T01:01:00Z,43.00,57.00
2026-05-15T01:45:00Z,43.00,57.00
2026-05-15T01:47:00Z,43.00,57.00
2026-05-15T01:49:00Z,44.00,57.00
2026-05-15T02:08:00Z,44.00,57.00
2026-05-15T02:10:00Z,44.00,57.00
2026-05-15T02:15:00Z,44.00,57.00
2026-05-15T02:17:00Z,44.00,57.00
2026-05-15T02:20:00Z,44.00,57.00
2026-05-15T02:21:00Z,44.00,57.00
2026-05-15T02:22:00Z,44.00,57.00
2026-05-15T02:33:00Z,44.00,56.02
2026-05-15T02:37:00Z,45.00,56.02
2026-05-15T02:38:00Z,45.00,56.98
2026-05-15T02:45:00Z,45.00,56.98
2026-05-15T02:56:00Z,45.00,56.98
2026-05-15T03:03:00Z,45.00,56.00
2026-05-15T03:05:00Z,45.00,56.00
2026-05-15T03:09:00Z,45.00,56.00
2026-05-15T03:18:00Z,45.00,56.00
2026-05-15T03:27:00Z,45.00,56.00
2026-05-15T03:34:00Z,45.00,56.00
2026-05-15T03:37:00Z,45.42,56.00
2026-05-15T03:48:00Z,45.00,56.00
2026-05-15T03:57:00Z,45.00,56.00
2026-05-15T04:12:00Z,45.00,55.00
2026-05-15T04:16:00Z,46.00,55.00
2026-05-15T04:20:00Z,46.00,55.00
2026-05-15T04:23:00Z,46.00,55.00
2026-05-15T04:26:00Z,46.00,55.00
2026-05-15T04:28:00Z,46.00,55.00
2026-05-15T04:29:00Z,46.00,55.00
2026-05-15T04:31:00Z,46.00,55.00
2026-05-15T04:32:00Z,46.00,55.00
2026-05-15T04:35:00Z,46.00,55.00
2026-05-15T04:38:00Z,46.00,55.00
2026-05-15T04:39:00Z,46.00,55.00
2026-05-15T04:43:00Z,46.00,55.00
2026-05-15T04:57:00Z,46.00,55.00
2026-05-15T05:02:00Z,46.00,55.00
2026-05-15T05:03:00Z,45.00,55.00
2026-05-15T05:04:00Z,45.00,55.00
2026-05-15T05:08:00Z,45.00,55.00
2026-05-15T05:09:00Z,45.00,55.00
2026-05-15T05:11:00Z,45.00,55.00
