# event_ticker=KXATPCHALLENGERMATCH-26FEB25BRUKNA
# final_score=7-5 6-7(2) 6-3
# score_resolution=5-7 7-6 3-6
# match_winner=Mika Brunold
# fav_player=Alex Knaff
# dog_player=Mika Brunold
# kalshi_date=2026-02-25
timestamp,Alex Knaff,Mika Brunold
2026-02-24T21:26:00Z,32.00,
2026-02-25T00:00:00Z,32.00,72.91
2026-02-25T02:52:00Z,30.00,72.91
2026-02-25T03:06:00Z,30.00,72.91
2026-02-25T03:08:00Z,30.00,73.00
2026-02-25T03:47:00Z,30.00,73.00
2026-02-25T04:27:00Z,30.00,73.00
2026-02-25T04:31:00Z,30.00,73.00
2026-02-25T04:43:00Z,30.00,73.00
2026-02-25T05:41:00Z,30.00,72.00
2026-02-25T05:53:00Z,30.00,73.00
2026-02-25T05:54:00Z,28.00,73.00
2026-02-25T06:08:00Z,28.00,72.00
2026-02-25T06:10:00Z,30.00,72.00
2026-02-25T06:13:00Z,30.00,72.00
2026-02-25T06:18:00Z,30.00,72.00
2026-02-25T06:19:00Z,30.00,72.00
2026-02-25T06:20:00Z,30.00,72.00
2026-02-25T06:21:00Z,30.00,72.00
2026-02-25T06:26:00Z,30.00,72.00
2026-02-25T06:27:00Z,30.00,73.00
2026-02-25T06:29:00Z,30.00,73.00
2026-02-25T06:30:00Z,30.00,73.00
2026-02-25T06:32:00Z,30.00,73.00
2026-02-25T06:34:00Z,30.00,73.00
2026-02-25T06:35:00Z,30.00,71.00
2026-02-25T06:36:00Z,30.00,73.00
2026-02-25T06:37:00Z,30.00,73.00
2026-02-25T06:38:00Z,30.00,70.66
2026-02-25T06:51:00Z,30.00,70.66
2026-02-25T06:52:00Z,30.00,73.00
2026-02-25T06:53:00Z,30.00,73.00
2026-02-25T06:57:00Z,30.00,73.00
2026-02-25T07:16:00Z,30.00,73.00
2026-02-25T07:21:00Z,30.00,73.00
2026-02-25T07:51:00Z,30.00,73.00
2026-02-25T08:27:00Z,30.00,73.00
2026-02-25T08:45:00Z,30.00,73.00
2026-02-25T08:55:00Z,28.00,73.00
2026-02-25T09:06:00Z,28.00,72.00
2026-02-25T09:07:00Z,31.00,72.00
2026-02-25T09:08:00Z,31.00,73.00
2026-02-25T09:09:00Z,30.86,73.00
2026-02-25T09:10:00Z,30.45,73.00
2026-02-25T09:11:00Z,28.34,72.47
2026-02-25T09:12:00Z,30.52,72.64
2026-02-25T09:13:00Z,29.06,71.46
2026-02-25T09:14:00Z,29.52,72.61
2026-02-25T09:15:00Z,27.78,72.80
2026-02-25T09:16:00Z,25.90,75.00
2026-02-25T09:17:00Z,29.60,71.00
2026-02-25T09:18:00Z,30.23,72.00
2026-02-25T09:19:00Z,22.27,73.07
2026-02-25T09:20:00Z,23.98,74.87
2026-02-25T09:21:00Z,26.92,73.86
2026-02-25T09:22:00Z,27.49,73.28
2026-02-25T09:23:00Z,25.53,74.00
2026-02-25T09:24:00Z,30.11,71.50
2026-02-25T09:25:00Z,36.25,63.84
2026-02-25T09:26:00Z,36.83,66.01
2026-02-25T09:27:00Z,29.97,66.01
2026-02-25T09:28:00Z,28.89,73.03
2026-02-25T09:29:00Z,29.00,74.79
2026-02-25T09:30:00Z,30.23,68.00
2026-02-25T09:31:00Z,33.67,69.00
2026-02-25T09:32:00Z,33.35,67.75
2026-02-25T09:33:00Z,30.29,71.98
2026-02-25T09:34:00Z,29.79,70.00
2026-02-25T09:35:00Z,30.00,70.00
2026-02-25T09:36:00Z,32.59,69.01
2026-02-25T09:37:00Z,29.26,70.91
2026-02-25T09:38:00Z,32.02,69.98
2026-02-25T09:39:00Z,33.47,69.98
2026-02-25T09:40:00Z,31.43,69.15
2026-02-25T09:41:00Z,30.87,67.63
2026-02-25T09:42:00Z,33.43,66.02
2026-02-25T09:43:00Z,32.30,69.00
2026-02-25T09:44:00Z,32.00,69.00
2026-02-25T09:45:00Z,34.39,67.35
2026-02-25T09:46:00Z,29.12,71.45
2026-02-25T09:47:00Z,28.68,74.32
2026-02-25T09:48:00Z,33.01,70.14
2026-02-25T09:49:00Z,34.12,69.63
2026-02-25T09:50:00Z,26.64,73.59
2026-02-25T09:51:00Z,25.97,72.49
2026-02-25T09:52:00Z,29.51,68.87
2026-02-25T09:53:00Z,34.34,67.00
2026-02-25T09:54:00Z,41.25,63.93
2026-02-25T09:55:00Z,38.05,62.88
2026-02-25T09:56:00Z,37.55,62.00
2026-02-25T09:57:00Z,35.26,66.71
2026-02-25T09:58:00Z,39.40,62.61
2026-02-25T09:59:00Z,35.98,66.15
2026-02-25T10:00:00Z,33.30,69.16
2026-02-25T10:01:00Z,32.24,69.70
2026-02-25T10:02:00Z,35.14,70.32
2026-02-25T10:03:00Z,37.01,62.94
2026-02-25T10:04:00Z,35.54,67.24
2026-02-25T10:05:00Z,35.40,65.79
2026-02-25T10:06:00Z,35.60,67.95
2026-02-25T10:07:00Z,32.27,76.72
2026-02-25T10:08:00Z,23.41,80.97
2026-02-25T10:09:00Z,14.48,85.07
2026-02-25T10:10:00Z,15.02,86.05
2026-02-25T10:11:00Z,19.99,82.51
2026-02-25T10:12:00Z,22.34,79.52
2026-02-25T10:13:00Z,26.63,75.39
2026-02-25T10:14:00Z,28.91,72.68
2026-02-25T10:15:00Z,30.51,71.66
2026-02-25T10:16:00Z,27.12,76.60
2026-02-25T10:17:00Z,27.94,73.57
2026-02-25T10:18:00Z,26.43,71.67
2026-02-25T10:19:00Z,30.43,70.12
2026-02-25T10:20:00Z,32.93,67.00
2026-02-25T10:21:00Z,29.73,68.05
2026-02-25T10:22:00Z,31.52,69.27
2026-02-25T10:23:00Z,31.00,71.76
2026-02-25T10:24:00Z,30.10,70.87
2026-02-25T10:25:00Z,34.00,67.16
2026-02-25T10:26:00Z,33.89,67.97
2026-02-25T10:27:00Z,34.42,67.30
2026-02-25T10:28:00Z,34.17,66.45
2026-02-25T10:29:00Z,33.01,68.50
2026-02-25T10:30:00Z,33.35,67.95
2026-02-25T10:31:00Z,32.00,69.36
2026-02-25T10:32:00Z,30.17,71.93
2026-02-25T10:33:00Z,30.91,69.81
2026-02-25T10:34:00Z,35.34,66.78
2026-02-25T10:35:00Z,34.84,67.87
2026-02-25T10:36:00Z,34.39,68.34
2026-02-25T10:37:00Z,30.80,69.15
2026-02-25T10:38:00Z,32.87,70.01
2026-02-25T10:39:00Z,26.68,77.70
2026-02-25T10:40:00Z,21.29,84.01
2026-02-25T10:41:00Z,13.58,86.91
2026-02-25T10:42:00Z,15.76,86.45
2026-02-25T10:43:00Z,14.23,87.82
2026-02-25T10:44:00Z,12.30,88.29
2026-02-25T10:45:00Z,11.80,90.95
2026-02-25T10:46:00Z,10.98,90.78
2026-02-25T10:47:00Z,7.77,90.27
2026-02-25T10:48:00Z,11.99,89.93
2026-02-25T10:49:00Z,15.25,85.13
2026-02-25T10:50:00Z,12.78,88.20
2026-02-25T10:51:00Z,9.98,90.85
2026-02-25T10:52:00Z,10.96,92.81
2026-02-25T10:53:00Z,5.63,95.86
2026-02-25T10:54:00Z,4.39,94.93
2026-02-25T10:55:00Z,10.45,90.09
2026-02-25T10:56:00Z,13.35,86.58
2026-02-25T10:57:00Z,24.63,79.90
2026-02-25T10:58:00Z,27.02,70.84
2026-02-25T10:59:00Z,34.23,64.28
2026-02-25T11:00:00Z,32.00,67.41
2026-02-25T11:01:00Z,28.87,70.93
2026-02-25T11:02:00Z,35.21,62.65
2026-02-25T11:03:00Z,38.57,59.14
2026-02-25T11:04:00Z,38.00,61.38
2026-02-25T11:05:00Z,38.15,60.72
2026-02-25T11:06:00Z,38.84,62.00
2026-02-25T11:07:00Z,39.92,60.95
2026-02-25T11:08:00Z,41.98,61.72
2026-02-25T11:09:00Z,24.62,70.16
2026-02-25T11:10:00Z,18.63,82.85
2026-02-25T11:11:00Z,15.76,83.07
2026-02-25T11:12:00Z,18.82,81.44
2026-02-25T11:13:00Z,29.91,74.49
2026-02-25T11:14:00Z,38.44,65.98
2026-02-25T11:15:00Z,39.45,59.91
2026-02-25T11:16:00Z,38.61,62.95
2026-02-25T11:17:00Z,45.45,54.16
2026-02-25T11:18:00Z,48.79,51.67
2026-02-25T11:19:00Z,49.25,50.95
2026-02-25T11:20:00Z,46.03,55.38
2026-02-25T11:21:00Z,39.63,60.87
2026-02-25T11:22:00Z,36.92,65.23
2026-02-25T11:23:00Z,20.86,69.37
2026-02-25T11:24:00Z,23.72,73.08
2026-02-25T11:25:00Z,25.84,76.77
2026-02-25T11:26:00Z,28.35,71.28
2026-02-25T11:27:00Z,18.11,83.65
2026-02-25T11:28:00Z,15.64,85.00
2026-02-25T11:29:00Z,17.25,82.72
2026-02-25T11:30:00Z,18.74,82.23
