# event_ticker=KXATPMATCH-25AUG20YUNNAV
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Yunchaokete Bu
# fav_player=Mariano Navone
# dog_player=Yunchaokete Bu
# kalshi_date=2025-08-20
timestamp,Mariano Navone,Yunchaokete Bu
2025-08-20T13:16:00Z,41.00,
2025-08-20T13:18:00Z,41.00,61.00
2025-08-20T13:24:00Z,41.00,61.00
2025-08-20T14:06:00Z,41.00,61.00
2025-08-20T14:16:00Z,41.00,61.00
2025-08-20T14:21:00Z,41.00,61.00
2025-08-20T14:25:00Z,41.85,61.00
2025-08-20T14:26:00Z,42.00,60.00
2025-08-20T14:29:00Z,42.00,60.00
2025-08-20T14:47:00Z,42.00,57.00
2025-08-20T14:48:00Z,43.00,57.00
2025-08-20T14:51:00Z,44.00,57.00
2025-08-20T15:48:00Z,46.00,57.00
2025-08-20T16:23:00Z,46.00,54.00
2025-08-20T16:28:00Z,46.00,54.00
2025-08-20T16:31:00Z,46.00,54.00
2025-08-20T16:57:00Z,46.00,56.00
2025-08-20T17:06:00Z,45.00,56.00
2025-08-20T17:17:00Z,45.00,56.00
2025-08-20T17:23:00Z,45.00,56.00
2025-08-20T18:35:00Z,45.00,56.00
2025-08-20T19:18:00Z,45.00,55.00
2025-08-20T19:56:00Z,45.00,54.00
2025-08-20T19:57:00Z,45.00,54.00
2025-08-20T20:30:00Z,45.00,54.00
2025-08-20T20:45:00Z,45.00,54.00
2025-08-20T20:56:00Z,45.00,54.00
2025-08-20T21:02:00Z,45.00,54.00
2025-08-20T21:05:00Z,46.00,54.00
2025-08-20T21:26:00Z,47.00,54.00
2025-08-20T21:38:00Z,47.00,54.00
2025-08-20T21:59:00Z,47.00,54.38
2025-08-20T22:13:00Z,47.00,55.00
2025-08-20T22:15:00Z,46.00,55.24
2025-08-20T22:20:00Z,46.00,55.00
2025-08-20T22:21:00Z,46.00,55.00
2025-08-20T22:22:00Z,46.00,56.41
2025-08-20T22:26:00Z,46.00,57.00
2025-08-20T22:27:00Z,44.30,57.00
2025-08-20T22:29:00Z,44.30,57.00
2025-08-20T22:30:00Z,44.30,57.00
2025-08-20T22:31:00Z,44.66,57.00
2025-08-20T22:32:00Z,43.00,57.00
2025-08-20T22:33:00Z,45.95,57.00
2025-08-20T22:36:00Z,45.95,55.00
2025-08-20T22:37:00Z,45.95,58.00
