# event_ticker=KXATPMATCH-26MAY22TIEBUB
# final_score=6-1 4-6 7-6(5)
# score_resolution=1-6 6-4 6-7
# match_winner=Learner Tien
# fav_player=Alexander Bublik
# dog_player=Learner Tien
# kalshi_date=2026-05-22
timestamp,Learner Tien,Alexander Bublik
2026-05-22T02:19:00Z,,56.00
2026-05-22T02:26:00Z,44.00,56.00
2026-05-22T02:28:00Z,44.00,56.00
2026-05-22T02:29:00Z,44.00,57.98
2026-05-22T02:31:00Z,44.00,58.00
2026-05-22T02:32:00Z,44.00,58.00
2026-05-22T02:34:00Z,44.00,57.00
2026-05-22T02:38:00Z,44.00,57.00
2026-05-22T02:42:00Z,44.00,58.00
2026-05-22T02:43:00Z,44.00,58.00
2026-05-22T02:44:00Z,44.00,58.00
2026-05-22T02:52:00Z,44.00,58.90
2026-05-22T02:55:00Z,44.00,58.00
2026-05-22T02:56:00Z,43.69,58.00
2026-05-22T03:00:00Z,43.00,58.00
2026-05-22T03:01:00Z,44.00,58.00
2026-05-22T03:02:00Z,44.00,58.00
2026-05-22T03:03:00Z,44.00,59.24
2026-05-22T03:07:00Z,44.00,60.00
2026-05-22T03:10:00Z,42.00,60.00
2026-05-22T03:12:00Z,42.00,60.00
2026-05-22T03:13:00Z,42.00,60.00
2026-05-22T03:15:00Z,40.91,60.00
2026-05-22T03:16:00Z,40.91,60.00
2026-05-22T03:20:00Z,42.00,60.00
2026-05-22T03:21:00Z,42.00,60.00
2026-05-22T03:23:00Z,42.00,60.00
2026-05-22T03:24:00Z,42.00,60.00
2026-05-22T03:26:00Z,42.00,60.88
2026-05-22T03:27:00Z,41.00,60.00
2026-05-22T03:28:00Z,41.00,60.00
2026-05-22T03:29:00Z,41.00,60.00
2026-05-22T03:30:00Z,41.00,61.00
2026-05-22T03:31:00Z,41.38,61.00
2026-05-22T03:33:00Z,41.38,60.00
2026-05-22T03:34:00Z,41.38,60.00
2026-05-22T03:35:00Z,41.38,60.27
2026-05-22T03:36:00Z,42.00,60.27
2026-05-22T03:38:00Z,42.00,60.00
2026-05-22T03:39:00Z,42.00,60.00
2026-05-22T03:40:00Z,42.00,61.00
2026-05-22T03:42:00Z,41.00,61.00
2026-05-22T03:44:00Z,41.00,61.00
2026-05-22T03:45:00Z,41.00,61.00
