# event_ticker=KXATPMATCH-25SEP22NAKTAB
# final_score=6-4 7-6(0)
# score_resolution=6-4 7-6
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Brandon Nakashima
# kalshi_date=2025-09-22
timestamp,Alejandro Tabilo,Brandon Nakashima
2025-09-21T23:24:00Z,39.00,
2025-09-21T23:29:00Z,39.00,
2025-09-21T23:34:00Z,39.00,62.00
2025-09-21T23:37:00Z,39.00,62.00
2025-09-21T23:39:00Z,39.00,62.00
2025-09-21T23:40:00Z,39.00,62.00
2025-09-21T23:43:00Z,39.00,62.09
2025-09-21T23:45:00Z,39.00,63.00
2025-09-21T23:55:00Z,39.00,62.50
2025-09-21T23:56:00Z,39.00,63.00
2025-09-22T00:01:00Z,39.00,63.00
2025-09-22T00:07:00Z,39.00,63.00
2025-09-22T00:09:00Z,39.00,63.00
2025-09-22T00:13:00Z,39.00,64.00
2025-09-22T00:15:00Z,38.00,64.00
2025-09-22T00:22:00Z,38.00,63.00
2025-09-22T00:23:00Z,38.00,63.00
2025-09-22T00:26:00Z,38.00,63.00
2025-09-22T00:29:00Z,38.00,63.00
2025-09-22T00:34:00Z,38.00,63.00
2025-09-22T00:35:00Z,38.00,63.00
2025-09-22T00:37:00Z,38.00,63.00
2025-09-22T00:40:00Z,38.00,63.00
2025-09-22T00:41:00Z,38.00,63.00
2025-09-22T00:45:00Z,38.00,63.00
2025-09-22T00:51:00Z,38.00,63.00
2025-09-22T00:52:00Z,38.00,63.00
2025-09-22T00:53:00Z,38.00,63.00
2025-09-22T00:56:00Z,38.00,63.00
2025-09-22T00:59:00Z,38.00,63.00
2025-09-22T01:01:00Z,38.00,63.00
2025-09-22T01:04:00Z,38.00,63.00
2025-09-22T01:06:00Z,38.00,63.00
2025-09-22T01:07:00Z,38.00,63.00
2025-09-22T01:08:00Z,38.00,63.00
2025-09-22T01:23:00Z,38.00,63.23
2025-09-22T01:24:00Z,38.00,63.90
2025-09-22T01:29:00Z,38.00,64.00
2025-09-22T01:31:00Z,38.00,64.00
2025-09-22T01:40:00Z,38.00,64.00
2025-09-22T01:41:00Z,38.00,64.00
2025-09-22T01:43:00Z,38.00,64.00
2025-09-22T01:44:00Z,38.00,64.00
2025-09-22T01:45:00Z,38.00,64.00
2025-09-22T01:48:00Z,38.00,63.00
2025-09-22T01:54:00Z,38.00,63.60
2025-09-22T02:00:00Z,38.00,64.00
2025-09-22T02:01:00Z,38.00,64.00
2025-09-22T02:06:00Z,38.00,64.00
2025-09-22T02:08:00Z,38.00,64.00
2025-09-22T02:09:00Z,38.00,64.00
2025-09-22T02:10:00Z,38.00,64.00
2025-09-22T02:11:00Z,38.00,64.00
2025-09-22T02:15:00Z,38.00,64.00
2025-09-22T02:16:00Z,38.00,64.00
2025-09-22T02:22:00Z,38.00,64.00
2025-09-22T02:23:00Z,37.00,64.00
2025-09-22T02:24:00Z,37.60,64.00
2025-09-22T02:27:00Z,37.60,63.00
2025-09-22T02:31:00Z,37.60,63.78
2025-09-22T02:32:00Z,38.00,63.78
2025-09-22T02:36:00Z,38.00,63.00
2025-09-22T02:37:00Z,38.00,63.00
2025-09-22T02:38:00Z,38.00,63.00
2025-09-22T02:39:00Z,38.00,63.00
2025-09-22T02:41:00Z,38.00,63.00
2025-09-22T02:42:00Z,38.00,63.00
2025-09-22T02:47:00Z,38.00,63.00
2025-09-22T02:49:00Z,38.00,63.00
2025-09-22T02:52:00Z,38.00,63.00
2025-09-22T02:56:00Z,38.00,63.00
2025-09-22T02:59:00Z,38.00,63.00
2025-09-22T03:02:00Z,38.00,63.00
2025-09-22T03:03:00Z,38.00,64.00
2025-09-22T03:05:00Z,38.00,64.00
2025-09-22T03:07:00Z,38.00,64.00
2025-09-22T03:08:00Z,38.00,64.00
2025-09-22T03:09:00Z,38.00,64.00
2025-09-22T03:10:00Z,38.00,64.00
2025-09-22T03:11:00Z,38.00,64.00
2025-09-22T03:12:00Z,38.00,62.32
2025-09-22T03:13:00Z,38.00,64.00
2025-09-22T03:15:00Z,38.00,63.97
2025-09-22T03:18:00Z,37.00,64.00
2025-09-22T03:19:00Z,37.00,64.00
2025-09-22T03:20:00Z,37.00,64.00
2025-09-22T03:21:00Z,37.00,64.00
2025-09-22T03:22:00Z,37.00,64.00
2025-09-22T03:23:00Z,37.00,64.00
2025-09-22T03:24:00Z,37.00,64.00
2025-09-22T03:25:00Z,37.00,64.00
2025-09-22T03:26:00Z,37.00,64.00
2025-09-22T03:29:00Z,37.00,64.00
2025-09-22T03:30:00Z,37.00,64.00
2025-09-22T03:32:00Z,37.00,64.00
2025-09-22T03:33:00Z,37.00,64.00
2025-09-22T03:35:00Z,37.00,64.00
2025-09-22T03:37:00Z,37.00,64.36
2025-09-22T03:38:00Z,37.00,64.99
2025-09-22T03:39:00Z,37.00,64.87
2025-09-22T03:40:00Z,37.00,65.00
2025-09-22T03:41:00Z,37.00,65.00
2025-09-22T03:42:00Z,37.00,65.00
2025-09-22T03:43:00Z,36.85,65.00
2025-09-22T03:44:00Z,35.00,65.00
2025-09-22T03:45:00Z,35.00,65.00
2025-09-22T03:46:00Z,37.00,65.00
2025-09-22T03:47:00Z,37.00,65.00
2025-09-22T03:48:00Z,36.35,65.00
2025-09-22T03:50:00Z,36.35,65.00
2025-09-22T03:51:00Z,36.35,65.00
2025-09-22T03:52:00Z,36.80,65.00
2025-09-22T03:53:00Z,37.00,65.00
2025-09-22T03:54:00Z,37.00,65.00
2025-09-22T03:55:00Z,37.00,65.00
2025-09-22T03:56:00Z,37.00,65.00
2025-09-22T03:57:00Z,37.00,65.00
2025-09-22T03:58:00Z,36.00,65.00
2025-09-22T03:59:00Z,36.00,65.00
2025-09-22T04:01:00Z,36.00,65.66
2025-09-22T04:02:00Z,36.00,66.00
2025-09-22T04:03:00Z,36.00,66.00
2025-09-22T04:04:00Z,36.00,66.00
2025-09-22T04:05:00Z,36.37,65.00
2025-09-22T04:06:00Z,36.00,65.00
2025-09-22T04:07:00Z,36.00,65.00
2025-09-22T04:08:00Z,36.00,65.00
2025-09-22T04:09:00Z,36.75,65.00
2025-09-22T04:10:00Z,36.00,65.00
2025-09-22T04:11:00Z,37.00,65.00
2025-09-22T04:12:00Z,36.00,65.00
2025-09-22T04:13:00Z,36.00,65.00
2025-09-22T04:14:00Z,36.00,65.00
2025-09-22T04:15:00Z,36.92,65.00
2025-09-22T04:16:00Z,36.92,65.00
2025-09-22T04:17:00Z,36.92,65.00
2025-09-22T04:18:00Z,37.27,64.00
2025-09-22T04:19:00Z,37.27,64.00
2025-09-22T04:21:00Z,37.27,64.47
2025-09-22T04:22:00Z,37.00,64.00
2025-09-22T04:24:00Z,37.00,64.00
2025-09-22T04:25:00Z,37.00,64.00
2025-09-22T04:27:00Z,37.00,64.58
2025-09-22T04:28:00Z,37.68,63.09
2025-09-22T04:29:00Z,38.00,63.09
2025-09-22T04:30:00Z,38.00,63.00
2025-09-22T04:32:00Z,38.00,63.00
2025-09-22T04:33:00Z,38.00,63.00
2025-09-22T04:34:00Z,38.00,63.64
2025-09-22T04:36:00Z,38.00,64.00
2025-09-22T04:37:00Z,37.00,64.00
2025-09-22T04:38:00Z,37.00,64.00
2025-09-22T04:39:00Z,37.00,64.00
2025-09-22T04:40:00Z,37.00,64.00
2025-09-22T04:41:00Z,37.00,64.00
2025-09-22T04:42:00Z,37.00,64.00
2025-09-22T04:43:00Z,37.00,64.00
2025-09-22T04:46:00Z,36.00,64.00
2025-09-22T04:47:00Z,37.00,64.00
2025-09-22T04:48:00Z,37.00,63.00
2025-09-22T04:50:00Z,37.00,64.00
2025-09-22T04:51:00Z,37.00,64.00
2025-09-22T04:52:00Z,37.00,64.00
2025-09-22T04:53:00Z,37.00,64.00
2025-09-22T04:54:00Z,37.00,64.93
2025-09-22T04:55:00Z,37.00,64.68
2025-09-22T04:56:00Z,37.00,64.90
2025-09-22T04:58:00Z,37.00,65.00
2025-09-22T04:59:00Z,37.00,65.00
2025-09-22T05:00:00Z,37.00,65.00
2025-09-22T05:02:00Z,37.00,64.00
2025-09-22T05:03:00Z,37.00,64.00
2025-09-22T05:05:00Z,37.00,64.00
2025-09-22T05:08:00Z,37.00,64.52
2025-09-22T05:09:00Z,37.00,65.00
2025-09-22T05:11:00Z,37.00,65.00
2025-09-22T05:12:00Z,37.00,65.00
2025-09-22T05:14:00Z,37.00,65.00
2025-09-22T05:15:00Z,37.00,65.00
2025-09-22T05:16:00Z,37.00,65.00
2025-09-22T05:17:00Z,37.00,65.00
2025-09-22T05:18:00Z,37.00,65.00
2025-09-22T05:19:00Z,37.00,65.00
2025-09-22T05:20:00Z,37.00,65.00
2025-09-22T05:22:00Z,37.00,65.00
2025-09-22T05:23:00Z,37.00,65.00
2025-09-22T05:25:00Z,37.00,65.00
2025-09-22T05:26:00Z,37.00,65.00
2025-09-22T05:27:00Z,37.00,65.00
2025-09-22T05:29:00Z,37.00,65.00
2025-09-22T05:30:00Z,37.00,65.00
2025-09-22T05:31:00Z,37.00,65.00
2025-09-22T05:32:00Z,37.00,65.00
2025-09-22T05:33:00Z,37.00,65.00
2025-09-22T05:35:00Z,37.00,65.00
2025-09-22T05:36:00Z,37.00,65.00
2025-09-22T05:37:00Z,37.00,65.00
2025-09-22T05:38:00Z,37.00,65.00
2025-09-22T05:39:00Z,37.00,65.00
2025-09-22T05:41:00Z,36.09,65.00
2025-09-22T05:43:00Z,36.09,65.00
2025-09-22T05:44:00Z,36.09,65.00
2025-09-22T05:48:00Z,36.00,65.00
2025-09-22T05:50:00Z,36.00,65.00
2025-09-22T05:51:00Z,36.00,65.00
2025-09-22T05:52:00Z,36.00,65.00
2025-09-22T05:53:00Z,36.43,64.00
2025-09-22T05:54:00Z,36.43,64.00
2025-09-22T05:55:00Z,37.00,64.30
2025-09-22T05:56:00Z,37.00,64.00
2025-09-22T05:58:00Z,37.00,64.00
2025-09-22T06:00:00Z,37.00,65.00
2025-09-22T06:01:00Z,35.12,65.00
2025-09-22T06:02:00Z,35.12,66.00
2025-09-22T06:03:00Z,35.12,66.00
2025-09-22T06:04:00Z,35.12,66.00
2025-09-22T06:05:00Z,36.00,66.00
2025-09-22T06:06:00Z,36.00,66.00
2025-09-22T06:07:00Z,36.00,66.00
2025-09-22T06:09:00Z,36.00,66.00
2025-09-22T06:11:00Z,36.00,66.00
2025-09-22T06:12:00Z,36.00,66.00
2025-09-22T06:13:00Z,36.00,66.00
2025-09-22T06:14:00Z,36.00,66.00
2025-09-22T06:17:00Z,36.00,66.00
2025-09-22T06:20:00Z,36.00,66.00
2025-09-22T06:22:00Z,36.00,66.00
