# event_ticker=KXATPMATCH-26APR04TIRBUR
# final_score=6-1 6-1
# match_winner=Roman Andres Burruchaga
# fav_player=Roman Andres Burruchaga
# dog_player=Thiago Agustin Tirante
# kalshi_date=2026-04-04
timestamp,Roman Andres Burruchaga,Thiago Agustin Tirante
2026-04-04T04:26:00Z,51.00,
2026-04-04T04:29:00Z,50.54,
2026-04-04T04:31:00Z,49.20,
2026-04-04T04:35:00Z,49.20,51.00
2026-04-04T04:37:00Z,49.20,51.00
2026-04-04T04:44:00Z,49.00,51.00
2026-04-04T04:45:00Z,49.00,51.86
2026-04-04T04:46:00Z,50.00,51.86
2026-04-04T04:47:00Z,50.00,51.86
2026-04-04T04:48:00Z,50.00,51.86
2026-04-04T04:49:00Z,50.00,51.86
2026-04-04T04:56:00Z,50.00,51.00
2026-04-04T04:57:00Z,50.00,51.00
2026-04-04T04:58:00Z,50.00,51.00
2026-04-04T05:00:00Z,50.00,51.00
2026-04-04T05:04:00Z,50.00,51.00
2026-04-04T05:07:00Z,50.00,51.00
2026-04-04T05:14:00Z,50.00,51.00
2026-04-04T05:15:00Z,50.00,51.00
2026-04-04T05:17:00Z,50.00,51.00
2026-04-04T05:19:00Z,50.00,51.77
2026-04-04T05:20:00Z,50.00,51.77
2026-04-04T05:22:00Z,50.00,51.00
2026-04-04T05:26:00Z,50.00,51.91
2026-04-04T05:27:00Z,50.00,51.93
2026-04-04T05:32:00Z,50.00,51.93
2026-04-04T05:34:00Z,50.00,52.31
2026-04-04T05:37:00Z,50.00,52.31
2026-04-04T05:38:00Z,50.00,52.31
2026-04-04T05:40:00Z,50.00,52.31
2026-04-04T05:41:00Z,50.00,51.00
2026-04-04T05:44:00Z,50.00,51.00
2026-04-04T05:57:00Z,50.00,51.00
2026-04-04T06:00:00Z,50.00,51.00
2026-04-04T06:08:00Z,50.00,51.00
2026-04-04T06:09:00Z,50.00,52.00
2026-04-04T06:11:00Z,49.00,52.00
2026-04-04T06:12:00Z,49.00,52.00
2026-04-04T06:16:00Z,49.00,52.00
2026-04-04T06:22:00Z,49.00,52.00
2026-04-04T06:23:00Z,49.00,52.00
2026-04-04T06:28:00Z,49.00,52.00
2026-04-04T06:34:00Z,49.00,52.00
2026-04-04T06:49:00Z,49.00,52.00
2026-04-04T06:50:00Z,49.00,52.00
2026-04-04T06:54:00Z,49.00,52.00
2026-04-04T07:05:00Z,49.00,52.00
2026-04-04T07:06:00Z,49.00,52.00
2026-04-04T07:11:00Z,49.00,52.00
2026-04-04T07:13:00Z,49.00,52.00
2026-04-04T07:16:00Z,49.00,52.00
2026-04-04T07:20:00Z,49.00,52.00
2026-04-04T07:24:00Z,49.00,51.00
2026-04-04T07:26:00Z,48.00,52.00
