# event_ticker=KXATPCHALLENGERMATCH-26FEB15MORHAR
# final_score=7-5 7-5
# score_resolution=5-7 5-7
# match_winner=Lloyd Harris
# fav_player=Alejandro Moro Canas
# dog_player=Lloyd Harris
# kalshi_date=2026-02-15
timestamp,Alejandro Moro Canas,Lloyd Harris
2026-02-15T01:31:00Z,,67.00
2026-02-15T01:49:00Z,,67.00
2026-02-15T02:08:00Z,,67.00
2026-02-15T02:22:00Z,,67.00
2026-02-15T02:28:00Z,,67.00
2026-02-15T02:48:00Z,,67.00
2026-02-15T02:54:00Z,,67.00
2026-02-15T03:29:00Z,,67.00
2026-02-15T03:51:00Z,,67.00
2026-02-15T04:02:00Z,,67.00
2026-02-15T04:03:00Z,,67.00
2026-02-15T04:23:00Z,,67.00
2026-02-15T04:34:00Z,36.00,67.00
2026-02-15T04:48:00Z,36.00,67.00
2026-02-15T04:55:00Z,36.00,67.00
2026-02-15T05:13:00Z,36.00,67.00
2026-02-15T05:18:00Z,36.00,67.00
2026-02-15T05:22:00Z,36.00,67.00
2026-02-15T05:55:00Z,35.00,67.00
2026-02-15T05:57:00Z,35.00,67.00
2026-02-15T06:15:00Z,35.00,67.00
2026-02-15T06:39:00Z,35.00,65.00
2026-02-15T06:41:00Z,35.00,67.00
2026-02-15T07:08:00Z,35.00,67.00
2026-02-15T07:14:00Z,35.00,67.00
2026-02-15T07:18:00Z,35.00,67.00
2026-02-15T07:22:00Z,35.00,67.00
2026-02-15T07:27:00Z,35.00,67.00
2026-02-15T07:39:00Z,35.00,67.48
2026-02-15T07:48:00Z,32.00,67.48
2026-02-15T08:02:00Z,32.00,65.00
2026-02-15T08:41:00Z,32.00,68.00
2026-02-15T08:48:00Z,32.00,68.00
2026-02-15T08:50:00Z,32.00,68.00
2026-02-15T09:25:00Z,32.00,68.00
2026-02-15T09:59:00Z,34.00,68.00
2026-02-15T10:25:00Z,34.00,68.00
2026-02-15T11:18:00Z,34.00,68.00
2026-02-15T11:26:00Z,34.00,68.20
2026-02-15T11:27:00Z,34.00,68.00
2026-02-15T11:32:00Z,34.00,68.00
2026-02-15T11:45:00Z,34.00,69.00
2026-02-15T11:50:00Z,34.00,69.00
2026-02-15T11:58:00Z,34.00,69.30
2026-02-15T11:59:00Z,32.00,68.65
2026-02-15T12:00:00Z,32.00,68.00
2026-02-15T12:05:00Z,32.00,69.00
2026-02-15T12:08:00Z,32.00,69.63
2026-02-15T12:09:00Z,31.21,70.00
2026-02-15T12:12:00Z,33.00,69.24
2026-02-15T12:13:00Z,34.93,67.03
2026-02-15T12:14:00Z,37.09,67.03
2026-02-15T12:15:00Z,37.09,63.03
2026-02-15T12:16:00Z,38.00,65.00
2026-02-15T12:17:00Z,38.00,66.00
2026-02-15T12:18:00Z,34.00,66.00
2026-02-15T12:19:00Z,31.00,70.00
2026-02-15T12:20:00Z,24.95,73.25
2026-02-15T12:21:00Z,29.64,69.00
2026-02-15T12:22:00Z,29.64,71.00
2026-02-15T12:23:00Z,34.00,67.00
2026-02-15T12:24:00Z,34.00,66.00
2026-02-15T12:25:00Z,36.89,65.00
2026-02-15T12:26:00Z,28.91,68.19
2026-02-15T12:28:00Z,33.30,67.42
2026-02-15T12:29:00Z,36.98,66.00
2026-02-15T12:30:00Z,36.00,66.00
2026-02-15T12:32:00Z,37.00,66.79
2026-02-15T12:34:00Z,31.00,66.79
2026-02-15T12:35:00Z,34.00,66.79
2026-02-15T12:36:00Z,37.00,66.00
2026-02-15T12:37:00Z,38.00,66.00
2026-02-15T12:38:00Z,38.63,66.00
2026-02-15T12:39:00Z,38.63,66.88
2026-02-15T12:40:00Z,35.17,66.88
2026-02-15T12:41:00Z,35.31,67.28
2026-02-15T12:42:00Z,35.54,66.54
2026-02-15T12:43:00Z,39.00,64.47
2026-02-15T12:44:00Z,39.26,62.93
2026-02-15T12:45:00Z,39.59,62.00
2026-02-15T12:46:00Z,39.96,64.76
2026-02-15T12:47:00Z,39.72,61.84
2026-02-15T12:48:00Z,47.30,52.43
2026-02-15T12:49:00Z,44.08,59.19
2026-02-15T12:50:00Z,49.00,61.21
2026-02-15T12:51:00Z,41.93,61.82
2026-02-15T12:52:00Z,41.93,58.25
2026-02-15T12:53:00Z,40.00,63.60
2026-02-15T12:54:00Z,37.03,74.84
2026-02-15T12:55:00Z,35.83,69.72
2026-02-15T12:56:00Z,33.63,67.58
2026-02-15T12:57:00Z,26.63,73.36
2026-02-15T12:58:00Z,18.68,82.42
2026-02-15T12:59:00Z,18.96,83.00
2026-02-15T13:00:00Z,18.18,83.10
2026-02-15T13:01:00Z,17.01,84.00
2026-02-15T13:02:00Z,15.00,84.83
2026-02-15T13:03:00Z,17.46,82.05
2026-02-15T13:04:00Z,27.01,74.62
2026-02-15T13:05:00Z,27.63,74.28
2026-02-15T13:06:00Z,21.67,81.00
2026-02-15T13:07:00Z,16.08,83.03
2026-02-15T13:08:00Z,16.99,85.00
2026-02-15T13:09:00Z,17.00,84.20
2026-02-15T13:10:00Z,16.84,84.17
2026-02-15T13:11:00Z,18.54,84.17
2026-02-15T13:12:00Z,18.18,83.30
2026-02-15T13:13:00Z,16.00,83.30
2026-02-15T13:14:00Z,18.45,83.05
2026-02-15T13:15:00Z,18.52,83.00
2026-02-15T13:16:00Z,18.67,83.00
2026-02-15T13:17:00Z,16.62,83.65
2026-02-15T13:18:00Z,16.66,83.65
2026-02-15T13:19:00Z,16.50,85.00
2026-02-15T13:20:00Z,18.39,85.11
2026-02-15T13:21:00Z,16.66,83.37
2026-02-15T13:22:00Z,15.00,86.24
2026-02-15T13:23:00Z,12.11,86.06
2026-02-15T13:24:00Z,12.14,86.26
2026-02-15T13:25:00Z,15.43,86.01
2026-02-15T13:26:00Z,15.81,84.91
2026-02-15T13:27:00Z,11.94,87.65
2026-02-15T13:28:00Z,12.15,90.25
2026-02-15T13:29:00Z,12.09,87.69
2026-02-15T13:30:00Z,12.29,88.85
2026-02-15T13:31:00Z,15.02,87.27
2026-02-15T13:32:00Z,17.78,84.00
2026-02-15T13:33:00Z,17.94,83.26
2026-02-15T13:34:00Z,17.00,84.48
2026-02-15T13:35:00Z,17.95,84.00
2026-02-15T13:36:00Z,18.82,81.24
2026-02-15T13:37:00Z,24.52,77.91
2026-02-15T13:38:00Z,20.34,80.89
2026-02-15T13:39:00Z,19.05,82.01
2026-02-15T13:40:00Z,20.70,81.72
2026-02-15T13:41:00Z,17.12,84.00
2026-02-15T13:42:00Z,18.59,83.01
2026-02-15T13:43:00Z,17.69,83.18
2026-02-15T13:44:00Z,19.97,81.29
2026-02-15T13:45:00Z,21.00,81.00
2026-02-15T13:46:00Z,20.24,81.59
2026-02-15T13:47:00Z,20.44,81.70
2026-02-15T13:48:00Z,25.93,76.77
2026-02-15T13:49:00Z,26.63,75.67
2026-02-15T13:50:00Z,25.95,76.24
2026-02-15T13:51:00Z,27.92,70.78
2026-02-15T13:52:00Z,25.61,77.00
2026-02-15T13:53:00Z,20.37,80.79
2026-02-15T13:54:00Z,20.36,81.01
2026-02-15T13:55:00Z,20.38,80.18
2026-02-15T13:56:00Z,20.92,80.69
2026-02-15T13:57:00Z,21.34,79.04
2026-02-15T13:58:00Z,22.48,79.19
2026-02-15T13:59:00Z,22.40,77.42
2026-02-15T14:00:00Z,21.69,79.96
2026-02-15T14:01:00Z,18.53,82.02
2026-02-15T14:02:00Z,16.90,83.13
2026-02-15T14:03:00Z,15.25,86.83
2026-02-15T14:04:00Z,16.03,82.66
2026-02-15T14:05:00Z,17.91,84.76
2026-02-15T14:06:00Z,18.88,81.53
2026-02-15T14:07:00Z,22.02,80.12
2026-02-15T14:08:00Z,20.37,79.94
2026-02-15T14:09:00Z,21.89,79.30
2026-02-15T14:10:00Z,19.22,82.00
2026-02-15T14:11:00Z,17.63,84.00
2026-02-15T14:12:00Z,17.80,85.25
2026-02-15T14:13:00Z,14.66,87.04
2026-02-15T14:14:00Z,11.81,88.84
2026-02-15T14:15:00Z,13.50,88.27
2026-02-15T14:16:00Z,9.67,92.46
