# event_ticker=KXATPCHALLENGERMATCH-26APR30DEJMAN
# final_score=6-3 3-6 6-1
# match_winner=Jesper de Jong
# fav_player=Jesper De Jong
# dog_player=Adrian Mannarino
# kalshi_date=2026-04-30
timestamp,Jesper De Jong,Adrian Mannarino
2026-04-29T22:25:00Z,79.00,
2026-04-29T23:05:00Z,80.00,
2026-04-29T23:40:00Z,80.00,
2026-04-30T00:54:00Z,80.00,
2026-04-30T01:48:00Z,80.00,
2026-04-30T01:51:00Z,80.00,
2026-04-30T02:04:00Z,80.00,21.52
2026-04-30T02:18:00Z,80.00,22.00
2026-04-30T02:40:00Z,80.00,22.00
2026-04-30T02:50:00Z,80.00,22.00
2026-04-30T03:08:00Z,80.00,20.00
2026-04-30T03:12:00Z,80.00,19.00
2026-04-30T03:18:00Z,80.00,19.00
2026-04-30T03:42:00Z,82.00,19.00
2026-04-30T04:00:00Z,82.00,19.00
2026-04-30T04:09:00Z,82.00,19.00
2026-04-30T04:27:00Z,82.00,19.00
2026-04-30T04:31:00Z,82.00,19.00
2026-04-30T04:38:00Z,83.00,19.00
2026-04-30T04:48:00Z,83.00,19.00
2026-04-30T04:57:00Z,83.00,19.00
2026-04-30T04:58:00Z,83.00,19.00
2026-04-30T05:06:00Z,83.00,19.00
2026-04-30T05:16:00Z,83.00,19.00
2026-04-30T05:23:00Z,81.00,19.00
2026-04-30T05:24:00Z,81.01,19.00
2026-04-30T05:25:00Z,81.01,18.00
2026-04-30T05:29:00Z,83.00,18.00
2026-04-30T05:39:00Z,83.00,20.00
2026-04-30T06:17:00Z,83.00,19.00
2026-04-30T06:20:00Z,83.00,19.00
2026-04-30T06:41:00Z,83.00,19.00
2026-04-30T09:06:00Z,82.00,19.00
2026-04-30T09:07:00Z,83.00,19.00
2026-04-30T09:12:00Z,83.00,19.00
2026-04-30T09:17:00Z,83.00,19.00
2026-04-30T09:19:00Z,83.00,19.00
2026-04-30T09:20:00Z,83.00,19.00
2026-04-30T09:22:00Z,83.00,19.00
2026-04-30T09:24:00Z,83.00,19.00
2026-04-30T09:28:00Z,83.00,19.00
2026-04-30T09:33:00Z,83.00,19.00
2026-04-30T09:41:00Z,83.00,19.00
2026-04-30T09:44:00Z,83.00,19.00
2026-04-30T09:48:00Z,83.00,19.00
2026-04-30T09:52:00Z,83.00,19.00
2026-04-30T09:57:00Z,83.00,19.00
2026-04-30T09:59:00Z,83.00,19.00
2026-04-30T10:03:00Z,83.00,19.00
2026-04-30T10:04:00Z,83.00,19.00
2026-04-30T10:07:00Z,83.00,19.00
2026-04-30T10:08:00Z,83.00,19.00
2026-04-30T10:09:00Z,83.00,19.00
2026-04-30T10:10:00Z,83.00,19.00
2026-04-30T10:11:00Z,81.00,21.05
2026-04-30T10:12:00Z,83.00,19.96
2026-04-30T10:13:00Z,84.09,16.51
2026-04-30T10:14:00Z,87.08,13.14
2026-04-30T10:15:00Z,91.00,9.60
2026-04-30T10:16:00Z,91.00,9.56
2026-04-30T10:17:00Z,91.00,9.00
2026-04-30T10:18:00Z,93.00,8.59
2026-04-30T10:20:00Z,93.00,7.00
2026-04-30T10:22:00Z,93.00,7.57
2026-04-30T10:23:00Z,93.00,8.00
2026-04-30T10:24:00Z,94.00,7.00
2026-04-30T10:25:00Z,95.00,6.01
2026-04-30T10:26:00Z,94.00,7.27
2026-04-30T10:27:00Z,94.00,7.72
2026-04-30T10:28:00Z,94.00,6.00
2026-04-30T10:29:00Z,94.00,7.91
2026-04-30T10:30:00Z,94.00,8.01
2026-04-30T10:31:00Z,94.00,8.42
2026-04-30T10:32:00Z,91.00,9.75
2026-04-30T10:33:00Z,91.00,11.19
2026-04-30T10:34:00Z,91.00,8.99
2026-04-30T10:35:00Z,93.00,8.00
2026-04-30T10:36:00Z,93.00,8.00
2026-04-30T10:37:00Z,93.00,7.00
2026-04-30T10:38:00Z,92.68,7.04
2026-04-30T10:39:00Z,92.68,6.74
2026-04-30T10:40:00Z,94.99,6.14
2026-04-30T10:41:00Z,94.00,8.44
2026-04-30T10:42:00Z,93.00,8.55
2026-04-30T10:43:00Z,93.00,8.01
2026-04-30T10:44:00Z,92.01,8.00
2026-04-30T10:45:00Z,92.01,8.33
2026-04-30T10:46:00Z,90.52,11.04
2026-04-30T10:47:00Z,94.00,8.63
2026-04-30T10:48:00Z,94.00,8.71
2026-04-30T10:49:00Z,93.99,8.00
2026-04-30T10:50:00Z,93.00,8.18
2026-04-30T10:51:00Z,92.00,8.79
2026-04-30T10:52:00Z,92.00,7.48
2026-04-30T10:53:00Z,94.00,6.33
2026-04-30T10:54:00Z,95.00,6.89
2026-04-30T10:55:00Z,94.35,7.00
2026-04-30T10:56:00Z,95.00,7.00
2026-04-30T10:57:00Z,95.00,6.99
2026-04-30T10:58:00Z,93.00,6.43
2026-04-30T10:59:00Z,92.78,8.03
2026-04-30T11:00:00Z,94.00,5.58
2026-04-30T11:01:00Z,95.00,6.00
2026-04-30T11:02:00Z,94.00,6.99
2026-04-30T11:03:00Z,94.00,7.00
2026-04-30T11:04:00Z,94.00,6.00
2026-04-30T11:05:00Z,95.68,4.85
2026-04-30T11:06:00Z,94.00,6.27
2026-04-30T11:07:00Z,93.94,7.00
2026-04-30T11:08:00Z,93.00,7.86
2026-04-30T11:09:00Z,93.00,8.00
2026-04-30T11:10:00Z,93.00,8.03
2026-04-30T11:11:00Z,92.56,8.87
2026-04-30T11:12:00Z,89.25,10.56
2026-04-30T11:13:00Z,90.00,10.18
2026-04-30T11:14:00Z,90.34,6.31
2026-04-30T11:15:00Z,90.34,12.70
2026-04-30T11:16:00Z,86.94,16.94
2026-04-30T11:17:00Z,85.96,14.74
2026-04-30T11:18:00Z,84.25,15.80
2026-04-30T11:19:00Z,81.01,18.90
2026-04-30T11:20:00Z,79.11,19.78
2026-04-30T11:21:00Z,79.00,20.74
2026-04-30T11:22:00Z,76.61,24.56
2026-04-30T11:23:00Z,74.00,26.53
2026-04-30T11:24:00Z,72.27,22.64
2026-04-30T11:25:00Z,78.00,22.93
