# event_ticker=KXATPCHALLENGERMATCH-26MAY25ZAHHUS
# final_score=6-2 5-7 6-4
# match_winner=Giles Hussey
# fav_player=Giles Hussey
# dog_player=Patrick Zahraj
# kalshi_date=2026-05-25
timestamp,Patrick Zahraj,Giles Hussey
2026-05-25T03:24:00Z,36.00,
2026-05-25T04:12:00Z,36.00,
2026-05-25T08:34:00Z,36.00,66.00
2026-05-25T10:24:00Z,36.00,66.00
2026-05-25T13:23:00Z,38.00,66.00
2026-05-25T14:01:00Z,38.00,66.00
2026-05-25T14:19:00Z,38.00,63.00
2026-05-25T14:24:00Z,38.00,63.00
2026-05-25T14:40:00Z,38.00,63.00
2026-05-25T14:44:00Z,38.00,62.00
2026-05-25T14:46:00Z,38.00,56.00
2026-05-25T14:47:00Z,38.00,63.22
2026-05-25T14:48:00Z,38.00,63.00
2026-05-25T14:50:00Z,36.00,63.97
2026-05-25T14:51:00Z,35.00,64.60
2026-05-25T14:52:00Z,35.00,64.56
2026-05-25T14:53:00Z,35.00,63.00
2026-05-25T14:55:00Z,35.00,64.00
2026-05-25T14:56:00Z,35.00,64.00
2026-05-25T14:57:00Z,37.00,64.00
2026-05-25T14:58:00Z,33.28,66.87
2026-05-25T15:00:00Z,35.64,63.00
2026-05-25T15:01:00Z,37.00,63.00
2026-05-25T15:02:00Z,38.00,62.00
2026-05-25T15:03:00Z,38.00,62.00
2026-05-25T15:04:00Z,38.00,66.00
2026-05-25T15:05:00Z,33.00,66.55
2026-05-25T15:06:00Z,27.24,72.11
2026-05-25T15:07:00Z,19.00,80.14
2026-05-25T15:08:00Z,20.86,81.00
2026-05-25T15:09:00Z,22.70,79.00
2026-05-25T15:10:00Z,25.00,74.00
2026-05-25T15:11:00Z,25.00,79.36
2026-05-25T15:13:00Z,25.00,84.00
2026-05-25T15:14:00Z,16.12,84.00
2026-05-25T15:15:00Z,16.12,85.07
2026-05-25T15:16:00Z,13.94,86.35
2026-05-25T15:17:00Z,12.11,86.99
2026-05-25T15:18:00Z,12.94,88.00
2026-05-25T15:19:00Z,13.00,88.00
2026-05-25T15:20:00Z,12.00,88.00
2026-05-25T15:21:00Z,12.00,88.00
2026-05-25T15:22:00Z,12.38,86.57
2026-05-25T15:23:00Z,14.00,86.03
2026-05-25T15:24:00Z,14.72,84.00
2026-05-25T15:25:00Z,15.00,85.01
2026-05-25T15:26:00Z,15.00,86.07
2026-05-25T15:27:00Z,13.00,88.25
2026-05-25T15:28:00Z,15.55,84.65
2026-05-25T15:29:00Z,13.00,86.91
2026-05-25T15:30:00Z,16.55,84.66
2026-05-25T15:31:00Z,14.49,86.02
2026-05-25T15:32:00Z,14.49,86.99
2026-05-25T15:33:00Z,14.83,85.29
2026-05-25T15:34:00Z,21.45,79.30
2026-05-25T15:35:00Z,24.00,77.66
2026-05-25T15:36:00Z,22.00,77.66
2026-05-25T15:37:00Z,15.00,80.58
2026-05-25T15:38:00Z,15.90,85.72
2026-05-25T15:39:00Z,16.00,84.00
2026-05-25T15:40:00Z,16.59,83.38
2026-05-25T15:41:00Z,18.00,84.16
2026-05-25T15:42:00Z,18.12,83.00
2026-05-25T15:43:00Z,19.00,80.01
2026-05-25T15:44:00Z,14.57,84.00
2026-05-25T15:45:00Z,15.99,85.06
2026-05-25T15:46:00Z,19.74,81.97
2026-05-25T15:47:00Z,19.74,82.05
2026-05-25T15:48:00Z,17.00,85.58
2026-05-25T15:49:00Z,13.65,87.00
2026-05-25T15:50:00Z,13.65,86.15
2026-05-25T15:51:00Z,15.90,85.03
2026-05-25T15:52:00Z,17.01,84.40
2026-05-25T15:53:00Z,20.29,79.77
2026-05-25T15:54:00Z,20.29,78.00
2026-05-25T15:55:00Z,18.00,81.97
2026-05-25T15:56:00Z,18.61,81.00
2026-05-25T15:57:00Z,23.59,76.26
2026-05-25T15:58:00Z,19.77,79.07
2026-05-25T15:59:00Z,19.00,80.05
2026-05-25T16:00:00Z,19.69,81.04
2026-05-25T16:01:00Z,19.40,77.94
2026-05-25T16:02:00Z,20.29,80.00
2026-05-25T16:03:00Z,19.00,81.07
2026-05-25T16:04:00Z,18.00,83.00
2026-05-25T16:05:00Z,17.74,83.88
2026-05-25T16:06:00Z,15.77,84.33
2026-05-25T16:07:00Z,17.77,83.98
2026-05-25T16:08:00Z,14.76,83.73
2026-05-25T16:09:00Z,13.37,85.23
2026-05-25T16:10:00Z,17.60,84.67
2026-05-25T16:11:00Z,19.00,81.24
2026-05-25T16:12:00Z,20.00,80.09
2026-05-25T16:13:00Z,24.52,76.52
2026-05-25T16:14:00Z,29.90,69.20
2026-05-25T16:15:00Z,35.97,65.00
2026-05-25T16:16:00Z,36.00,65.04
2026-05-25T16:17:00Z,34.00,68.96
2026-05-25T16:18:00Z,33.46,67.02
2026-05-25T16:19:00Z,33.24,66.02
2026-05-25T16:20:00Z,30.95,72.57
2026-05-25T16:21:00Z,31.63,71.19
2026-05-25T16:22:00Z,35.94,66.86
2026-05-25T16:23:00Z,36.83,66.16
2026-05-25T16:24:00Z,33.46,65.80
2026-05-25T16:25:00Z,37.41,62.42
2026-05-25T16:26:00Z,39.61,60.18
2026-05-25T16:27:00Z,41.55,59.48
2026-05-25T16:28:00Z,40.00,60.75
2026-05-25T16:29:00Z,39.00,62.81
2026-05-25T16:30:00Z,38.21,63.88
2026-05-25T16:31:00Z,29.55,70.36
