# event_ticker=KXATPCHALLENGERMATCH-26MAR03BOSMOL
# final_score=6-2 6-3
# match_winner=Pedro Boscardin Dias
# fav_player=Pedro Boscardin Dias
# dog_player=Elmer Moller
# kalshi_date=2026-03-03
timestamp,Pedro Boscardin Dias,Elmer Moller
2026-03-03T04:34:00Z,,68.00
2026-03-03T06:10:00Z,,68.00
2026-03-03T06:32:00Z,,68.44
2026-03-03T07:10:00Z,34.00,68.44
2026-03-03T07:27:00Z,34.00,69.00
2026-03-03T07:50:00Z,34.00,68.00
2026-03-03T10:07:00Z,34.00,68.00
2026-03-03T14:18:00Z,34.00,70.00
2026-03-03T14:39:00Z,34.00,70.00
2026-03-03T14:40:00Z,34.00,70.00
2026-03-03T14:42:00Z,34.00,72.00
2026-03-03T14:44:00Z,31.00,72.00
2026-03-03T14:49:00Z,31.00,72.00
2026-03-03T14:51:00Z,31.00,72.00
2026-03-03T14:52:00Z,31.00,72.00
2026-03-03T14:56:00Z,31.00,72.00
2026-03-03T15:09:00Z,31.00,73.00
2026-03-03T15:13:00Z,31.00,72.00
2026-03-03T15:15:00Z,31.00,72.00
2026-03-03T15:17:00Z,31.00,72.00
2026-03-03T15:20:00Z,30.00,72.00
2026-03-03T15:29:00Z,30.00,72.00
2026-03-03T15:45:00Z,30.00,72.00
2026-03-03T15:48:00Z,31.00,72.00
2026-03-03T15:53:00Z,31.00,72.00
2026-03-03T15:55:00Z,31.00,72.00
2026-03-03T15:56:00Z,31.00,72.17
2026-03-03T15:59:00Z,31.00,72.00
2026-03-03T16:02:00Z,31.00,72.00
2026-03-03T16:03:00Z,31.00,72.00
2026-03-03T16:04:00Z,31.00,71.00
2026-03-03T16:05:00Z,31.00,72.00
2026-03-03T16:06:00Z,31.00,72.00
2026-03-03T16:07:00Z,31.00,71.00
2026-03-03T16:08:00Z,31.00,71.00
2026-03-03T16:09:00Z,30.00,70.00
2026-03-03T16:10:00Z,30.00,70.00
2026-03-03T16:11:00Z,29.00,70.00
2026-03-03T16:12:00Z,29.00,70.00
2026-03-03T16:13:00Z,29.00,70.04
2026-03-03T16:14:00Z,30.44,72.52
2026-03-03T16:15:00Z,23.00,79.05
2026-03-03T16:16:00Z,20.14,80.12
2026-03-03T16:17:00Z,20.14,81.00
2026-03-03T16:18:00Z,22.52,77.41
2026-03-03T16:19:00Z,28.60,75.24
2026-03-03T16:20:00Z,29.66,75.12
2026-03-03T16:21:00Z,21.99,81.00
2026-03-03T16:22:00Z,21.10,77.59
2026-03-03T16:23:00Z,18.25,83.85
2026-03-03T16:24:00Z,18.07,82.09
2026-03-03T16:25:00Z,18.80,82.00
2026-03-03T16:26:00Z,18.04,81.99
