# event_ticker=KXATPCHALLENGERMATCH-26APR28SAFCRE
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Roman Safiullin
# fav_player=Cezar (2001) Cretu
# dog_player=Roman Safiullin
# kalshi_date=2026-04-28
timestamp,Roman Safiullin,Cezar (2001) Cretu
2026-04-27T23:29:00Z,77.00,
2026-04-28T00:17:00Z,77.00,
2026-04-28T03:17:00Z,77.00,
2026-04-28T06:04:00Z,77.00,
2026-04-28T06:06:00Z,77.00,23.00
2026-04-28T07:46:00Z,77.00,24.00
2026-04-28T08:56:00Z,77.00,24.00
2026-04-28T09:24:00Z,77.00,24.18
2026-04-28T09:27:00Z,78.97,24.18
2026-04-28T09:30:00Z,78.97,24.05
2026-04-28T09:31:00Z,78.97,25.37
2026-04-28T09:32:00Z,78.97,27.00
2026-04-28T09:33:00Z,78.97,22.00
2026-04-28T09:34:00Z,81.00,22.00
2026-04-28T09:36:00Z,81.00,22.00
2026-04-28T09:37:00Z,81.00,22.00
2026-04-28T09:38:00Z,81.00,20.39
2026-04-28T09:39:00Z,81.00,18.00
2026-04-28T09:40:00Z,85.00,16.44
2026-04-28T09:41:00Z,88.00,12.00
2026-04-28T09:44:00Z,89.99,12.00
2026-04-28T09:46:00Z,89.00,12.00
2026-04-28T09:47:00Z,90.00,12.00
2026-04-28T09:51:00Z,89.00,12.00
2026-04-28T09:53:00Z,90.00,12.00
2026-04-28T09:56:00Z,90.00,12.00
2026-04-28T09:57:00Z,88.00,12.00
2026-04-28T10:03:00Z,92.00,9.00
2026-04-28T10:04:00Z,91.00,9.00
2026-04-28T10:05:00Z,92.00,9.00
2026-04-28T10:06:00Z,93.00,9.00
2026-04-28T10:07:00Z,93.00,8.00
2026-04-28T10:08:00Z,92.00,8.00
2026-04-28T10:09:00Z,94.00,8.00
2026-04-28T10:10:00Z,94.00,8.00
2026-04-28T10:11:00Z,94.00,7.06
2026-04-28T10:12:00Z,93.00,8.00
2026-04-28T10:13:00Z,91.76,9.00
2026-04-28T10:14:00Z,88.00,12.00
2026-04-28T10:15:00Z,90.00,10.76
2026-04-28T10:16:00Z,90.00,7.00
2026-04-28T10:18:00Z,93.79,7.00
2026-04-28T10:20:00Z,95.87,4.30
2026-04-28T10:21:00Z,98.00,2.00
2026-04-28T10:23:00Z,98.00,2.29
2026-04-28T10:24:00Z,98.00,2.29
2026-04-28T10:26:00Z,96.71,3.00
2026-04-28T10:27:00Z,97.00,3.00
2026-04-28T10:28:00Z,97.00,5.60
2026-04-28T10:29:00Z,97.00,3.00
2026-04-28T10:30:00Z,97.84,3.00
2026-04-28T10:31:00Z,97.84,2.00
2026-04-28T10:32:00Z,98.00,2.00
2026-04-28T10:34:00Z,97.00,2.00
2026-04-28T10:35:00Z,94.96,5.89
2026-04-28T10:36:00Z,94.60,7.84
2026-04-28T10:37:00Z,92.17,7.05
2026-04-28T10:38:00Z,91.29,7.05
2026-04-28T10:39:00Z,93.00,7.05
2026-04-28T10:40:00Z,91.24,8.00
2026-04-28T10:41:00Z,95.90,4.38
2026-04-28T10:42:00Z,89.52,8.98
2026-04-28T10:43:00Z,87.11,12.15
2026-04-28T10:44:00Z,87.00,13.00
2026-04-28T10:45:00Z,87.19,12.93
2026-04-28T10:46:00Z,86.00,14.09
2026-04-28T10:47:00Z,86.92,13.00
2026-04-28T10:48:00Z,89.00,10.00
2026-04-28T10:49:00Z,91.39,9.00
2026-04-28T10:50:00Z,92.93,9.01
2026-04-28T10:51:00Z,94.73,5.02
2026-04-28T10:52:00Z,97.18,3.02
2026-04-28T10:53:00Z,98.96,1.05
2026-04-28T10:56:00Z,99.00,1.05
2026-04-28T11:01:00Z,99.00,1.05
