# event_ticker=KXATPCHALLENGERMATCH-26MAY27DHABER
# final_score=6-3 6-4
# match_winner=Remy Bertola
# fav_player=Remy Bertola
# dog_player=Manas Dhamne
# kalshi_date=2026-05-27
timestamp,Manas Dhamne,Remy Bertola
2026-05-27T02:16:00Z,40.00,
2026-05-27T03:44:00Z,40.00,61.00
2026-05-27T07:21:00Z,41.00,61.00
2026-05-27T08:25:00Z,41.00,61.00
2026-05-27T08:35:00Z,41.00,60.00
2026-05-27T08:38:00Z,41.00,60.00
2026-05-27T09:09:00Z,41.00,61.00
2026-05-27T12:52:00Z,41.00,61.00
2026-05-27T13:04:00Z,41.00,61.00
2026-05-27T13:12:00Z,41.00,61.00
2026-05-27T13:19:00Z,41.00,61.00
2026-05-27T13:35:00Z,41.00,62.00
2026-05-27T13:37:00Z,40.14,62.00
2026-05-27T13:41:00Z,40.14,61.43
2026-05-27T13:42:00Z,40.14,63.01
2026-05-27T13:43:00Z,36.00,65.12
2026-05-27T13:44:00Z,37.46,61.73
2026-05-27T13:45:00Z,39.00,62.00
2026-05-27T13:46:00Z,38.65,61.10
2026-05-27T13:47:00Z,37.78,64.00
2026-05-27T13:48:00Z,31.25,68.62
2026-05-27T13:49:00Z,28.05,74.39
2026-05-27T13:51:00Z,22.00,78.08
2026-05-27T13:53:00Z,21.03,78.70
2026-05-27T13:54:00Z,23.00,76.51
2026-05-27T13:55:00Z,23.00,78.24
2026-05-27T13:57:00Z,20.91,79.89
2026-05-27T13:58:00Z,19.50,79.19
2026-05-27T13:59:00Z,20.00,80.97
2026-05-27T14:00:00Z,18.16,80.29
2026-05-27T14:01:00Z,18.00,81.97
2026-05-27T14:02:00Z,15.35,85.07
2026-05-27T14:03:00Z,14.00,84.84
2026-05-27T14:04:00Z,14.70,87.00
2026-05-27T14:05:00Z,15.91,83.00
2026-05-27T14:06:00Z,15.91,83.00
2026-05-27T14:08:00Z,15.91,82.00
2026-05-27T14:09:00Z,18.77,81.63
2026-05-27T14:10:00Z,18.00,82.00
2026-05-27T14:11:00Z,18.00,82.00
2026-05-27T14:12:00Z,18.00,82.75
2026-05-27T14:13:00Z,17.00,83.00
2026-05-27T14:14:00Z,17.00,84.00
2026-05-27T14:17:00Z,17.00,83.92
2026-05-27T14:18:00Z,18.00,82.00
2026-05-27T14:19:00Z,21.49,76.47
2026-05-27T14:20:00Z,28.85,68.95
2026-05-27T14:21:00Z,24.36,75.25
2026-05-27T14:22:00Z,19.91,80.87
2026-05-27T14:23:00Z,19.00,80.25
2026-05-27T14:24:00Z,20.14,79.45
2026-05-27T14:25:00Z,17.47,82.75
2026-05-27T14:26:00Z,14.71,86.66
2026-05-27T14:27:00Z,8.01,90.51
2026-05-27T14:28:00Z,8.99,93.00
2026-05-27T14:29:00Z,8.16,92.72
2026-05-27T14:30:00Z,12.70,87.34
2026-05-27T14:31:00Z,12.50,88.56
2026-05-27T14:32:00Z,7.24,92.91
2026-05-27T14:33:00Z,5.81,94.04
2026-05-27T14:34:00Z,5.26,95.00
2026-05-27T14:35:00Z,6.00,94.00
2026-05-27T14:36:00Z,4.56,95.94
2026-05-27T14:37:00Z,6.00,93.97
2026-05-27T14:38:00Z,8.00,93.00
2026-05-27T14:39:00Z,8.00,93.00
2026-05-27T14:40:00Z,9.15,90.35
2026-05-27T14:41:00Z,7.97,92.81
2026-05-27T14:42:00Z,10.81,88.00
2026-05-27T14:43:00Z,11.04,89.69
2026-05-27T14:44:00Z,9.00,91.65
2026-05-27T14:45:00Z,9.19,92.32
2026-05-27T14:46:00Z,13.20,87.98
2026-05-27T14:47:00Z,7.09,92.68
2026-05-27T14:48:00Z,6.00,93.41
2026-05-27T14:49:00Z,8.00,93.00
2026-05-27T14:50:00Z,7.01,94.00
2026-05-27T14:51:00Z,8.00,92.99
2026-05-27T14:52:00Z,11.09,91.32
2026-05-27T14:53:00Z,13.07,87.54
2026-05-27T14:54:00Z,8.73,91.11
2026-05-27T14:55:00Z,11.97,86.19
2026-05-27T14:56:00Z,9.57,89.35
2026-05-27T14:57:00Z,13.28,86.49
2026-05-27T14:58:00Z,13.70,89.64
2026-05-27T14:59:00Z,11.34,90.74
2026-05-27T15:00:00Z,9.96,92.27
2026-05-27T15:01:00Z,3.87,95.00
2026-05-27T15:02:00Z,3.87,95.92
2026-05-27T15:03:00Z,5.00,94.00
2026-05-27T15:04:00Z,5.00,95.00
2026-05-27T15:05:00Z,6.00,95.00
2026-05-27T15:06:00Z,4.51,94.63
2026-05-27T15:07:00Z,7.50,92.76
2026-05-27T15:08:00Z,5.01,95.41
2026-05-27T15:09:00Z,1.10,98.95
2026-05-27T15:13:00Z,1.10,99.00
2026-05-27T15:14:00Z,1.10,99.00
2026-05-27T15:15:00Z,1.10,99.00
2026-05-27T15:16:00Z,1.10,99.00
