# event_ticker=KXATPMATCH-25JUL29BARMIC
# final_score=7-6(7) 6-3
# score_resolution=7-6 6-3
# match_winner=Alex Michelsen
# fav_player=Alex Michelsen
# dog_player=Marcelo Tomas Barrios Vera
# kalshi_date=2025-07-29
timestamp,Alex Michelsen,Marcelo Tomas Barrios Vera
2025-07-29T12:31:00Z,,21.00
2025-07-29T12:48:00Z,77.00,20.00
2025-07-29T13:01:00Z,78.00,20.00
2025-07-29T14:18:00Z,78.00,20.00
2025-07-29T14:26:00Z,78.00,20.00
2025-07-29T14:38:00Z,78.00,20.00
2025-07-29T14:50:00Z,78.00,20.00
2025-07-29T14:51:00Z,78.00,20.00
2025-07-29T14:53:00Z,78.00,20.00
2025-07-29T14:54:00Z,78.00,20.00
2025-07-29T15:11:00Z,78.00,20.00
2025-07-29T15:13:00Z,78.00,21.00
2025-07-29T15:43:00Z,78.00,21.00
2025-07-29T15:44:00Z,78.00,21.00
2025-07-29T15:46:00Z,78.00,21.00
2025-07-29T16:10:00Z,78.00,21.00
2025-07-29T16:12:00Z,78.00,22.00
2025-07-29T16:26:00Z,78.00,22.00
2025-07-29T16:27:00Z,78.00,22.00
2025-07-29T16:32:00Z,78.00,22.00
2025-07-29T16:37:00Z,78.00,21.31
2025-07-29T16:41:00Z,81.00,19.99
2025-07-29T16:42:00Z,81.00,19.00
2025-07-29T16:44:00Z,81.00,16.00
2025-07-29T16:48:00Z,81.00,20.00
2025-07-29T16:49:00Z,81.00,20.39
2025-07-29T16:51:00Z,81.00,18.00
2025-07-29T16:53:00Z,81.00,23.08
2025-07-29T16:54:00Z,75.00,23.08
2025-07-29T16:55:00Z,75.00,26.00
2025-07-29T16:56:00Z,82.24,26.00
2025-07-29T16:58:00Z,82.24,23.00
2025-07-29T16:59:00Z,79.50,23.00
2025-07-29T17:00:00Z,82.00,17.00
2025-07-29T17:02:00Z,82.00,18.00
2025-07-29T17:03:00Z,82.00,19.02
2025-07-29T17:04:00Z,82.00,19.02
2025-07-29T17:06:00Z,86.00,19.12
2025-07-29T17:07:00Z,86.00,30.00
2025-07-29T17:08:00Z,70.00,38.49
2025-07-29T17:09:00Z,70.00,46.00
2025-07-29T17:10:00Z,56.00,46.00
2025-07-29T17:11:00Z,56.00,43.00
2025-07-29T17:12:00Z,56.00,41.33
2025-07-29T17:13:00Z,51.00,47.68
2025-07-29T17:14:00Z,58.51,47.68
2025-07-29T17:17:00Z,75.04,47.68
2025-07-29T17:20:00Z,75.04,23.00
2025-07-29T17:21:00Z,75.04,24.00
2025-07-29T17:23:00Z,75.04,23.63
2025-07-29T17:26:00Z,85.00,23.63
2025-07-29T17:28:00Z,85.00,21.00
2025-07-29T17:29:00Z,85.00,20.00
2025-07-29T17:30:00Z,85.00,19.97
2025-07-29T17:31:00Z,85.00,20.99
2025-07-29T17:32:00Z,85.00,25.00
2025-07-29T17:33:00Z,85.00,25.00
2025-07-29T17:35:00Z,85.00,49.00
2025-07-29T17:36:00Z,85.00,51.50
2025-07-29T17:37:00Z,62.00,40.66
2025-07-29T17:38:00Z,62.00,49.36
2025-07-29T17:39:00Z,45.00,49.36
2025-07-29T17:40:00Z,45.00,45.76
2025-07-29T17:42:00Z,45.00,23.15
2025-07-29T17:43:00Z,87.68,32.22
2025-07-29T17:44:00Z,87.68,14.68
2025-07-29T17:46:00Z,87.68,15.00
2025-07-29T17:51:00Z,88.00,19.79
2025-07-29T17:53:00Z,88.00,29.35
2025-07-29T17:54:00Z,88.00,21.49
2025-07-29T17:55:00Z,88.00,21.49
2025-07-29T17:56:00Z,87.00,21.84
2025-07-29T17:57:00Z,87.00,17.88
2025-07-29T17:58:00Z,87.00,22.36
2025-07-29T18:02:00Z,87.00,27.00
2025-07-29T18:04:00Z,87.00,25.58
2025-07-29T18:05:00Z,86.00,19.92
2025-07-29T18:06:00Z,86.00,19.00
2025-07-29T18:07:00Z,86.00,15.92
2025-07-29T18:08:00Z,88.00,18.00
2025-07-29T18:09:00Z,89.00,11.88
2025-07-29T18:10:00Z,90.00,9.00
2025-07-29T18:11:00Z,90.00,7.33
2025-07-29T18:12:00Z,90.00,3.00
2025-07-29T18:13:00Z,90.01,8.00
2025-07-29T18:14:00Z,91.00,8.78
2025-07-29T18:15:00Z,88.00,10.19
2025-07-29T18:16:00Z,86.33,13.72
2025-07-29T18:17:00Z,86.33,19.64
2025-07-29T18:18:00Z,81.00,20.89
2025-07-29T18:19:00Z,81.00,18.60
2025-07-29T18:20:00Z,81.00,18.90
2025-07-29T18:21:00Z,86.40,12.00
2025-07-29T18:22:00Z,85.01,15.00
2025-07-29T18:23:00Z,85.01,13.07
2025-07-29T18:24:00Z,91.00,13.40
2025-07-29T18:25:00Z,91.00,14.00
2025-07-29T18:26:00Z,91.00,11.50
2025-07-29T18:27:00Z,89.71,11.04
2025-07-29T18:28:00Z,90.12,11.16
2025-07-29T18:29:00Z,90.12,6.00
2025-07-29T18:30:00Z,90.12,6.00
2025-07-29T18:31:00Z,90.12,8.00
2025-07-29T18:33:00Z,90.12,7.11
2025-07-29T18:34:00Z,99.00,1.00
2025-07-29T18:35:00Z,98.46,2.03
2025-07-29T18:36:00Z,99.00,1.00
2025-07-29T18:37:00Z,99.00,1.00
2025-07-29T18:40:00Z,99.00,1.00
