# event_ticker=KXATPMATCH-25JUL30MARAUG
# final_score=6-4 6-4
# match_winner=Fabian Marozsan
# fav_player=Fabian Marozsan
# dog_player=Felix Auger-Aliassime
# kalshi_date=2025-07-30
timestamp,Fabian Marozsan,Felix Auger-Aliassime
2025-07-30T14:06:00Z,,63.00
2025-07-30T15:39:00Z,39.00,63.00
2025-07-30T15:51:00Z,39.00,63.00
2025-07-30T16:01:00Z,39.00,63.00
2025-07-30T18:47:00Z,39.00,61.00
2025-07-30T19:06:00Z,39.00,61.00
2025-07-30T19:10:00Z,39.00,61.00
2025-07-30T19:14:00Z,39.00,61.00
2025-07-30T19:20:00Z,41.00,61.00
2025-07-30T19:35:00Z,41.00,61.00
2025-07-30T20:08:00Z,41.00,59.00
2025-07-30T20:09:00Z,41.00,61.00
2025-07-30T20:17:00Z,41.00,61.00
2025-07-30T20:48:00Z,41.00,61.00
2025-07-30T21:56:00Z,41.00,63.00
2025-07-30T22:08:00Z,39.00,63.00
2025-07-30T22:13:00Z,39.00,61.34
2025-07-30T22:17:00Z,39.00,63.00
2025-07-30T22:34:00Z,39.00,63.00
2025-07-30T22:45:00Z,39.00,63.00
2025-07-30T22:52:00Z,39.00,63.00
2025-07-30T22:57:00Z,39.00,63.00
2025-07-30T23:00:00Z,39.00,63.00
2025-07-30T23:02:00Z,39.00,67.00
2025-07-30T23:04:00Z,34.00,67.03
2025-07-30T23:05:00Z,34.00,67.03
2025-07-30T23:06:00Z,40.00,66.86
2025-07-30T23:07:00Z,40.00,63.00
2025-07-30T23:08:00Z,40.00,63.03
2025-07-30T23:10:00Z,40.00,61.00
2025-07-30T23:11:00Z,43.40,61.60
2025-07-30T23:12:00Z,53.02,57.24
2025-07-30T23:13:00Z,53.00,56.00
2025-07-30T23:14:00Z,43.22,56.00
2025-07-30T23:15:00Z,43.22,67.53
2025-07-30T23:16:00Z,36.03,67.16
2025-07-30T23:17:00Z,36.44,69.24
2025-07-30T23:18:00Z,38.00,67.86
2025-07-30T23:19:00Z,34.00,75.09
2025-07-30T23:20:00Z,34.00,79.00
2025-07-30T23:21:00Z,34.00,78.44
2025-07-30T23:22:00Z,34.00,78.00
2025-07-30T23:23:00Z,21.00,83.46
2025-07-30T23:24:00Z,15.00,85.38
2025-07-30T23:25:00Z,19.67,83.47
2025-07-30T23:27:00Z,18.00,83.47
2025-07-30T23:28:00Z,18.00,85.00
2025-07-30T23:29:00Z,18.00,80.01
2025-07-30T23:30:00Z,18.00,84.80
2025-07-30T23:32:00Z,17.00,84.80
2025-07-30T23:33:00Z,21.00,81.00
2025-07-30T23:34:00Z,21.00,79.69
2025-07-30T23:35:00Z,21.00,77.00
2025-07-30T23:36:00Z,25.63,82.00
2025-07-30T23:38:00Z,32.82,64.00
2025-07-30T23:39:00Z,32.82,66.50
2025-07-30T23:40:00Z,39.00,65.00
2025-07-30T23:41:00Z,39.00,65.19
2025-07-30T23:42:00Z,36.00,70.15
2025-07-30T23:43:00Z,40.00,68.00
2025-07-30T23:44:00Z,43.90,68.00
2025-07-30T23:45:00Z,26.53,56.00
2025-07-30T23:46:00Z,48.95,53.20
2025-07-30T23:48:00Z,55.00,51.00
2025-07-30T23:49:00Z,57.13,31.57
2025-07-30T23:50:00Z,61.00,31.57
2025-07-30T23:51:00Z,65.50,35.26
2025-07-30T23:52:00Z,72.58,36.37
2025-07-30T23:53:00Z,68.94,37.84
2025-07-30T23:54:00Z,68.10,36.48
2025-07-30T23:55:00Z,68.00,37.00
2025-07-30T23:56:00Z,68.00,37.00
2025-07-30T23:57:00Z,68.00,37.00
2025-07-30T23:58:00Z,67.00,36.88
2025-07-30T23:59:00Z,67.00,35.00
2025-07-31T00:00:00Z,67.00,35.40
2025-07-31T00:01:00Z,67.52,33.00
2025-07-31T00:02:00Z,65.91,46.00
2025-07-31T00:03:00Z,63.65,40.79
2025-07-31T00:04:00Z,44.37,47.68
2025-07-31T00:05:00Z,52.49,52.68
2025-07-31T00:06:00Z,52.49,42.00
2025-07-31T00:07:00Z,55.00,41.21
2025-07-31T00:08:00Z,55.33,41.21
2025-07-31T00:09:00Z,54.35,43.00
2025-07-31T00:10:00Z,56.04,44.11
2025-07-31T00:11:00Z,60.11,42.54
2025-07-31T00:12:00Z,68.00,34.00
2025-07-31T00:13:00Z,68.00,33.69
2025-07-31T00:14:00Z,66.96,38.00
2025-07-31T00:15:00Z,56.52,44.19
2025-07-31T00:16:00Z,59.75,40.77
2025-07-31T00:17:00Z,64.12,36.13
2025-07-31T00:18:00Z,66.94,36.90
2025-07-31T00:19:00Z,62.71,36.97
2025-07-31T00:20:00Z,69.93,32.01
2025-07-31T00:21:00Z,66.50,36.00
2025-07-31T00:22:00Z,66.50,36.00
2025-07-31T00:23:00Z,62.00,36.00
2025-07-31T00:24:00Z,61.44,40.24
2025-07-31T00:25:00Z,61.44,40.19
2025-07-31T00:26:00Z,61.00,42.07
2025-07-31T00:27:00Z,62.99,37.00
2025-07-31T00:28:00Z,62.99,36.50
2025-07-31T00:29:00Z,65.49,37.00
2025-07-31T00:30:00Z,64.51,39.00
2025-07-31T00:31:00Z,64.51,36.00
2025-07-31T00:32:00Z,63.15,36.00
2025-07-31T00:33:00Z,63.15,32.00
2025-07-31T00:34:00Z,71.23,29.01
2025-07-31T00:35:00Z,85.70,29.01
2025-07-31T00:36:00Z,87.96,10.00
2025-07-31T00:37:00Z,87.00,12.58
2025-07-31T00:38:00Z,92.00,7.37
2025-07-31T00:39:00Z,94.19,5.49
2025-07-31T00:40:00Z,94.74,5.49
2025-07-31T00:41:00Z,93.42,6.99
2025-07-31T00:42:00Z,95.00,8.00
2025-07-31T00:44:00Z,94.55,6.00
2025-07-31T00:45:00Z,95.00,4.14
2025-07-31T00:46:00Z,97.00,4.04
2025-07-31T00:47:00Z,91.15,8.06
2025-07-31T00:48:00Z,89.71,11.07
2025-07-31T00:49:00Z,89.23,13.87
2025-07-31T00:50:00Z,93.85,5.47
2025-07-31T00:51:00Z,99.00,5.47
2025-07-31T00:53:00Z,99.00,5.47
2025-07-31T00:55:00Z,99.00,5.47
