# event_ticker=KXATPCHALLENGERMATCH-26FEB23SQUPIR
# final_score=7-5 7-6(5)
# score_resolution=5-7 6-7
# match_winner=Zsombor Piros
# fav_player=Henri Squire
# dog_player=Zsombor Piros
# kalshi_date=2026-02-23
timestamp,Henri Squire,Zsombor Piros
2026-02-23T08:02:00Z,42.80,61.81
2026-02-23T08:28:00Z,44.00,52.00
2026-02-23T08:35:00Z,45.00,52.00
2026-02-23T09:47:00Z,45.00,53.00
2026-02-23T10:17:00Z,45.00,57.00
2026-02-23T10:26:00Z,45.00,57.00
2026-02-23T10:49:00Z,45.00,57.00
2026-02-23T11:25:00Z,45.00,57.00
2026-02-23T11:44:00Z,45.00,57.00
2026-02-23T11:51:00Z,46.00,57.00
2026-02-23T11:59:00Z,46.00,52.00
2026-02-23T12:18:00Z,50.00,52.00
2026-02-23T12:27:00Z,50.00,52.00
2026-02-23T12:34:00Z,50.00,53.00
2026-02-23T12:45:00Z,50.00,53.00
2026-02-23T12:59:00Z,50.00,53.00
2026-02-23T13:05:00Z,50.84,53.00
2026-02-23T13:12:00Z,50.84,52.00
2026-02-23T13:25:00Z,50.84,51.00
2026-02-23T13:37:00Z,53.00,51.00
2026-02-23T13:39:00Z,53.00,50.00
2026-02-23T13:59:00Z,53.00,50.00
2026-02-23T14:00:00Z,53.00,50.00
2026-02-23T14:01:00Z,53.00,50.00
2026-02-23T14:09:00Z,53.00,50.00
2026-02-23T14:18:00Z,53.00,50.00
2026-02-23T14:19:00Z,53.00,51.00
2026-02-23T14:22:00Z,53.00,51.00
2026-02-23T14:24:00Z,53.00,51.00
2026-02-23T14:26:00Z,53.00,51.00
2026-02-23T14:29:00Z,52.00,51.00
2026-02-23T14:36:00Z,52.00,51.00
2026-02-23T14:42:00Z,52.00,48.00
2026-02-23T14:43:00Z,52.00,51.00
2026-02-23T14:44:00Z,52.00,51.00
2026-02-23T14:45:00Z,52.00,51.00
2026-02-23T14:49:00Z,52.00,51.00
2026-02-23T14:55:00Z,52.00,51.00
2026-02-23T14:57:00Z,52.00,52.00
2026-02-23T15:00:00Z,52.00,53.00
2026-02-23T15:09:00Z,52.00,53.00
2026-02-23T15:21:00Z,52.00,53.00
2026-02-23T15:22:00Z,50.00,53.00
2026-02-23T15:23:00Z,50.00,53.00
2026-02-23T15:35:00Z,50.00,52.00
2026-02-23T15:37:00Z,50.00,52.00
2026-02-23T15:40:00Z,50.00,52.00
2026-02-23T15:45:00Z,50.00,52.21
2026-02-23T15:48:00Z,50.00,52.21
2026-02-23T15:49:00Z,50.00,53.00
2026-02-23T15:52:00Z,50.00,53.00
2026-02-23T15:55:00Z,50.00,53.00
2026-02-23T15:56:00Z,49.00,53.00
2026-02-23T15:57:00Z,49.00,53.00
2026-02-23T16:00:00Z,49.00,53.00
2026-02-23T16:01:00Z,49.00,53.00
2026-02-23T16:05:00Z,49.00,52.62
2026-02-23T16:07:00Z,49.00,53.00
2026-02-23T16:08:00Z,49.41,53.68
2026-02-23T16:09:00Z,50.00,53.68
2026-02-23T16:12:00Z,50.00,53.00
2026-02-23T16:13:00Z,50.00,53.00
2026-02-23T16:14:00Z,50.00,53.00
2026-02-23T16:15:00Z,50.00,53.00
2026-02-23T16:16:00Z,50.00,53.94
