# event_ticker=KXATPCHALLENGERMATCH-26APR14DELZEI
# final_score=6-4 6-4
# match_winner=Hugo Dellien
# fav_player=Hugo Dellien
# dog_player=Maximo Zeitune
# kalshi_date=2026-04-14
timestamp,Hugo Dellien,Maximo Zeitune
2026-04-14T09:51:00Z,,13.50
2026-04-14T14:54:00Z,,11.00
2026-04-14T16:14:00Z,92.00,11.00
2026-04-14T16:49:00Z,91.00,11.00
2026-04-14T17:31:00Z,91.00,11.00
2026-04-14T17:33:00Z,91.00,10.00
2026-04-14T17:35:00Z,91.00,7.00
2026-04-14T17:36:00Z,89.00,7.00
2026-04-14T18:20:00Z,92.00,7.00
2026-04-14T18:22:00Z,93.00,7.00
2026-04-14T18:57:00Z,92.00,7.00
2026-04-14T19:11:00Z,92.00,10.00
2026-04-14T19:27:00Z,92.00,10.00
2026-04-14T19:49:00Z,92.00,10.00
2026-04-14T20:02:00Z,92.00,10.00
2026-04-14T20:03:00Z,92.00,10.00
2026-04-14T20:04:00Z,92.00,11.00
2026-04-14T20:07:00Z,92.00,11.00
2026-04-14T20:10:00Z,92.00,11.00
2026-04-14T20:12:00Z,92.00,11.00
2026-04-14T20:20:00Z,91.00,11.00
2026-04-14T20:33:00Z,91.00,11.00
2026-04-14T20:44:00Z,91.00,11.00
2026-04-14T21:01:00Z,91.00,10.00
2026-04-14T21:02:00Z,91.00,10.00
2026-04-14T21:03:00Z,91.00,9.00
2026-04-14T21:05:00Z,91.00,10.00
2026-04-14T21:06:00Z,91.00,10.36
2026-04-14T21:07:00Z,91.00,10.00
2026-04-14T21:08:00Z,91.00,10.08
2026-04-14T21:09:00Z,91.00,10.14
2026-04-14T21:10:00Z,91.50,9.57
2026-04-14T21:11:00Z,93.99,7.00
2026-04-14T21:12:00Z,95.00,5.86
2026-04-14T21:13:00Z,94.13,6.84
2026-04-14T21:14:00Z,94.58,4.34
2026-04-14T21:15:00Z,92.50,5.42
2026-04-14T21:16:00Z,94.04,7.64
2026-04-14T21:17:00Z,92.43,7.87
2026-04-14T21:18:00Z,92.62,8.44
2026-04-14T21:19:00Z,87.85,12.77
2026-04-14T21:20:00Z,84.42,16.30
2026-04-14T21:21:00Z,84.22,16.85
2026-04-14T21:22:00Z,83.99,17.00
2026-04-14T21:23:00Z,82.62,17.22
2026-04-14T21:24:00Z,82.31,16.02
2026-04-14T21:25:00Z,85.72,15.67
2026-04-14T21:26:00Z,87.87,12.55
2026-04-14T21:27:00Z,90.44,9.79
2026-04-14T21:28:00Z,91.26,8.63
2026-04-14T21:29:00Z,90.23,10.95
2026-04-14T21:30:00Z,85.00,14.81
2026-04-14T21:31:00Z,87.33,13.77
2026-04-14T21:32:00Z,89.44,11.87
2026-04-14T21:33:00Z,88.87,12.11
2026-04-14T21:34:00Z,90.00,11.33
2026-04-14T21:35:00Z,84.34,15.59
2026-04-14T21:36:00Z,83.00,16.37
2026-04-14T21:37:00Z,83.00,16.88
2026-04-14T21:38:00Z,81.53,17.46
2026-04-14T21:39:00Z,81.35,21.15
2026-04-14T21:40:00Z,82.04,18.45
2026-04-14T21:41:00Z,82.00,19.64
2026-04-14T21:42:00Z,84.63,15.23
2026-04-14T21:43:00Z,89.46,14.01
2026-04-14T21:44:00Z,92.00,9.92
2026-04-14T21:45:00Z,91.07,9.24
2026-04-14T21:46:00Z,92.98,7.03
2026-04-14T21:47:00Z,94.00,8.00
2026-04-14T21:48:00Z,93.31,7.05
2026-04-14T21:49:00Z,94.00,7.48
2026-04-14T21:50:00Z,95.18,6.40
2026-04-14T21:51:00Z,95.95,5.91
2026-04-14T21:52:00Z,96.00,4.97
2026-04-14T21:53:00Z,95.82,4.99
2026-04-14T21:54:00Z,96.00,5.57
2026-04-14T21:55:00Z,95.55,5.96
2026-04-14T21:56:00Z,94.97,6.81
2026-04-14T21:57:00Z,94.00,5.73
2026-04-14T21:58:00Z,93.00,7.89
2026-04-14T21:59:00Z,91.00,9.25
2026-04-14T22:00:00Z,88.39,12.26
2026-04-14T22:01:00Z,91.95,8.39
2026-04-14T22:02:00Z,93.94,6.98
2026-04-14T22:03:00Z,95.97,4.55
2026-04-14T22:04:00Z,95.96,4.38
2026-04-14T22:05:00Z,95.42,5.00
2026-04-14T22:06:00Z,94.54,5.86
2026-04-14T22:07:00Z,94.00,6.00
2026-04-14T22:08:00Z,95.90,6.00
2026-04-14T22:09:00Z,95.00,4.97
2026-04-14T22:10:00Z,94.93,6.25
2026-04-14T22:11:00Z,95.00,5.35
2026-04-14T22:12:00Z,95.00,5.99
2026-04-14T22:13:00Z,94.74,6.17
2026-04-14T22:14:00Z,94.00,6.55
2026-04-14T22:15:00Z,94.00,5.40
2026-04-14T22:16:00Z,96.45,4.99
2026-04-14T22:17:00Z,94.00,6.76
2026-04-14T22:18:00Z,95.00,6.18
2026-04-14T22:19:00Z,94.00,7.33
2026-04-14T22:20:00Z,92.00,8.50
2026-04-14T22:21:00Z,92.00,9.00
2026-04-14T22:22:00Z,91.00,8.98
2026-04-14T22:23:00Z,89.19,9.23
2026-04-14T22:24:00Z,89.00,11.37
2026-04-14T22:25:00Z,86.00,14.12
2026-04-14T22:26:00Z,87.94,12.93
2026-04-14T22:27:00Z,89.99,10.58
2026-04-14T22:28:00Z,89.99,10.00
2026-04-14T22:29:00Z,89.08,10.21
2026-04-14T22:30:00Z,90.40,9.68
2026-04-14T22:31:00Z,90.00,8.24
