# event_ticker=KXATPCHALLENGERMATCH-26MAY12AMBOLI
# final_score=6-4 6-2
# match_winner=Luciano Emanuel Ambrogi
# fav_player=Luciano Emanuel Ambrogi
# dog_player=Renzo Olivo
# kalshi_date=2026-05-12
timestamp,Luciano Emanuel Ambrogi,Renzo Olivo
2026-05-12T03:49:00Z,,18.00
2026-05-12T05:32:00Z,,18.00
2026-05-12T06:08:00Z,,18.00
2026-05-12T08:41:00Z,82.00,18.00
2026-05-12T10:28:00Z,80.00,18.00
2026-05-12T10:54:00Z,82.00,18.00
2026-05-12T11:59:00Z,82.00,19.00
2026-05-12T12:18:00Z,82.00,19.00
2026-05-12T12:30:00Z,82.00,19.00
2026-05-12T13:13:00Z,79.24,19.00
2026-05-12T13:14:00Z,81.00,19.00
2026-05-12T13:15:00Z,81.00,20.00
2026-05-12T13:16:00Z,80.00,20.00
2026-05-12T13:18:00Z,80.00,21.00
2026-05-12T13:19:00Z,76.06,23.00
2026-05-12T13:20:00Z,72.77,27.99
2026-05-12T13:24:00Z,66.15,31.70
2026-05-12T13:26:00Z,64.97,31.70
2026-05-12T13:27:00Z,64.97,38.00
2026-05-12T13:28:00Z,66.60,38.00
2026-05-12T13:29:00Z,76.00,38.00
2026-05-12T13:30:00Z,76.00,35.26
2026-05-12T13:32:00Z,63.00,37.00
2026-05-12T13:33:00Z,63.00,37.05
2026-05-12T13:34:00Z,63.00,37.05
2026-05-12T13:35:00Z,64.00,37.05
2026-05-12T13:36:00Z,66.00,37.05
2026-05-12T13:37:00Z,68.20,30.45
2026-05-12T13:38:00Z,68.99,31.00
2026-05-12T13:39:00Z,68.07,32.00
2026-05-12T13:40:00Z,68.00,29.61
2026-05-12T13:41:00Z,74.90,29.61
2026-05-12T13:42:00Z,77.00,29.61
2026-05-12T13:43:00Z,78.07,22.40
2026-05-12T13:44:00Z,76.00,25.00
2026-05-12T13:45:00Z,76.00,23.68
2026-05-12T13:46:00Z,69.00,31.19
2026-05-12T13:47:00Z,74.36,26.00
2026-05-12T13:49:00Z,82.63,21.00
2026-05-12T13:50:00Z,81.52,17.25
2026-05-12T13:51:00Z,83.62,17.00
2026-05-12T13:52:00Z,87.12,12.91
2026-05-12T13:54:00Z,90.25,12.91
2026-05-12T13:55:00Z,92.00,8.00
2026-05-12T13:56:00Z,92.09,8.00
2026-05-12T13:57:00Z,91.25,9.00
2026-05-12T13:58:00Z,91.00,9.00
2026-05-12T13:59:00Z,89.66,10.86
2026-05-12T14:00:00Z,89.00,11.00
2026-05-12T14:01:00Z,87.00,13.14
2026-05-12T14:02:00Z,87.82,12.00
2026-05-12T14:03:00Z,89.92,9.00
2026-05-12T14:04:00Z,89.92,8.83
2026-05-12T14:05:00Z,92.00,8.83
2026-05-12T14:06:00Z,92.00,9.00
2026-05-12T14:07:00Z,92.00,9.00
2026-05-12T14:08:00Z,92.00,9.00
2026-05-12T14:09:00Z,93.02,7.77
2026-05-12T14:10:00Z,95.56,4.47
2026-05-12T14:11:00Z,95.56,3.00
2026-05-12T14:12:00Z,96.00,4.00
2026-05-12T14:13:00Z,96.00,4.00
2026-05-12T14:14:00Z,97.00,3.00
2026-05-12T14:16:00Z,98.00,2.00
2026-05-12T14:17:00Z,98.00,2.96
2026-05-12T14:18:00Z,98.00,3.00
2026-05-12T14:19:00Z,99.00,3.00
2026-05-12T14:20:00Z,98.18,2.37
2026-05-12T14:21:00Z,98.18,2.45
2026-05-12T14:22:00Z,99.00,2.45
2026-05-12T14:23:00Z,99.00,1.00
2026-05-12T14:24:00Z,99.00,1.00
2026-05-12T14:28:00Z,99.00,1.00
2026-05-12T14:30:00Z,99.00,1.00
2026-05-12T14:31:00Z,99.00,1.00
2026-05-12T14:32:00Z,99.00,1.00
2026-05-12T14:33:00Z,99.00,1.00
2026-05-12T14:35:00Z,99.00,1.00
2026-05-12T14:37:00Z,99.00,1.00
2026-05-12T14:38:00Z,99.00,1.00
2026-05-12T14:39:00Z,99.00,1.00
2026-05-12T14:41:00Z,99.00,1.00
