# event_ticker=KXATPMATCH-26APR22FARHUR
# final_score=6-3 6-3
# match_winner=Hubert Hurkacz
# fav_player=Hubert Hurkacz
# dog_player=Jaime Faria
# kalshi_date=2026-04-22
timestamp,Jaime Faria,Hubert Hurkacz
2026-04-22T03:29:00Z,,73.00
2026-04-22T03:39:00Z,,73.00
2026-04-22T03:40:00Z,,73.00
2026-04-22T03:41:00Z,,73.00
2026-04-22T03:56:00Z,32.00,73.00
2026-04-22T04:01:00Z,32.00,71.00
2026-04-22T04:19:00Z,31.00,71.00
2026-04-22T04:38:00Z,31.00,73.00
2026-04-22T04:39:00Z,31.00,73.00
2026-04-22T04:40:00Z,31.00,73.00
2026-04-22T04:42:00Z,31.00,73.42
2026-04-22T04:45:00Z,29.00,73.00
2026-04-22T04:46:00Z,29.00,75.00
2026-04-22T04:49:00Z,29.00,75.00
2026-04-22T04:50:00Z,29.00,75.46
2026-04-22T04:52:00Z,29.00,75.00
2026-04-22T04:56:00Z,29.00,75.58
2026-04-22T05:17:00Z,27.00,75.00
2026-04-22T05:25:00Z,30.00,73.00
2026-04-22T05:28:00Z,31.00,73.00
2026-04-22T05:29:00Z,31.00,73.00
2026-04-22T05:32:00Z,31.00,71.00
2026-04-22T05:36:00Z,31.00,71.00
2026-04-22T05:37:00Z,31.58,71.00
2026-04-22T05:42:00Z,30.00,71.00
2026-04-22T05:43:00Z,31.00,71.00
2026-04-22T05:48:00Z,31.00,70.00
2026-04-22T05:53:00Z,31.00,70.00
2026-04-22T05:54:00Z,31.00,70.00
2026-04-22T05:55:00Z,31.00,71.00
2026-04-22T06:00:00Z,30.00,71.00
2026-04-22T06:01:00Z,30.00,71.00
2026-04-22T06:03:00Z,30.00,71.00
2026-04-22T06:05:00Z,33.86,71.00
2026-04-22T06:11:00Z,33.86,71.00
2026-04-22T06:16:00Z,33.86,71.00
2026-04-22T06:41:00Z,31.00,71.00
2026-04-22T06:44:00Z,31.00,71.00
2026-04-22T06:47:00Z,31.00,73.58
2026-04-22T07:28:00Z,31.00,74.00
2026-04-22T07:30:00Z,31.00,74.00
2026-04-22T07:35:00Z,31.99,74.00
2026-04-22T07:54:00Z,31.99,74.00
2026-04-22T08:11:00Z,31.99,74.00
2026-04-22T08:13:00Z,31.99,74.00
