# event_ticker=KXATPCHALLENGERMATCH-26MAY12SCHAGA
# final_score=6-7(2) 6-3 6-1
# score_resolution=7-6 3-6 1-6
# match_winner=Joel Schwaerzler
# fav_player=Franco Agamenone
# dog_player=Joel Schwaerzler
# kalshi_date=2026-05-12
timestamp,Joel Schwaerzler,Franco Agamenone
2026-05-12T04:28:00Z,67.00,
2026-05-12T05:29:00Z,67.00,
2026-05-12T05:42:00Z,67.00,
2026-05-12T08:01:00Z,67.00,
2026-05-12T11:13:00Z,69.00,
2026-05-12T11:14:00Z,69.00,34.00
2026-05-12T11:15:00Z,69.00,34.00
2026-05-12T11:16:00Z,69.00,34.00
2026-05-12T11:18:00Z,69.00,38.00
2026-05-12T11:22:00Z,69.00,33.00
2026-05-12T11:23:00Z,68.78,33.00
2026-05-12T11:24:00Z,68.78,37.00
2026-05-12T11:25:00Z,68.78,37.00
2026-05-12T11:26:00Z,66.00,37.00
2026-05-12T11:28:00Z,63.00,37.00
2026-05-12T11:29:00Z,67.06,37.00
2026-05-12T11:30:00Z,67.00,34.00
2026-05-12T11:31:00Z,68.00,34.00
2026-05-12T11:32:00Z,65.00,37.00
2026-05-12T11:33:00Z,70.00,31.00
2026-05-12T11:34:00Z,67.65,31.00
2026-05-12T11:35:00Z,63.00,37.00
2026-05-12T11:37:00Z,59.78,37.00
2026-05-12T11:38:00Z,54.22,45.09
2026-05-12T11:39:00Z,54.22,45.00
2026-05-12T11:40:00Z,57.32,43.03
2026-05-12T11:41:00Z,48.57,50.52
2026-05-12T11:42:00Z,48.00,50.52
2026-05-12T11:43:00Z,44.16,55.90
2026-05-12T11:44:00Z,44.16,60.45
2026-05-12T11:45:00Z,42.00,61.00
2026-05-12T11:46:00Z,43.62,60.00
2026-05-12T11:47:00Z,45.38,60.00
2026-05-12T11:48:00Z,45.38,57.00
2026-05-12T11:49:00Z,45.00,57.00
2026-05-12T11:50:00Z,49.95,55.00
2026-05-12T11:51:00Z,45.75,56.00
2026-05-12T11:52:00Z,44.97,56.00
2026-05-12T11:53:00Z,46.00,56.00
2026-05-12T11:54:00Z,47.91,56.85
2026-05-12T11:55:00Z,41.00,56.85
2026-05-12T11:56:00Z,40.46,56.85
2026-05-12T11:57:00Z,40.02,56.85
2026-05-12T11:58:00Z,41.00,61.00
2026-05-12T11:59:00Z,41.00,60.05
2026-05-12T12:00:00Z,41.96,60.05
2026-05-12T12:01:00Z,46.00,60.05
2026-05-12T12:02:00Z,56.74,60.05
2026-05-12T12:03:00Z,57.47,46.77
2026-05-12T12:04:00Z,45.21,55.07
2026-05-12T12:05:00Z,57.36,42.91
2026-05-12T12:06:00Z,58.73,40.85
2026-05-12T12:07:00Z,52.16,48.57
2026-05-12T12:08:00Z,56.85,48.57
2026-05-12T12:09:00Z,56.85,49.00
2026-05-12T12:10:00Z,55.14,45.99
2026-05-12T12:11:00Z,58.92,47.06
2026-05-12T12:12:00Z,64.00,34.00
2026-05-12T12:13:00Z,66.00,33.00
2026-05-12T12:14:00Z,66.00,34.04
2026-05-12T12:15:00Z,57.65,40.87
2026-05-12T12:16:00Z,61.22,40.00
