# event_ticker=KXATPMATCH-25SEP25VUKALT
# final_score=6-4 6-2
# match_winner=Aleksandar Vukic
# fav_player=Aleksandar Vukic
# dog_player=Daniel Altmaier
# kalshi_date=2025-09-25
timestamp,Aleksandar Vukic,Daniel Altmaier
2025-09-25T16:45:00Z,,51.00
2025-09-25T16:50:00Z,,51.00
2025-09-25T17:00:00Z,,51.00
2025-09-25T17:37:00Z,51.00,50.00
2025-09-25T17:45:00Z,51.00,50.00
2025-09-25T17:50:00Z,51.00,50.44
2025-09-25T18:53:00Z,51.00,51.00
2025-09-25T18:57:00Z,51.00,51.00
2025-09-25T19:22:00Z,50.00,51.00
2025-09-25T19:35:00Z,50.00,51.00
2025-09-25T19:45:00Z,50.00,51.00
2025-09-25T19:50:00Z,50.00,51.00
2025-09-25T19:51:00Z,50.00,51.00
2025-09-25T20:22:00Z,50.00,51.00
2025-09-25T20:34:00Z,50.00,51.00
2025-09-25T20:39:00Z,50.00,51.00
2025-09-25T20:45:00Z,50.00,51.38
2025-09-25T20:55:00Z,50.00,52.00
2025-09-25T21:37:00Z,50.00,52.00
2025-09-25T22:01:00Z,50.00,52.00
2025-09-25T22:08:00Z,49.00,52.00
2025-09-25T22:14:00Z,49.00,52.00
2025-09-25T22:16:00Z,49.00,52.00
2025-09-25T22:34:00Z,49.00,52.00
2025-09-25T22:48:00Z,49.00,52.00
2025-09-25T22:53:00Z,49.00,52.00
2025-09-25T23:01:00Z,49.00,52.00
2025-09-25T23:07:00Z,49.00,52.00
2025-09-25T23:15:00Z,49.00,52.00
2025-09-25T23:16:00Z,49.00,52.00
2025-09-25T23:23:00Z,49.00,52.00
2025-09-25T23:53:00Z,49.00,52.00
2025-09-26T00:01:00Z,49.00,52.00
2025-09-26T00:04:00Z,48.00,52.00
2025-09-26T00:09:00Z,48.00,52.00
2025-09-26T00:25:00Z,49.00,52.00
2025-09-26T00:31:00Z,48.00,52.00
2025-09-26T00:37:00Z,48.00,53.00
2025-09-26T00:44:00Z,48.00,53.00
2025-09-26T00:48:00Z,48.00,53.00
2025-09-26T00:49:00Z,48.00,53.00
2025-09-26T00:50:00Z,48.00,53.00
2025-09-26T00:56:00Z,48.00,53.00
2025-09-26T00:59:00Z,48.00,53.00
2025-09-26T01:00:00Z,48.00,53.00
2025-09-26T01:04:00Z,48.00,53.00
2025-09-26T01:07:00Z,48.00,53.00
2025-09-26T01:08:00Z,48.00,53.00
2025-09-26T01:09:00Z,48.00,53.00
2025-09-26T01:14:00Z,48.00,53.00
2025-09-26T01:20:00Z,48.00,53.00
2025-09-26T01:23:00Z,48.00,53.00
2025-09-26T01:27:00Z,48.00,53.00
2025-09-26T01:28:00Z,48.00,53.00
2025-09-26T01:31:00Z,48.00,53.00
2025-09-26T01:33:00Z,48.00,53.00
2025-09-26T01:40:00Z,48.00,53.00
2025-09-26T01:44:00Z,48.00,53.00
2025-09-26T01:45:00Z,48.00,53.52
2025-09-26T01:46:00Z,48.00,53.00
2025-09-26T01:47:00Z,48.00,53.38
2025-09-26T01:48:00Z,48.00,54.00
2025-09-26T01:49:00Z,48.00,54.00
2025-09-26T01:50:00Z,48.00,53.00
2025-09-26T01:52:00Z,48.00,53.00
2025-09-26T01:54:00Z,48.00,52.00
2025-09-26T01:55:00Z,49.00,52.47
2025-09-26T01:56:00Z,49.00,52.47
2025-09-26T01:57:00Z,48.17,51.00
2025-09-26T01:58:00Z,49.00,52.00
2025-09-26T02:00:00Z,48.00,52.02
2025-09-26T02:01:00Z,50.59,52.02
2025-09-26T02:02:00Z,50.59,52.00
2025-09-26T02:03:00Z,49.00,58.75
2025-09-26T02:04:00Z,49.00,54.00
2025-09-26T02:05:00Z,50.00,51.00
2025-09-26T02:06:00Z,50.00,54.00
2025-09-26T02:07:00Z,50.00,54.00
2025-09-26T02:08:00Z,50.00,54.00
2025-09-26T02:10:00Z,49.09,54.00
2025-09-26T02:11:00Z,50.00,54.00
