# event_ticker=KXATPCHALLENGERMATCH-26APR08SUNSEK
# final_score=7-6(2) 6-3
# score_resolution=7-6 6-3
# match_winner=Fajing Sun
# fav_player=Fajing Sun
# dog_player=Philip Sekulic
# kalshi_date=2026-04-08
timestamp,Fajing Sun,Philip Sekulic
2026-04-07T20:50:00Z,,57.00
2026-04-07T23:28:00Z,47.00,57.00
2026-04-07T23:37:00Z,47.00,55.00
2026-04-07T23:41:00Z,47.00,55.00
2026-04-08T00:26:00Z,47.00,55.00
2026-04-08T02:04:00Z,47.00,54.00
2026-04-08T02:37:00Z,47.00,54.00
2026-04-08T02:42:00Z,47.00,54.00
2026-04-08T02:56:00Z,47.00,54.00
2026-04-08T03:00:00Z,47.00,54.00
2026-04-08T03:17:00Z,47.00,54.00
2026-04-08T03:21:00Z,47.00,54.00
2026-04-08T03:23:00Z,47.00,54.00
2026-04-08T03:29:00Z,47.00,54.00
2026-04-08T03:30:00Z,47.00,54.11
2026-04-08T03:38:00Z,47.00,54.11
2026-04-08T03:39:00Z,47.00,54.00
2026-04-08T03:45:00Z,47.00,54.00
2026-04-08T03:46:00Z,47.00,54.00
2026-04-08T04:16:00Z,47.00,54.00
2026-04-08T04:19:00Z,47.00,54.00
2026-04-08T04:25:00Z,47.00,54.00
2026-04-08T04:36:00Z,47.00,54.00
2026-04-08T04:38:00Z,47.40,54.00
2026-04-08T04:39:00Z,47.40,55.00
2026-04-08T04:41:00Z,48.00,55.00
2026-04-08T04:44:00Z,47.83,55.00
2026-04-08T04:47:00Z,48.00,54.00
2026-04-08T04:49:00Z,48.00,53.12
2026-04-08T04:51:00Z,48.00,53.00
2026-04-08T04:52:00Z,48.00,53.00
2026-04-08T04:54:00Z,48.00,53.00
2026-04-08T04:55:00Z,48.00,53.93
2026-04-08T04:56:00Z,48.00,54.00
2026-04-08T04:57:00Z,47.65,52.86
2026-04-08T05:00:00Z,48.00,54.00
2026-04-08T05:01:00Z,48.00,54.00
2026-04-08T05:02:00Z,48.00,54.00
2026-04-08T05:03:00Z,46.00,54.00
