# event_ticker=KXATPCHALLENGERMATCH-26MAY04SINKLE
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Karan Singh
# fav_player=Matt Kleiman
# dog_player=Karan (IND) Singh
# kalshi_date=2026-05-04
timestamp,Karan (IND) Singh,Matt Kleiman
2026-05-04T17:44:00Z,91.99,9.14
2026-05-04T17:45:00Z,91.76,8.56
2026-05-04T17:46:00Z,92.00,8.42
2026-05-04T17:47:00Z,92.00,8.09
2026-05-04T17:48:00Z,93.00,7.14
2026-05-04T17:49:00Z,95.00,6.00
2026-05-04T17:50:00Z,95.00,6.00
2026-05-04T17:51:00Z,94.11,6.00
2026-05-04T17:52:00Z,94.18,6.00
2026-05-04T17:53:00Z,94.27,6.37
2026-05-04T17:54:00Z,94.00,5.96
2026-05-04T17:55:00Z,96.00,5.92
2026-05-04T17:56:00Z,96.00,6.00
2026-05-04T17:57:00Z,96.00,5.80
2026-05-04T17:58:00Z,94.08,5.94
2026-05-04T17:59:00Z,94.22,5.98
2026-05-04T18:00:00Z,94.22,5.99
2026-05-04T18:01:00Z,95.00,5.97
2026-05-04T18:02:00Z,95.00,6.00
2026-05-04T18:03:00Z,93.00,6.99
2026-05-04T18:04:00Z,93.00,7.77
2026-05-04T18:05:00Z,91.20,8.99
2026-05-04T18:06:00Z,86.25,7.54
2026-05-04T18:07:00Z,92.13,8.42
2026-05-04T18:08:00Z,92.80,8.14
2026-05-04T18:09:00Z,91.60,9.66
2026-05-04T18:10:00Z,91.89,10.04
2026-05-04T18:11:00Z,93.18,8.15
2026-05-04T18:12:00Z,93.86,7.68
2026-05-04T18:13:00Z,93.87,7.04
2026-05-04T18:14:00Z,93.00,7.77
2026-05-04T18:15:00Z,93.00,8.02
2026-05-04T18:16:00Z,93.02,8.31
2026-05-04T18:17:00Z,94.20,7.80
2026-05-04T18:18:00Z,93.95,7.91
2026-05-04T18:19:00Z,91.48,8.79
2026-05-04T18:20:00Z,92.00,9.00
2026-05-04T18:21:00Z,93.00,8.02
2026-05-04T18:22:00Z,91.19,11.80
2026-05-04T18:23:00Z,91.86,13.57
2026-05-04T18:24:00Z,93.00,8.25
2026-05-04T18:25:00Z,93.37,6.95
2026-05-04T18:26:00Z,95.10,4.63
2026-05-04T18:27:00Z,95.99,3.84
2026-05-04T18:28:00Z,95.99,4.36
2026-05-04T18:29:00Z,98.00,2.97
2026-05-04T18:30:00Z,97.79,2.61
2026-05-04T18:31:00Z,98.00,2.96
2026-05-04T18:32:00Z,98.00,3.15
2026-05-04T18:33:00Z,98.33,2.44
2026-05-04T18:34:00Z,98.68,1.94
2026-05-04T18:35:00Z,98.52,2.41
2026-05-04T18:36:00Z,99.00,2.88
2026-05-04T18:37:00Z,97.85,3.19
2026-05-04T18:38:00Z,98.88,3.00
2026-05-04T18:39:00Z,97.55,2.37
2026-05-04T18:40:00Z,99.00,2.00
2026-05-04T18:41:00Z,98.49,2.96
2026-05-04T18:42:00Z,98.92,1.00
2026-05-04T18:43:00Z,99.00,1.00
2026-05-04T18:44:00Z,99.00,1.00
2026-05-04T18:45:00Z,99.00,1.00
2026-05-04T18:46:00Z,99.00,1.00
2026-05-04T18:47:00Z,99.00,1.00
2026-05-04T18:48:00Z,99.00,1.00
2026-05-04T18:49:00Z,99.00,1.00
2026-05-04T18:50:00Z,99.00,1.00
2026-05-04T18:53:00Z,99.00,1.00
2026-05-04T18:54:00Z,99.00,1.00
2026-05-04T18:55:00Z,99.00,1.00
2026-05-04T18:56:00Z,99.00,1.00
2026-05-04T18:58:00Z,99.00,1.00
2026-05-04T18:59:00Z,99.00,1.00
2026-05-04T19:02:00Z,99.00,1.00
