# event_ticker=KXATPMATCH-25OCT15COLCOM
# final_score=7-5 3-6 7-6(10)
# score_resolution=5-7 6-3 6-7
# match_winner=Raphael Collignon
# fav_player=Francisco Comesana
# dog_player=Raphael Collignon
# kalshi_date=2025-10-15
timestamp,Francisco Comesana,Raphael Collignon
2025-10-15T06:12:00Z,37.33,59.50
2025-10-15T06:55:00Z,34.00,59.50
2025-10-15T07:28:00Z,34.00,59.50
2025-10-15T07:47:00Z,38.25,62.46
2025-10-15T07:49:00Z,38.25,63.00
2025-10-15T07:50:00Z,38.25,64.00
2025-10-15T08:13:00Z,38.25,65.00
2025-10-15T08:26:00Z,35.50,65.00
2025-10-15T08:48:00Z,35.00,65.00
2025-10-15T08:49:00Z,35.00,65.00
2025-10-15T08:56:00Z,35.00,64.00
2025-10-15T10:13:00Z,37.00,64.00
2025-10-15T10:46:00Z,37.00,64.00
2025-10-15T10:47:00Z,37.00,64.00
2025-10-15T11:20:00Z,37.00,64.00
2025-10-15T11:35:00Z,37.00,64.00
2025-10-15T11:46:00Z,37.00,64.00
2025-10-15T12:12:00Z,36.00,64.00
2025-10-15T12:15:00Z,36.00,65.00
2025-10-15T12:20:00Z,36.00,64.00
2025-10-15T12:22:00Z,36.00,65.00
2025-10-15T12:30:00Z,36.00,67.00
2025-10-15T12:45:00Z,34.00,67.00
2025-10-15T12:58:00Z,34.00,67.00
2025-10-15T13:15:00Z,34.00,67.00
2025-10-15T13:17:00Z,34.00,67.00
2025-10-15T13:21:00Z,34.00,67.00
2025-10-15T13:32:00Z,34.00,67.00
2025-10-15T13:33:00Z,34.00,67.00
2025-10-15T13:34:00Z,34.00,67.00
2025-10-15T13:36:00Z,34.00,67.00
2025-10-15T13:41:00Z,34.00,67.00
2025-10-15T13:42:00Z,34.00,67.00
2025-10-15T13:52:00Z,34.00,67.00
2025-10-15T13:55:00Z,34.00,67.00
2025-10-15T13:58:00Z,34.00,67.00
2025-10-15T14:04:00Z,34.00,67.00
2025-10-15T14:08:00Z,34.00,67.00
2025-10-15T14:10:00Z,34.00,67.00
2025-10-15T14:14:00Z,34.00,67.00
2025-10-15T14:19:00Z,34.00,67.00
2025-10-15T14:20:00Z,34.00,67.00
2025-10-15T14:21:00Z,34.00,67.00
2025-10-15T14:24:00Z,34.00,66.00
2025-10-15T14:25:00Z,34.00,66.00
2025-10-15T14:29:00Z,34.00,66.00
2025-10-15T14:35:00Z,35.00,66.00
2025-10-15T14:37:00Z,35.00,66.00
2025-10-15T14:44:00Z,35.00,66.00
2025-10-15T14:45:00Z,35.00,66.00
2025-10-15T14:46:00Z,35.00,66.00
2025-10-15T14:48:00Z,35.00,66.00
2025-10-15T14:52:00Z,35.00,66.00
2025-10-15T14:54:00Z,35.00,66.00
2025-10-15T14:57:00Z,35.00,66.00
2025-10-15T14:58:00Z,35.00,66.00
2025-10-15T14:59:00Z,35.00,66.00
2025-10-15T15:04:00Z,35.00,66.00
2025-10-15T15:06:00Z,35.00,66.00
2025-10-15T15:09:00Z,35.00,66.00
2025-10-15T15:13:00Z,35.00,66.00
2025-10-15T15:14:00Z,35.00,66.00
2025-10-15T15:15:00Z,35.00,66.00
2025-10-15T15:17:00Z,35.00,66.28
2025-10-15T15:21:00Z,35.00,67.00
2025-10-15T15:22:00Z,35.00,67.00
2025-10-15T15:32:00Z,35.00,67.00
2025-10-15T15:34:00Z,35.00,67.00
2025-10-15T15:37:00Z,35.00,67.00
2025-10-15T15:38:00Z,35.00,67.00
2025-10-15T15:39:00Z,35.00,67.00
2025-10-15T15:40:00Z,35.00,67.00
2025-10-15T15:41:00Z,35.00,67.00
2025-10-15T15:42:00Z,35.00,67.00
2025-10-15T15:43:00Z,35.00,67.00
2025-10-15T15:45:00Z,35.00,67.00
2025-10-15T15:46:00Z,35.00,67.00
2025-10-15T15:47:00Z,35.00,67.00
2025-10-15T15:49:00Z,35.00,66.99
2025-10-15T15:51:00Z,35.00,67.00
2025-10-15T15:52:00Z,35.00,67.00
2025-10-15T15:53:00Z,35.00,67.00
2025-10-15T15:54:00Z,34.91,67.00
2025-10-15T15:55:00Z,34.00,67.00
2025-10-15T15:56:00Z,34.00,67.00
2025-10-15T15:57:00Z,34.08,67.00
2025-10-15T15:58:00Z,34.08,67.00
2025-10-15T15:59:00Z,34.00,67.00
2025-10-15T16:00:00Z,34.00,67.00
2025-10-15T16:01:00Z,34.00,67.00
2025-10-15T16:02:00Z,34.00,67.00
2025-10-15T16:03:00Z,34.00,67.00
2025-10-15T16:04:00Z,34.00,67.00
2025-10-15T16:05:00Z,34.00,67.00
2025-10-15T16:06:00Z,34.78,67.00
