# event_ticker=KXATPCHALLENGERMATCH-26APR02MILELL
# final_score=2-6 2-1 RET
# match_winner=Blake Ellis
# fav_player=Blake Ellis
# dog_player=Ognjen Milic
# kalshi_date=2026-04-02
timestamp,Blake Ellis,Ognjen Milic
2026-04-02T15:26:00Z,43.00,63.00
2026-04-02T15:29:00Z,45.00,62.00
2026-04-02T15:50:00Z,39.50,65.50
2026-04-02T15:58:00Z,39.00,72.00
2026-04-02T16:11:00Z,23.00,72.00
2026-04-02T16:13:00Z,25.00,60.76
2026-04-02T16:19:00Z,29.00,63.00
2026-04-02T17:17:00Z,44.00,63.00
2026-04-02T19:32:00Z,42.00,63.00
2026-04-02T19:46:00Z,39.00,63.00
2026-04-02T20:03:00Z,39.00,63.00
2026-04-02T20:04:00Z,39.00,63.00
2026-04-02T20:07:00Z,39.00,63.00
2026-04-02T20:13:00Z,39.00,63.00
2026-04-02T20:33:00Z,39.00,63.00
2026-04-02T20:46:00Z,39.00,62.99
2026-04-02T20:48:00Z,37.00,62.99
2026-04-02T21:05:00Z,37.00,64.00
2026-04-02T21:20:00Z,37.00,64.00
2026-04-02T21:30:00Z,37.00,63.00
2026-04-02T21:31:00Z,36.00,62.00
2026-04-02T21:33:00Z,37.00,62.00
2026-04-02T22:05:00Z,37.00,62.00
2026-04-02T22:11:00Z,36.00,62.00
2026-04-02T23:05:00Z,36.00,65.00
2026-04-02T23:07:00Z,36.00,65.00
2026-04-02T23:26:00Z,34.00,65.00
2026-04-02T23:56:00Z,34.00,65.00
2026-04-03T00:01:00Z,35.00,65.00
2026-04-03T00:02:00Z,35.00,65.00
2026-04-03T00:04:00Z,35.00,65.00
2026-04-03T00:05:00Z,36.00,65.00
2026-04-03T00:11:00Z,36.00,65.00
2026-04-03T00:13:00Z,36.00,65.00
2026-04-03T00:18:00Z,36.00,65.00
2026-04-03T00:29:00Z,36.00,65.98
2026-04-03T00:35:00Z,34.00,65.98
2026-04-03T00:40:00Z,36.00,65.98
2026-04-03T00:44:00Z,36.00,66.00
2026-04-03T00:51:00Z,36.00,66.00
2026-04-03T00:52:00Z,36.49,65.00
2026-04-03T00:57:00Z,36.49,65.00
2026-04-03T01:15:00Z,36.49,65.00
2026-04-03T01:22:00Z,37.00,65.00
