# event_ticker=KXATPMATCH-25SEP19SHANAK
# final_score=7-5 6-3
# match_winner=Brandon Nakashima
# fav_player=Brandon Nakashima
# dog_player=Juncheng Shang
# kalshi_date=2025-09-19
timestamp,Brandon Nakashima,Juncheng Shang
2025-09-18T23:09:00Z,59.00,
2025-09-19T00:06:00Z,59.00,42.00
2025-09-19T00:18:00Z,59.00,42.00
2025-09-19T00:52:00Z,58.00,42.00
2025-09-19T01:06:00Z,58.00,42.00
2025-09-19T01:24:00Z,58.00,43.00
2025-09-19T01:32:00Z,58.00,43.00
2025-09-19T01:37:00Z,58.00,43.00
2025-09-19T01:52:00Z,58.00,43.00
2025-09-19T01:53:00Z,58.00,43.00
2025-09-19T02:12:00Z,58.00,43.00
2025-09-19T02:23:00Z,58.00,43.00
2025-09-19T02:33:00Z,58.00,43.00
2025-09-19T02:55:00Z,58.00,43.00
2025-09-19T02:59:00Z,58.00,43.00
2025-09-19T03:00:00Z,58.00,43.00
2025-09-19T03:10:00Z,58.00,43.00
2025-09-19T03:13:00Z,58.00,43.00
2025-09-19T03:15:00Z,58.00,43.00
2025-09-19T03:22:00Z,58.00,43.00
2025-09-19T03:25:00Z,58.00,43.00
2025-09-19T03:29:00Z,58.00,43.00
2025-09-19T03:30:00Z,58.00,43.00
2025-09-19T03:37:00Z,61.00,41.00
2025-09-19T03:55:00Z,62.00,41.00
2025-09-19T03:56:00Z,62.00,41.00
2025-09-19T03:57:00Z,62.00,41.00
2025-09-19T04:04:00Z,62.00,41.00
2025-09-19T04:11:00Z,62.00,41.00
2025-09-19T04:12:00Z,62.00,39.00
2025-09-19T04:15:00Z,62.00,39.00
2025-09-19T04:21:00Z,62.00,39.00
2025-09-19T04:22:00Z,62.00,39.00
2025-09-19T04:23:00Z,62.00,39.00
2025-09-19T04:24:00Z,62.00,39.00
2025-09-19T04:37:00Z,62.00,39.00
2025-09-19T04:38:00Z,62.00,40.00
2025-09-19T04:52:00Z,62.00,40.00
2025-09-19T04:55:00Z,62.00,40.00
2025-09-19T04:56:00Z,62.00,40.00
2025-09-19T04:58:00Z,62.00,40.00
2025-09-19T05:07:00Z,62.00,40.00
2025-09-19T05:16:00Z,62.00,40.00
2025-09-19T05:18:00Z,62.00,38.00
