# event_ticker=KXATPMATCH-25OCT30DAVZVE
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Alexander Zverev
# fav_player=Alejandro Davidovich Fokina
# dog_player=Alexander Zverev
# kalshi_date=2025-10-30
timestamp,Alejandro Davidovich Fokina,Alexander Zverev
2025-10-30T09:12:00Z,,67.00
2025-10-30T09:15:00Z,,67.00
2025-10-30T09:17:00Z,,66.00
2025-10-30T09:57:00Z,,67.00
2025-10-30T09:59:00Z,,67.00
2025-10-30T10:42:00Z,,67.00
2025-10-30T11:12:00Z,,67.00
2025-10-30T11:38:00Z,,67.00
2025-10-30T11:44:00Z,,67.00
2025-10-30T12:04:00Z,,67.00
2025-10-30T12:05:00Z,,67.00
2025-10-30T12:23:00Z,,67.00
2025-10-30T12:30:00Z,,67.00
2025-10-30T12:42:00Z,,67.00
2025-10-30T12:43:00Z,,66.00
2025-10-30T12:51:00Z,33.00,66.00
2025-10-30T13:00:00Z,33.00,67.00
2025-10-30T13:06:00Z,33.00,67.00
2025-10-30T13:08:00Z,34.00,67.00
2025-10-30T13:23:00Z,34.00,67.00
2025-10-30T13:28:00Z,34.00,67.00
2025-10-30T13:33:00Z,34.00,67.00
2025-10-30T13:50:00Z,34.00,67.00
2025-10-30T14:02:00Z,34.00,67.00
2025-10-30T14:08:00Z,34.00,67.00
2025-10-30T14:11:00Z,34.00,67.00
2025-10-30T14:12:00Z,34.00,67.00
2025-10-30T14:13:00Z,34.00,65.74
2025-10-30T14:16:00Z,37.00,65.74
2025-10-30T14:18:00Z,37.00,65.74
2025-10-30T14:20:00Z,37.00,65.74
2025-10-30T14:22:00Z,37.00,65.00
2025-10-30T14:25:00Z,37.00,65.00
2025-10-30T14:27:00Z,37.00,63.20
2025-10-30T14:29:00Z,37.00,64.00
2025-10-30T14:33:00Z,37.00,64.00
2025-10-30T14:35:00Z,37.00,64.00
2025-10-30T14:38:00Z,37.00,64.00
2025-10-30T14:46:00Z,37.00,64.00
2025-10-30T14:49:00Z,37.00,64.00
2025-10-30T14:51:00Z,37.00,64.00
2025-10-30T14:52:00Z,37.00,64.00
2025-10-30T14:53:00Z,37.00,64.00
2025-10-30T14:55:00Z,37.00,64.00
2025-10-30T15:03:00Z,37.00,64.00
2025-10-30T15:06:00Z,37.00,64.00
2025-10-30T15:07:00Z,37.00,64.00
2025-10-30T15:08:00Z,37.00,64.00
2025-10-30T15:10:00Z,37.00,64.00
2025-10-30T15:15:00Z,37.00,64.00
2025-10-30T15:21:00Z,37.00,64.00
2025-10-30T15:23:00Z,37.00,64.00
2025-10-30T15:27:00Z,37.00,64.00
2025-10-30T15:30:00Z,37.00,64.00
2025-10-30T15:31:00Z,37.00,64.00
2025-10-30T15:33:00Z,37.00,64.00
2025-10-30T15:35:00Z,37.00,64.00
2025-10-30T15:37:00Z,37.00,64.00
2025-10-30T15:41:00Z,37.00,64.00
2025-10-30T15:42:00Z,37.00,64.00
2025-10-30T15:50:00Z,37.00,64.00
2025-10-30T15:51:00Z,37.00,64.00
2025-10-30T15:52:00Z,37.00,64.00
2025-10-30T15:53:00Z,37.00,64.00
2025-10-30T15:56:00Z,37.00,64.00
2025-10-30T15:57:00Z,37.00,64.00
2025-10-30T15:59:00Z,37.00,64.00
2025-10-30T16:02:00Z,37.00,64.00
2025-10-30T16:04:00Z,37.00,64.00
2025-10-30T16:05:00Z,37.00,64.00
2025-10-30T16:06:00Z,37.00,64.00
2025-10-30T16:09:00Z,37.22,64.00
2025-10-30T16:10:00Z,38.00,64.00
