# event_ticker=KXATPCHALLENGERMATCH-26MAY05MANBOL
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Skander Mansouri
# fav_player=Bienvenu Bolangi
# dog_player=Skander Mansouri
# kalshi_date=2026-05-05
timestamp,Skander Mansouri,Bienvenu Bolangi
2026-05-06T03:30:00Z,,6.00
2026-05-06T03:55:00Z,,6.00
2026-05-06T04:34:00Z,,7.00
2026-05-06T04:47:00Z,,6.00
2026-05-06T04:49:00Z,94.00,6.00
2026-05-06T04:51:00Z,94.00,6.00
2026-05-06T04:57:00Z,94.00,5.00
2026-05-06T04:58:00Z,94.00,5.00
2026-05-06T04:59:00Z,94.00,5.00
2026-05-06T05:03:00Z,94.00,7.00
2026-05-06T05:06:00Z,94.00,6.00
2026-05-06T06:07:00Z,94.00,6.00
2026-05-06T06:33:00Z,94.00,6.00
2026-05-06T08:33:00Z,94.00,6.00
2026-05-06T10:33:00Z,94.00,6.00
2026-05-06T11:40:00Z,94.00,5.00
2026-05-06T11:41:00Z,94.00,6.00
2026-05-06T11:52:00Z,95.00,6.00
2026-05-06T12:46:00Z,95.00,6.00
2026-05-06T13:12:00Z,95.00,6.00
2026-05-06T13:22:00Z,95.00,6.00
2026-05-06T13:27:00Z,95.00,6.00
2026-05-06T13:51:00Z,95.00,6.00
2026-05-06T14:56:00Z,93.18,7.00
2026-05-06T14:57:00Z,94.58,7.00
2026-05-06T15:06:00Z,94.58,7.94
2026-05-06T15:08:00Z,94.00,7.94
2026-05-06T15:09:00Z,94.00,7.94
2026-05-06T15:10:00Z,94.00,8.00
2026-05-06T15:11:00Z,94.00,8.00
2026-05-06T15:13:00Z,94.00,8.00
2026-05-06T15:15:00Z,94.00,8.00
2026-05-06T15:16:00Z,94.00,8.00
2026-05-06T15:17:00Z,94.00,8.00
2026-05-06T15:18:00Z,94.00,8.00
2026-05-06T15:20:00Z,94.54,5.49
2026-05-06T15:21:00Z,94.90,5.11
2026-05-06T15:22:00Z,94.90,7.00
2026-05-06T15:23:00Z,94.38,5.90
2026-05-06T15:24:00Z,94.38,7.00
2026-05-06T15:25:00Z,94.38,6.69
2026-05-06T15:26:00Z,94.00,7.02
2026-05-06T15:27:00Z,94.00,8.00
2026-05-06T15:28:00Z,94.00,7.00
2026-05-06T15:29:00Z,94.00,7.00
2026-05-06T15:30:00Z,94.90,5.24
2026-05-06T15:31:00Z,95.00,5.00
2026-05-06T15:32:00Z,95.00,6.00
2026-05-06T15:33:00Z,95.00,5.00
2026-05-06T15:34:00Z,95.00,5.37
2026-05-06T15:35:00Z,95.00,6.93
2026-05-06T15:36:00Z,95.00,5.00
2026-05-06T15:37:00Z,95.00,7.00
2026-05-06T15:38:00Z,95.00,7.00
2026-05-06T15:39:00Z,95.00,7.00
2026-05-06T15:40:00Z,95.00,7.00
2026-05-06T15:43:00Z,95.00,7.00
2026-05-06T15:44:00Z,95.00,7.00
2026-05-06T15:45:00Z,95.00,7.00
2026-05-06T15:46:00Z,95.00,7.00
2026-05-06T15:47:00Z,95.00,7.00
2026-05-06T15:48:00Z,93.27,7.00
2026-05-06T15:50:00Z,95.00,7.00
2026-05-06T15:51:00Z,95.00,7.00
2026-05-06T15:52:00Z,95.00,7.00
2026-05-06T15:53:00Z,95.00,7.00
2026-05-06T15:54:00Z,95.00,6.00
2026-05-06T15:55:00Z,95.00,5.08
2026-05-06T15:57:00Z,95.00,6.99
2026-05-06T15:58:00Z,95.00,5.10
2026-05-06T15:59:00Z,95.00,5.11
2026-05-06T16:00:00Z,95.00,5.07
2026-05-06T16:01:00Z,95.00,5.07
2026-05-06T16:02:00Z,93.69,6.63
2026-05-06T16:03:00Z,95.00,7.00
2026-05-06T16:04:00Z,95.00,7.00
2026-05-06T16:05:00Z,95.00,5.00
2026-05-06T16:06:00Z,95.36,4.73
2026-05-06T16:07:00Z,95.00,4.97
2026-05-06T16:08:00Z,95.00,4.24
2026-05-06T16:09:00Z,95.00,5.00
2026-05-06T16:10:00Z,95.68,4.00
2026-05-06T16:11:00Z,96.82,2.39
2026-05-06T16:12:00Z,96.35,4.00
2026-05-06T16:13:00Z,97.00,3.93
2026-05-06T16:14:00Z,97.00,5.00
2026-05-06T16:16:00Z,96.87,5.00
2026-05-06T16:17:00Z,97.00,5.00
2026-05-06T16:18:00Z,97.00,6.00
2026-05-06T16:19:00Z,95.82,6.00
2026-05-06T16:20:00Z,97.00,5.15
2026-05-06T16:21:00Z,96.77,4.00
2026-05-06T16:22:00Z,95.00,6.00
2026-05-06T16:23:00Z,96.00,6.00
2026-05-06T16:24:00Z,96.00,6.00
2026-05-06T16:25:00Z,97.07,3.32
2026-05-06T16:26:00Z,95.92,8.12
2026-05-06T16:27:00Z,97.08,6.00
2026-05-06T16:28:00Z,96.84,2.56
2026-05-06T16:29:00Z,97.96,2.15
2026-05-06T16:30:00Z,99.00,1.00
2026-05-06T16:31:00Z,99.00,1.00
2026-05-06T16:32:00Z,99.00,1.00
2026-05-06T16:33:00Z,99.00,1.00
