Filename,Asset,Start_Price,End_Price,Mean_Price,Max_Drift_Up,Max_Drift_Down
kalshi-price-history-kxatpchallengermatch-26apr01alumej-minute.csv,Rodrigo Alujas,9.0,1.0,7.32,1.69,-8.0
kalshi-price-history-kxatpchallengermatch-26apr01alumej-minute.csv,Nicolas Mejia,92.0,99.0,93.9,7.0,-2.0
kalshi-price-history-kxatpchallengermatch-26apr01densch-minute.csv,Corentin Denolly,30.0,1.0,20.64,3.46,-29.0
kalshi-price-history-kxatpchallengermatch-26apr01densch-minute.csv,Tristan Schoolkate,70.0,99.0,80.04,29.0,-3.0
kalshi-price-history-kxatpchallengermatch-26apr01devnik-minute.csv,Johan Nikles,40.0,3.34,32.13,21.77,-36.66
kalshi-price-history-kxatpchallengermatch-26apr01devnik-minute.csv,Murkel Dellien,64.0,99.0,69.08,35.0,-26.82
kalshi-price-history-kxatpchallengermatch-26apr01ducrub-minute.csv,Alan Fernando Rubio Fierros,1.0,1.0,1.13,2.01,0.0
kalshi-price-history-kxatpchallengermatch-26apr01ducrub-minute.csv,James Duckworth,99.0,99.0,99.0,0.0,0.0
kalshi-price-history-kxatpchallengermatch-26apr01ductob-minute.csv,Miguel Tobon,32.0,1.07,25.68,20.89,-31.0
kalshi-price-history-kxatpchallengermatch-26apr01ductob-minute.csv,James Duckworth,68.0,99.0,75.34,31.0,-21.92
kalshi-price-history-kxatpchallengermatch-26apr01menzah-minute.csv,Patrick Zahraj,28.0,1.0,13.27,2.1,-27.0
kalshi-price-history-kxatpchallengermatch-26apr01menzah-minute.csv,Facundo Mena,71.0,99.0,85.83,28.0,0.0
kalshi-price-history-kxatpchallengermatch-26apr01midtor-minute.csv,48.00,48.0,99.0,63.21,51.0,-12.01
kalshi-price-history-kxatpchallengermatch-26apr01midtor-minute.csv,Unnamed: 2,51.0,1.0,38.42,13.52,-50.0
kalshi-price-history-kxatpchallengermatch-26apr01mortro-minute.csv,Hiroki Moriya,33.0,99.0,51.14,66.0,-7.27
kalshi-price-history-kxatpchallengermatch-26apr01mortro-minute.csv,James Kent Trotter,68.0,1.0,51.04,7.54,-67.0
kalshi-price-history-kxatpchallengermatch-26apr01rodsar-minute.csv,Paulo Andre Saraiva Dos Santos,33.0,99.0,32.96,66.0,-20.61
kalshi-price-history-kxatpchallengermatch-26apr01rodsar-minute.csv,Lorenzo Joaquin Rodriguez,75.0,1.0,69.04,14.59,-74.0
kalshi-price-history-kxatpchallengermatch-26apr01saimar-minute.csv,Nikolas Sanchez Izquierdo,46.35,1.0,26.89,3.42,-45.35
kalshi-price-history-kxatpchallengermatch-26apr01saimar-minute.csv,Pol Martin Tiffon,53.0,99.0,74.73,46.0,0.0
kalshi-price-history-kxatpchallengermatch-26apr01tunjub-minute.csv,Paul Jubb,56.0,1.0,60.58,33.87,-55.0
kalshi-price-history-kxatpchallengermatch-26apr01tunjub-minute.csv,Tung-Lin Wu,46.0,99.0,40.79,53.0,-35.24
kalshi-price-history-kxatpchallengermatch-26apr01vildel-minute.csv,Gonzalo Villanueva,23.0,1.0,17.53,8.61,-22.0
kalshi-price-history-kxatpchallengermatch-26apr01vildel-minute.csv,Hugo Dellien,76.97,99.0,83.75,22.03,-6.33
