# event_ticker=KXATPMATCH-26APR15JODUGO
# final_score=6-3 6-3
# match_winner=Rafael Jodar
# fav_player=Rafael Jodar
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2026-04-15
timestamp,Rafael Jodar,Camilo Ugo Carabelli
2026-04-15T02:35:00Z,78.00,
2026-04-15T02:42:00Z,78.00,23.00
2026-04-15T02:46:00Z,78.00,23.00
2026-04-15T02:50:00Z,78.00,23.00
2026-04-15T03:03:00Z,78.00,23.00
2026-04-15T03:07:00Z,78.00,23.00
2026-04-15T03:09:00Z,78.00,22.00
2026-04-15T03:11:00Z,79.00,22.00
2026-04-15T03:19:00Z,79.00,22.00
2026-04-15T03:22:00Z,79.00,22.00
2026-04-15T03:29:00Z,79.00,22.00
2026-04-15T03:30:00Z,79.00,22.00
2026-04-15T03:43:00Z,79.77,22.00
2026-04-15T04:11:00Z,80.00,22.00
2026-04-15T04:21:00Z,80.00,21.00
2026-04-15T04:30:00Z,80.00,21.00
2026-04-15T04:31:00Z,80.00,21.00
2026-04-15T04:34:00Z,80.00,21.00
2026-04-15T04:49:00Z,81.00,21.00
2026-04-15T04:51:00Z,81.73,21.00
2026-04-15T04:54:00Z,81.00,21.00
2026-04-15T04:55:00Z,81.96,21.00
2026-04-15T05:00:00Z,81.96,21.00
2026-04-15T05:01:00Z,80.00,21.00
2026-04-15T05:04:00Z,79.00,21.00
2026-04-15T05:13:00Z,81.00,21.00
2026-04-15T05:14:00Z,81.00,21.00
2026-04-15T05:22:00Z,81.00,21.00
2026-04-15T05:23:00Z,81.00,21.00
2026-04-15T05:27:00Z,81.00,21.00
2026-04-15T05:33:00Z,80.98,21.00
2026-04-15T05:35:00Z,80.98,21.00
2026-04-15T05:38:00Z,80.98,21.00
2026-04-15T05:47:00Z,80.98,21.00
2026-04-15T05:48:00Z,80.98,21.00
2026-04-15T06:00:00Z,81.00,21.00
2026-04-15T06:07:00Z,81.00,21.00
2026-04-15T06:11:00Z,81.00,21.00
2026-04-15T06:13:00Z,81.00,21.00
2026-04-15T06:21:00Z,81.87,21.00
2026-04-15T06:28:00Z,82.00,21.00
2026-04-15T06:54:00Z,82.00,21.00
2026-04-15T06:57:00Z,82.00,21.00
2026-04-15T06:59:00Z,82.00,21.00
2026-04-15T07:07:00Z,82.00,21.00
2026-04-15T07:08:00Z,82.00,21.00
2026-04-15T07:11:00Z,82.00,21.00
2026-04-15T07:15:00Z,82.00,21.00
2026-04-15T07:16:00Z,82.00,21.00
2026-04-15T07:24:00Z,82.00,21.00
2026-04-15T07:31:00Z,82.00,21.00
2026-04-15T07:37:00Z,82.00,21.00
2026-04-15T08:09:00Z,81.00,21.00
2026-04-15T08:26:00Z,82.00,21.00
2026-04-15T08:36:00Z,82.00,21.00
2026-04-15T08:43:00Z,82.00,21.00
2026-04-15T08:52:00Z,82.00,21.00
2026-04-15T09:00:00Z,82.00,21.00
2026-04-15T09:08:00Z,82.00,21.00
2026-04-15T09:17:00Z,82.00,21.00
2026-04-15T09:19:00Z,82.00,21.00
