# event_ticker=KXATPCHALLENGERMATCH-26MAR11REIBOS
# final_score=6-1 3-6 6-4
# score_resolution=1-6 6-3 4-6
# match_winner=Pedro Boscardin Dias
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-03-11
timestamp,Joao Lucas Reis Da Silva,Pedro Boscardin Dias
2026-03-11T09:37:00Z,57.00,
2026-03-11T10:16:00Z,57.00,
2026-03-11T10:40:00Z,56.00,
2026-03-11T10:55:00Z,56.00,
2026-03-11T11:09:00Z,56.00,
2026-03-11T11:13:00Z,56.00,
2026-03-11T13:04:00Z,56.00,47.00
2026-03-11T13:18:00Z,56.05,47.00
2026-03-11T13:22:00Z,57.00,47.00
2026-03-11T13:25:00Z,57.00,46.00
2026-03-11T13:38:00Z,57.00,46.00
2026-03-11T13:40:00Z,57.00,46.00
2026-03-11T13:44:00Z,57.00,46.00
2026-03-11T14:08:00Z,56.00,46.00
2026-03-11T14:09:00Z,56.00,46.00
2026-03-11T14:16:00Z,56.00,46.00
2026-03-11T14:19:00Z,57.00,46.00
2026-03-11T14:22:00Z,56.00,46.00
2026-03-11T14:39:00Z,56.00,46.00
2026-03-11T14:40:00Z,57.00,46.00
2026-03-11T14:52:00Z,57.00,46.00
2026-03-11T14:53:00Z,56.00,46.00
2026-03-11T14:56:00Z,57.00,46.00
2026-03-11T14:57:00Z,56.19,46.75
2026-03-11T15:01:00Z,56.98,46.75
2026-03-11T15:05:00Z,56.29,46.75
2026-03-11T15:08:00Z,57.51,46.75
2026-03-11T15:27:00Z,56.00,46.75
2026-03-11T15:32:00Z,56.00,46.75
2026-03-11T15:34:00Z,56.00,46.75
2026-03-11T15:38:00Z,56.00,46.75
2026-03-11T15:39:00Z,56.00,47.00
2026-03-11T15:48:00Z,56.00,47.00
2026-03-11T15:49:00Z,56.00,47.00
2026-03-11T16:02:00Z,56.00,47.00
2026-03-11T16:53:00Z,56.00,47.00
2026-03-11T16:55:00Z,56.00,47.00
2026-03-11T17:00:00Z,56.00,47.00
2026-03-11T17:01:00Z,56.00,47.00
2026-03-11T17:12:00Z,56.00,47.00
2026-03-11T17:29:00Z,56.00,47.00
2026-03-11T17:39:00Z,56.00,47.00
2026-03-11T17:40:00Z,56.00,47.00
2026-03-11T17:44:00Z,55.00,47.88
2026-03-11T17:51:00Z,56.00,47.88
2026-03-11T17:53:00Z,56.00,47.88
2026-03-11T18:00:00Z,56.00,47.88
2026-03-11T18:01:00Z,56.00,47.88
2026-03-11T18:02:00Z,56.00,47.00
2026-03-11T18:04:00Z,56.00,48.22
2026-03-11T18:07:00Z,56.00,48.00
2026-03-11T18:10:00Z,56.00,44.00
2026-03-11T18:12:00Z,56.00,44.00
2026-03-11T18:21:00Z,53.00,44.00
2026-03-11T18:29:00Z,56.00,44.00
2026-03-11T18:39:00Z,56.00,44.00
2026-03-11T18:52:00Z,56.00,47.00
2026-03-11T19:40:00Z,56.00,47.00
2026-03-11T19:42:00Z,56.00,47.00
2026-03-11T19:43:00Z,56.00,47.00
2026-03-11T19:48:00Z,56.00,47.00
2026-03-11T19:52:00Z,56.00,47.00
2026-03-11T19:53:00Z,56.00,46.97
